,Time,Value,Nucleotides
0,17,-2.740468E-02,-1044.943686186678
1,17.05,-2.114386E-02,-1028.734861757628
2,17.1,5.431069E-03,-1012.6752644391527
3,17.15,4.235554E-03,-996.7639990592252
4,17.2,-0.0115117,-981.0001724561953
5,17.25,-4.864697E-02,-965.3828934788689
6,17.3,-8.009919E-02,-949.9112729864319
7,17.35,-8.108141E-02,-934.5844238485188
8,17.4,-3.176045E-02,-919.4014609451588
9,17.45,8.890076E-03,-904.3615011667935
10,17.5,2.922864E-02,-889.4636634142989
11,17.55,2.880172E-02,-874.7070685989602
12,17.6,2.672011E-02,-860.0908396424675
13,17.65,3.574202E-02,-845.6141014769491
14,17.7,3.172864E-02,-831.2759810449206
15,17.75,4.091186E-02,-817.0756072993427
16,17.8,8.555534E-03,-803.0121112035704
17,17.85,2.021468E-03,-789.084625731386
18,17.9,1.703716E-02,-775.2922858669881
19,17.95,0.0567302,-761.6342286049803
20,18,8.733804E-02,-748.1095929504008
21,18.05,0.1112709,-734.7175199186786
22,18.1,0.1184491,-721.4571525356914
23,18.15,9.510329E-02,-708.3276358377079
24,18.2,0.0744424,-695.3281168714129
25,18.25,6.649363E-02,-682.457744693922
26,18.3,4.468822E-02,-669.7156703727596
27,18.35,4.506334E-02,-657.1010469858666
28,18.4,2.700992E-02,-644.6130296215997
29,18.45,8.371369E-03,-632.2507753787213
30,18.5,2.882882E-03,-620.013443366428
31,18.55,-5.094544E-04,-607.9001947043289
32,18.6,8.33457E-03,-595.9101925224386
33,18.65,1.331038E-02,-584.042601961195
34,18.7,3.121642E-02,-572.2965901714451
35,18.75,4.925022E-02,-560.6713263144702
36,18.8,5.013651E-02,-549.165981561946
37,18.85,5.203306E-02,-537.7797290959752
38,18.9,3.129334E-02,-526.5117441090697
39,18.95,2.371678E-02,-515.3612038041792
40,19,0.0322684,-504.3272873946371
41,19.05,5.092108E-02,-493.4091761042109
42,19.1,5.858846E-02,-482.60605316708825
43,19.15,3.517111E-02,-471.91710382786914
44,19.2,1.335853E-02,-461.34151534155535
45,19.25,-2.939758E-03,-450.878476973583
46,19.3,-0.0153186,-440.5271799997936
47,19.35,2.043503E-02,-430.28681770645926
48,19.4,6.084128E-02,-420.1565853902466
49,19.45,5.567332E-02,-410.13568035825665
50,19.5,4.575692E-02,-400.22330192799564
51,19.55,3.643647E-02,-390.41865142739334
52,19.6,-3.208615E-03,-380.72093219478484
53,19.65,-5.181557E-02,-371.1293495789396
54,19.7,-0.0633356,-361.6431109390214
55,19.75,-5.732351E-02,-352.26142564463225
56,19.8,-5.603889E-02,-342.9835050757647
57,19.85,-2.235482E-02,-333.8085626228458
58,19.9,1.165986E-02,-324.7358136867151
59,19.95,1.124453E-02,-315.7644756786358
60,20,1.081633E-02,-306.8937680202689
61,20.05,2.246392E-02,-298.12291214370634
62,20.1,3.611365E-02,-289.45113149144527
63,20.15,4.324119E-02,-280.8776515164027
64,20.2,6.331118E-02,-272.40169968192276
65,20.25,4.356281E-02,-264.0225054617549
66,20.3,9.268851E-03,-255.73930034006116
67,20.35,-1.311755E-02,-247.55131781143064
68,20.4,-2.087525E-02,-239.45779338085413
69,20.45,-2.929106E-02,-231.45796456376047
70,20.5,-2.349242E-02,-223.55107088596924
71,20.55,-3.591319E-03,-215.73635388373077
72,20.6,1.840731E-02,-208.01305710371525
73,20.65,2.392518E-02,-200.38042610299817
74,20.7,1.928956E-02,-192.83770844906758
75,20.75,1.723134E-02,-185.3841537198423
76,20.8,-0.0250498,-178.01901350365733
77,20.85,-4.578821E-02,-170.7415413992494
78,20.9,-4.380266E-02,-163.5509930157823
79,20.95,-0.0430245,-156.44662597281786
80,21,-4.058226E-02,-149.42769990037414
81,21.05,-2.252972E-02,-142.49347643883084
82,21.1,4.185789E-03,-135.6432192390348
83,21.15,4.095389E-03,-128.87619396222
84,21.2,0.0125572,-122.19166828004018
85,21.25,0.0359479,-115.58891187457266
86,21.3,4.744314E-02,-109.06719643829274
87,21.35,7.129373E-02,-102.62579567412831
88,21.4,7.909819E-02,-96.26398529537983
89,21.45,7.117087E-02,-89.9810430257894
90,21.5,1.998031E-02,-83.77624859951902
91,21.55,-2.025236E-02,-77.64888376113231
92,21.6,-2.924712E-02,-71.59823226560911
93,21.65,-2.706238E-02,-65.62357987835276
94,21.7,-4.960994E-03,-59.72421437518642
95,21.75,-1.95801E-03,-53.89942554234585
96,21.8,-1.491131E-02,-48.148505176461185
97,21.85,-4.690885E-02,-42.47074708462969
98,21.9,-5.869136E-02,-36.865447084303014
99,21.95,-4.936801E-02,-31.33190300339629
100,22,-4.469151E-02,-25.869414680215414
101,22.05,-3.497596E-02,-20.47728396349339
102,22.1,-4.787478E-02,-15.15481471237581
103,22.15,3.787627E-03,-9.901312796424463
104,22.2,0.5197098,-4.7160860956209945
105,22.25,2.049914,0.4015554996476567
106,22.3,4.793533,5.452300088567426
107,22.35,8.339895,10.436833759911678
108,22.4,11.87487,15.355840592033928
109,22.45,14.25728,20.210002652878757
110,22.5,14.87508,24.999999999978172
111,22.55,13.69956,29.72651068043342
112,22.6,11.47207,34.390210730936815
113,22.65,8.843341,38.99177417777173
114,22.7,6.247458,43.53187303679442
115,22.75,4.070948,48.01117731345221
116,22.8,2.392426,52.43035500278347
117,22.85,1.255397,56.79007208937401
118,22.9,0.5957265,61.09099254745888
119,22.95,0.2749701,65.33377834078055
120,23,0.1722668,69.51908942273076
121,23.05,0.0913357,73.64758373623408
122,23.1,5.953255E-02,77.71991721385348
123,23.15,1.208999E-02,81.73674377767748
124,23.2,-3.302552E-03,85.69871533942569
125,23.25,-1.056729E-02,89.60648180036878
126,23.3,9.512791E-03,93.46069105138304
127,23.35,0.0266267,97.26198897292488
128,23.4,0.0141792,101.01101943501271
129,23.45,6.93307E-03,104.70842429728873
130,23.5,-2.380005E-03,108.35484340894254
131,23.55,-4.95201E-04,111.9509146087621
132,23.6,1.028833E-02,115.49727372511552
133,23.65,1.412323E-02,118.99455457598015
134,23.7,8.221515E-03,122.44338896887348
135,23.75,1.862078E-02,125.84440670092226
136,23.8,7.290666E-03,129.19823555883704
137,23.85,-0.0115973,132.50550131891214
138,23.9,1.401316E-02,135.7668277470366
139,23.95,2.824943E-02,138.98283659863228
140,24,3.183209E-02,142.1541476187631
141,24.05,3.521575E-02,145.28137854206943
142,24.1,4.089062E-02,148.3651450927464
143,24.15,3.220678E-02,151.40606098458738
144,24.2,5.285807E-02,154.4047379209769
145,24.25,8.720674E-02,157.36178559487598
146,24.3,0.0793875,160.27781168883303
147,24.35,6.911037E-02,163.15342187498027
148,24.4,0.1077794,165.98921981503008
149,24.45,0.1275083,168.78580716026772
150,24.5,0.1366488,171.5437835515986
151,24.55,0.1319738,174.2637466194792
152,24.6,0.1102722,176.94629198394978
153,24.65,9.063559E-02,179.59201325466347
154,24.7,8.842482E-02,182.2015020308172
155,24.75,0.1159617,184.7753479012281
156,24.8,0.1383311,187.31413844428607
157,24.85,0.1469201,189.81845922794673
158,24.9,0.1580338,192.2888938097749
159,24.95,0.1499636,194.72602373689733
160,25,0.135458,197.13042854604282
161,25.05,0.1147546,199.502685763513
162,25.1,9.685992E-02,201.8433709052042
163,25.15,8.989439E-02,204.15305747658203
164,25.2,8.857067E-02,206.43231697271767
165,25.25,0.100937,208.68171887822973
166,25.3,0.1015285,210.90183066736063
167,25.35,9.060799E-02,213.09321780391474
168,25.4,7.887623E-02,215.25644374128387
169,25.45,4.365716E-02,217.39206992244362
170,25.5,2.503535E-02,219.5006557799643
171,25.55,3.925927E-02,221.5827587359745
172,25.6,6.506341E-02,223.63893420222666
173,25.65,8.397965E-02,225.66973558000245
174,25.7,8.146639E-02,227.67571426021823
175,25.75,6.479363E-02,229.65741962335233
176,25.8,3.085298E-02,231.61539903946687
177,25.85,1.556454E-02,233.55019786820412
178,25.9,1.671257E-02,235.46235945881563
179,25.95,1.581675E-02,237.35242515010395
180,26,1.819158E-02,239.22093427045183
181,26.05,1.447175E-02,241.06842413787308
182,26.1,-2.626655E-03,242.89543005993255
183,26.15,-5.588525E-03,244.70248533376434
184,26.2,-1.478555E-02,246.49012124611545
185,26.25,-1.118851E-02,248.2588670733021
186,26.3,3.974436E-03,250.00925008123522
187,26.35,3.032915E-02,251.74179552539135
188,26.4,0.0437399,253.45702665083445
189,26.45,3.657096E-02,255.15546469225228
190,26.5,1.152399E-02,256.83762887386183
191,26.55,-4.292454E-03,258.50403640948207
192,26.6,-5.139618E-03,260.15520250252666
193,26.65,-4.231347E-03,261.79164034598216
194,26.7,9.001076E-03,263.4138611224407
195,26.75,5.831618E-03,265.0223740040492
196,26.8,-1.339112E-03,266.6176861525382
197,26.85,-1.160735E-02,268.20030271925134
198,26.9,4.822344E-03,269.77072684509767
199,26.95,1.654569E-02,271.3294596605738
200,27,1.230617E-02,272.87700028574545
201,27.05,1.826651E-03,274.4138458302732
202,27.1,-0.0216944,275.9404913934268
203,27.15,-4.054714E-02,277.45743006401244
204,27.2,-2.225426E-02,278.9651529204639
205,27.25,1.002098E-02,280.4641490307695
206,27.3,2.702106E-02,281.95490545250505
207,27.35,1.545589E-04,283.4379072328484
208,27.4,-2.171752E-02,284.9136374085465
209,27.45,-4.389257E-02,286.3825770059266
210,27.5,-5.167685E-02,287.8452050409069
211,27.55,-4.108207E-02,289.3019985189967
