,Time,Value,Nucleotides
0,17,-6.694665E-02,-36.92851053123411
1,17.05,-3.728778E-02,-36.467213927489865
2,17.1,0.0537262,-36.0066565186454
3,17.15,0.1269177,-35.54677553777799
4,17.2,0.1592551,-35.087508072239984
5,17.25,0.1545412,-34.62879106365756
6,17.3,0.1279582,-34.170561307931735
7,17.35,0.0829056,-33.712755455238494
8,17.4,7.501183E-02,-33.255310010027415
9,17.45,8.797916E-02,-32.79816133102349
10,17.5,0.0655077,-32.34124563122555
11,17.55,3.025055E-02,-31.884498977907356
12,17.6,1.375795E-02,-31.42785729261709
13,17.65,-3.213713E-03,-30.971256351177203
14,17.7,-8.849979E-03,-30.514631783685445
15,17.75,4.088723E-03,-30.057919074512938
16,17.8,2.264055E-02,-29.601053562306106
17,17.85,2.082811E-02,-29.14397043998588
18,17.9,2.985544E-02,-28.68660475474735
19,17.95,5.169123E-02,-28.22889140806035
20,18,0.0684166,-27.770765155669096
21,18.05,0.0777445,-27.312160607592773
22,18.1,7.521743E-02,-26.85301222812427
23,18.15,8.589938E-02,-26.393254335831784
24,18.2,8.457269E-02,-25.932821103557558
25,18.25,9.568599E-02,-25.47164655841857
26,18.3,0.1051483,-25.00966458180619
27,18.35,0.1087011,-24.546808909386414
28,18.4,9.907983E-02,-24.083013131099733
29,18.45,7.155228E-02,-23.618210691160925
30,18.5,5.218596E-02,-23.152334888059727
31,18.55,5.202278E-02,-22.68531887456004
32,18.6,6.776174E-02,-22.21709565770061
33,18.65,8.317649E-02,-21.747598098794356
34,18.7,7.258805E-02,-21.276758913428807
35,18.75,4.306746E-02,-20.80451067146612
36,18.8,1.603629E-03,-20.330785797043063
37,18.85,-2.334756E-02,-19.85551656857035
38,18.9,7.743835E-04,-19.378635118734223
39,18.95,1.676994E-02,-18.900073434494402
40,19,2.094566E-02,-18.4197633570858
41,19.05,2.614826E-02,-17.937636582017717
42,19.1,2.998762E-02,-17.453624659073625
43,19.15,1.830637E-02,-16.96765899231218
44,19.2,-1.114246E-03,-16.47967084006575
45,19.25,-2.372648E-02,-15.989591314941777
46,19.3,-5.403237E-02,-15.497351383822092
47,19.35,-6.945038E-02,-15.002881867863266
48,19.4,-8.660098E-02,-14.506113442495689
49,19.45,-0.1053171,-14.006976637425055
50,19.5,-0.1251233,-13.50540183663145
51,19.55,-0.1236375,-13.001319278368783
52,19.6,-9.933805E-02,-12.494659055166153
53,19.65,-4.724651E-02,-11.985351113827278
54,19.7,1.247517E-02,-11.473325255429813
55,19.75,5.001504E-02,-10.95851113532649
56,19.8,7.492828E-02,-10.440838263144201
57,19.85,5.057176E-02,-9.920236002784577
58,19.9,4.292587E-03,-9.396633572423411
59,19.95,-4.575466E-02,-8.869960044511686
60,20,-0.0762389,-8.340144345774206
61,20.05,-8.362233E-02,-7.807115257210512
62,20.1,-8.444463E-02,-7.270801414094876
63,20.15,-8.459557E-02,-6.731131305976078
64,20.2,-8.863754E-02,-6.188033276677061
65,20.25,-0.1060181,-5.6414355242955025
66,20.3,-0.1161046,-5.091266101203814
67,20.35,-0.1419866,-4.537452914048686
68,20.4,-0.1786534,-3.979923723751199
69,20.45,-0.1964574,-3.4186061455070558
70,20.5,-0.2032686,-2.8534276487868055
71,20.55,-0.1943021,-2.284315557335276
72,20.6,-0.1620163,-1.71119704917146
73,20.65,-0.1185219,-1.1339991565895389
74,20.7,-0.1029549,-0.5526487661577448
75,20.75,-6.598137E-02,0.032927381281069756
76,20.8,-5.488553E-02,0.6228026906095465
77,20.85,-7.153726E-02,1.2170507124357073
78,20.9,-7.516602E-02,1.815745143092954
79,20.95,-0.0748144,2.4189598246406376
80,21,-8.597457E-02,3.026768744863034
81,21.05,-0.1010746,3.6392460372702544
82,21.1,-0.124722,4.25646598109779
83,21.15,-0.1473923,4.8785030013065125
84,21.2,-0.1807786,5.505431668582901
85,21.25,-0.1888386,6.137326699338928
86,21.3,-0.191853,6.7742629557118335
87,21.35,-0.1498895,7.4163154455648055
88,21.4,-9.689371E-02,8.063559322485844
89,21.45,-6.055158E-02,8.716069885789125
90,21.5,-5.141407E-02,9.373922580513863
91,21.55,-9.298044E-02,10.037192997424768
92,21.6,-0.1238594,10.705956873012155
93,21.65,-0.1445926,11.38029008949195
94,21.7,-0.147107,12.060268674805002
95,21.75,-0.1360005,12.745968802618563
96,21.8,-0.1222814,13.437466792324699
97,21.85,-0.1200684,14.13483910904074
98,21.9,-0.1352298,14.838162363610195
99,21.95,-0.1523074,15.547513312601723
100,22,-0.1536674,16.262968858309137
101,22.05,-0.1499062,16.984606048752426
102,22.1,-0.1250429,17.712502077676504
103,22.15,-9.064014E-02,18.446734284552008
104,22.2,0.1504758,19.187380154574953
105,22.25,1.060223,19.934517318666963
106,22.3,3.105217,20.6882235534747
107,22.35,6.353727,21.448576781371003
108,22.4,10.19859,22.21565507045375
109,22.45,13.56575,22.989536634546653
110,22.5,15.33349,23.770299833198123
111,22.55,14.97108,24.558023171682976
112,22.6,12.97289,25.35278530100095
113,22.65,10.118,26.154665017877505
114,22.7,7.164696,26.96374126476337
115,22.75,4.58299,27.78009312983511
116,22.8,2.603344,28.60379984699432
117,22.85,1.259081,29.43494079586833
118,22.9,0.5145199,30.273595501810064
119,22.95,0.1229439,31.119843635897837
120,23,-3.468883E-02,31.97376501493511
121,23.05,-9.242262E-02,32.83543960145107
122,23.1,-0.1042535,33.704947503700964
123,23.15,-7.949778E-02,34.582368975664394
124,23.2,-0.0638591,35.46778441704714
125,23.25,-3.629262E-02,36.36127437328082
126,23.3,-3.500488E-02,37.26291953552129
127,23.35,-4.628306E-02,38.172800740651155
128,23.4,-8.575058E-02,39.09099897127794
129,23.45,-0.1103971,40.017595355734784
130,23.5,-0.1393383,40.95267116807986
131,23.55,-0.1484748,41.89630782809752
132,23.6,-0.1243162,42.84858690129738
133,23.65,-0.1168374,43.809590098914214
134,23.7,-0.1126479,44.77939927790851
135,23.75,-0.1013998,45.758096440966256
136,23.8,-8.078051E-02,46.74576373649893
137,23.85,-5.859756E-02,47.742483458643164
138,23.9,-1.996795E-02,48.74833804726154
139,23.95,-2.239584E-02,49.76341008794225
140,24,-5.702822E-02,50.78778231199817
141,24.05,-7.344906E-02,51.821537596468374
142,24.1,-7.414442E-02,52.86475896411707
143,24.15,-0.0558685,53.91752958343409
144,24.2,-4.688761E-02,54.97993276863474
145,24.25,-6.006821E-02,56.05205197965972
146,24.3,-8.386993E-02,57.13397082217523
147,24.35,-0.1052636,58.22577304757351
148,24.4,-0.1051034,59.327542552970726
149,24.45,-0.1027694,60.439363381210455
150,24.5,-0.1105224,61.56131972086064
151,24.55,-0.1302992,62.693495906214366
152,24.6,-0.1387341,63.83597641729148
153,24.65,-0.1351039,64.98884587983639
154,24.7,-0.1440805,66.1521890653188
155,24.75,-0.1346474,67.32609089093489
156,24.8,-0.1153375,68.51063641960513
157,24.85,-0.1050995,69.70591085997626
158,24.9,-9.237409E-02,70.91199956642049
159,24.95,-8.639929E-02,72.12898803903511
160,25,-6.878841E-02,73.35696192364298
161,25.05,-5.374445E-02,74.59600701179272
162,25.1,-3.370845E-02,75.84620924075818
163,25.15,-3.960053E-02,77.10765469353885
164,25.2,-6.971399E-02,78.38042959885922
165,25.25,-8.110426E-02,79.66462033117023
166,25.3,-9.222318E-02,80.96031341064759
167,25.35,-6.821366E-02,82.26759550319218
168,25.4,-5.123225E-02,83.5865534204313
169,25.45,-7.161657E-02,84.91727411971692
170,25.5,-0.1188412,86.25984470412732
171,25.55,-0.1484467,87.61435242246512
172,25.6,-0.1752256,88.98088466925947
173,25.65,-0.2065125,90.35952898476444
174,25.7,-0.171366,91.75037305495971
175,25.75,-0.1594095,93.15350471155034
176,25.8,-0.1742627,94.56901193196722
177,25.85,-0.1906959,95.9969828393663
178,25.9,-0.1799365,97.43750570262921
179,25.95,-0.1458367,98.89066893636323
180,26,-0.1007277,100.35656110090065
181,26.05,-3.532134E-02,101.83527090229984
