,Time,Value,Nucleotides
0,17,2.295969E-02,-124.5784739064502
1,17.05,9.391263E-03,-122.61018856437704
2,17.1,-0.0415704,-120.65969631598091
3,17.15,-8.839162E-02,-118.7268146287388
4,17.2,-9.858593E-02,-116.81136120307883
5,17.25,-9.252813E-02,-114.91315397238577
6,17.3,-7.171062E-02,-113.03201110299688
7,17.35,-1.447449E-02,-111.16775099420283
8,17.4,3.790761E-02,-109.3201922782514
9,17.45,5.651969E-02,-107.48915382033965
10,17.5,5.677242E-02,-105.67445471862266
11,17.55,6.550673E-02,-103.87591430420571
12,17.6,7.177465E-02,-102.09335214115117
13,17.65,7.004578E-02,-100.32658802647529
14,17.7,7.764839E-02,-98.57544199014455
15,17.75,6.216998E-02,-96.83973429508387
16,17.8,2.487107E-02,-95.11928543716886
17,17.85,-3.478764E-03,-93.41391614523172
18,17.9,-2.727434E-02,-91.72344738105676
19,17.95,-0.0385844,-90.04770033938303
20,18,-3.924333E-02,-88.38649644790212
21,18.05,-2.506249E-02,-86.73965736726177
22,18.1,-7.033509E-03,-85.10700499106133
23,18.15,-6.629457E-03,-83.48836144585675
24,18.2,0.0109787,-81.88354909115515
25,18.25,4.307865E-03,-80.29239051941977
26,18.3,-1.063911E-03,-78.7147085560664
27,18.35,-5.898412E-03,-77.15032625946515
28,18.4,2.723972E-02,-75.59906692094046
29,18.45,4.046657E-02,-74.06075406477112
30,18.5,3.546111E-02,-72.53521144818706
31,18.55,1.887156E-02,-71.02226306137663
32,18.6,-3.997629E-03,-69.52173312747891
33,18.65,-0.0109173,-68.03344610258637
34,18.7,1.224292E-02,-66.557226675749
35,18.75,1.071294E-02,-65.09289976896662
36,18.8,9.889112E-03,-63.6402905371956
37,18.85,-1.703109E-02,-62.19922436834622
38,18.9,-4.106446E-02,-60.76952688328129
39,18.95,-6.240932E-02,-59.35102393581792
40,19,-6.603599E-02,-57.94354161272804
41,19.05,-4.461998E-02,-56.54690623373608
42,19.1,-4.601964E-02,-55.16094435152263
43,19.15,-4.521785E-02,-53.78548275172079
44,19.2,-2.693121E-02,-52.42034845291573
45,19.25,-2.343662E-02,-51.0653687066515
46,19.3,-2.400621E-02,-49.720370997420105
47,19.35,-1.862661E-02,-48.385183042672
48,19.4,-1.917567E-02,-47.05963279281059
49,19.45,-1.819639E-02,-45.74354843119181
50,19.5,-3.547837E-02,-44.436758374125475
51,19.55,-9.912452E-03,-43.13909127087845
52,19.6,-7.881236E-03,-41.85037600366786
53,19.65,-1.563198E-02,-40.570441687666516
54,19.7,-2.070472E-03,-39.29911767100202
55,19.75,1.213189E-02,-38.03623353475177
56,19.8,0.0226979,-36.781619092953406
57,19.85,2.524507E-02,-35.535104392592075
58,19.9,4.201037E-02,-34.29651971361318
59,19.95,4.771653E-02,-33.06569556891236
60,20,4.929005E-02,-31.842462704337322
61,20.05,5.863493E-02,-30.626652098693285
62,20.1,7.209917E-02,-29.418094963738895
63,20.15,6.095709E-02,-28.21662274418577
64,20.2,3.074551E-02,-27.022067117700317
65,20.25,1.121368E-02,-25.83425999489964
66,20.3,1.510763E-02,-24.653033519360633
67,20.35,3.119325E-02,-23.478220067609527
68,20.4,0.0543382,-22.30965224912734
69,20.45,8.013076E-02,-21.147162906351696
70,20.5,0.1065615,-19.990585114668647
71,20.55,0.1163663,-18.839752182424036
72,20.6,0.1135715,-17.69449765091531
73,20.65,0.1170086,-16.554655294392887
74,20.7,9.366091E-02,-15.420059120061978
75,20.75,5.977181E-02,-14.290543368080762
76,20.8,2.566149E-02,-13.16594251156448
77,20.85,2.215453E-02,-12.046091256577256
