,Time,Value,Nucleotides
0,17,-1.305528E-02,-67.18592988247497
1,17.05,-1.672393E-02,-66.19665429831821
2,17.1,-8.42175E-03,-65.21444722247747
3,17.15,0.0114939,-64.23919583874158
4,17.2,1.969431E-02,-63.270787358684856
5,17.25,1.345809E-02,-62.30910902166988
6,17.3,-1.334618E-03,-61.35404809484476
7,17.35,9.099965E-03,-60.40549187314423
8,17.4,2.373091E-02,-59.463327679290614
9,17.45,1.853124E-02,-58.52744286379061
10,17.5,1.121105E-02,-57.59772480494007
11,17.55,1.402601E-02,-56.674060908819
12,17.6,1.580561E-02,-55.75633860929611
13,17.65,-2.114543E-03,-54.84444536802516
14,17.7,-2.240678E-02,-53.93826867444727
15,17.75,-3.519918E-02,-53.037696045790426
16,17.8,-4.501782E-02,-52.14261502706768
17,17.85,-2.165524E-02,-51.2529131910801
18,17.9,2.878617E-02,-50.36847813841473
19,17.95,5.994128E-02,-49.48919749744573
20,18,5.155265E-02,-48.61495892433254
21,18.05,1.977923E-02,-47.745650103022626
22,18.1,-2.142778E-02,-46.88115874524942
23,18.15,-4.802028E-02,-46.021372590532565
24,18.2,-5.865234E-02,-45.16617940617925
25,18.25,-4.617446E-02,-44.31546698728198
26,18.3,-2.825002E-02,-43.46912315672057
27,18.35,-3.256564E-03,-42.627035765161736
28,18.4,2.342365E-02,-41.78909269105816
29,18.45,3.576151E-02,-40.95518184064849
30,18.5,4.172162E-02,-40.12519114795964
31,18.55,3.599695E-02,-39.29900857480379
32,18.6,2.531448E-02,-38.47652211078025
33,18.65,1.656946E-02,-37.657619773274064
34,18.7,5.669263E-03,-36.84218960745807
35,18.75,1.133559E-02,-36.0301196862913
36,18.8,8.028175E-03,-35.221298110518546
37,18.85,1.995443E-02,-34.41561300867238
38,18.9,2.658965E-03,-33.61295253707067
39,18.95,1.613124E-02,-32.81320487981884
40,19,2.213836E-02,-32.0162582488083
41,19.05,6.369289E-02,-31.22200088371801
42,19.1,9.431507E-02,-30.430321052011777
43,19.15,0.1024861,-29.64110704894142
44,19.2,8.193567E-02,-28.854247197544964
45,19.25,5.662516E-02,-28.069629848646628
46,19.3,4.068807E-02,-27.28714338085797
47,19.35,4.435067E-02,-26.50667620057584
48,19.4,6.624207E-02,-25.728116741985332
49,19.45,7.000133E-02,-24.95135346705638
50,19.5,8.513233E-02,-24.176274865547157
51,19.55,8.796351E-02,-23.402769455001135
52,19.6,0.1025042,-22.630725780748435
53,19.65,9.930618E-02,-21.860032415906744
54,19.7,9.345347E-02,-21.090577961379267
55,19.75,9.761932E-02,-20.32225104585632
56,19.8,8.225054E-02,-19.55494032581464
57,19.85,6.270932E-02,-18.788534485516948
58,19.9,5.312378E-02,-18.022922237014427
59,19.95,5.137141E-02,-17.257992320142648
60,20,6.685099E-02,-16.493633502524744
61,20.05,9.017163E-02,-15.729734579570277
62,20.1,0.0821004,-14.96618437447546
63,20.15,0.0388168,-14.202871738223166
64,20.2,-3.571303E-03,-13.439685549582691
