,index,Samples,Nucleotide,k_deg per hour,k_deg_err per hour,halflife (hours),halflife_err (hours),amplitude,tau_boot
0,0,hHBB_10383581_START_reference_hHBB,PSU,0.48476867590663886,0.0753312829608259,1.4298514219459135,0.22219369239792044,1.00000305100257,"[2.62825494 2.08062054 2.02824739 2.83813449 2.08065595 2.62822147
 2.06288242 2.83813449 2.02825048 2.06281526 2.62821975 2.06283093
 2.62824227 2.83821559 2.62823363 2.62825494 2.062849   2.06283956
 2.06291107 2.06281526 2.62824227 2.06283956 2.08078819 2.06288242
 2.83813135 2.83817528 2.02824739 1.         2.06283956 2.62825494
 2.062849   2.062849   2.62825494 2.62825494 2.062849   2.02821694
 2.62821975 2.62821975 2.02821455 2.83813449 2.06285841 2.62825494
 2.06283093 2.08078819 2.83813135 2.83817528 2.06284608 2.08065595
 2.06288242 2.02818693 2.83813135 1.85042891 2.08078819 2.06288242
 2.06283093 2.06285841 2.02824739 2.83813135 2.06283956 2.83821559
 2.06283093 2.83813135 2.062849   2.06284608 2.06291107 2.08078819
 2.08078819 2.62821975 2.62824227 2.62825494 2.02821694 2.83813135
 2.83813135 2.62824227 2.06283093 2.62825494 2.62824227 2.08062463
 2.06283093 2.83813135 2.06291107 2.06291107 2.02824739 2.06283956
 2.83813135 2.02821694 2.83821559 2.06283956 2.06283956 2.06281526
 2.83817528 2.06291107 2.02818693 2.02836406 2.62824227 2.62823363
 2.062849   2.62822147 2.08078819 2.62825494 2.02825048 2.06283093
 2.83817528 2.06283093 2.08078819 2.062849   2.06281526 2.02821694
 2.02836406 2.62824227 2.62824227 2.08065595 2.62825494 2.06283093
 2.06281526 2.83817528 2.83813449 2.62825494 2.08078819 2.62822147
 2.28017809 2.06285841 2.06291107 2.06291107 2.08078819 2.02836406
 2.62824227 2.02818693 2.06288242 2.62824227 2.62825494 2.02818693
 2.06281526 2.08078819 2.62825494 2.06283956 2.06288242 2.06283093
 2.06291107 2.02821694 2.06291107 2.06285841 2.06283956 2.62825494
 2.06281526 2.06283956 2.08062054 2.06284608 2.83813449 2.08062054
 2.06281526 2.06288242 2.062849   2.06281526 2.62822147 2.06283956
 2.02821694 2.06284608 2.02836406 2.06291107 2.02825048 2.06283093
 2.06283093 2.06283956 2.06281526 2.02821694 2.062849   2.062849
 2.02825048 2.02821694 2.83813449 2.83813449 2.02818693 2.08062054
 2.08065595 2.06284608 2.83817528 2.02825048 2.02818693 2.02818693
 2.06281526 2.06291107 2.83817528 2.08062463 2.62824227 2.06283956
 2.06283093 2.02818693 2.08062054 2.08062054 2.62825494 2.06283956
 2.06288242 2.06281526 2.06291107 2.06283956 2.02821694 2.02836406
 2.08078819 2.08062463 2.83813135 2.62824227 2.06285841 2.06291107
 2.62822147 2.06291107 2.02818693 2.08065595 2.06283093 2.62825494
 2.02825048 2.062849   2.06291107 2.08078819 2.06281526 2.06281526
 2.06281526 2.02836406 2.62825494 2.06288242 2.06291107 2.08062054
 2.62824227 2.06283956 1.         2.83813449 2.83813449 2.83813135
 2.02821694 2.062849   2.06291107 2.83813135 2.62824227 2.62824227
 2.08062054 2.83813135 2.02821694 2.06283956 2.02818693 2.062849
 2.06281526 2.02836406 2.08060043 2.62821975 2.08062463 2.02836406
 2.06283956 2.02818693 2.62825494 2.08062054 2.06283093 2.06288242
 2.08060043 2.06285841 2.06283956 2.62825494 2.06283093 2.06288242
 2.83813135 2.08062054 2.08078819 2.06283956 2.06283956 2.08078819
 2.06283093 2.08078819 2.62825494 2.06283956 2.06281526 2.83813449
 2.83813449 2.06288242 2.06281526 2.83821559 2.062849   2.06284608
 2.06285841 2.02821694 2.08078819 2.62824227 2.08062054 2.02836406
 2.62821975 2.06291107 2.83813135 2.02821694 2.02825048 2.02836406
 2.02818693 2.02825048 2.08065595 2.02818693 2.02821694 2.62822147
 2.02818693 2.62824227 2.62822147 2.06291107 2.06284608 2.06281526
 2.06283956 2.06283956 2.02836406 2.06283956 2.02825048 2.06283093
 2.02825048 2.02818693 2.62824227 1.         2.83813135 2.62824227
 2.06281526 2.06283956 2.62824227 2.06283956 2.02825048 2.062849
 2.06283093 2.06291107 2.62821975 2.062849   2.02824739 2.83813135
 2.06283956 2.83813449 2.06283093 2.62824227 2.06281526 2.06283956
 2.08060043 2.83813135 2.83813449 2.062849   2.062849   2.062849
 2.06281526 2.02836406 2.08065595 2.062849   2.06281526 2.62822147
 2.06284608 2.02836406 2.08065595 2.02818693 2.02818693 2.83813135
 2.02821455 2.83813135 2.83813449 2.83821559 2.62823363 2.06284608
 2.02818693 2.08062054 2.83813135 2.06281526 2.83817528 2.83813135
 2.62823363 2.06283956 2.08065595 2.062849   2.06283956 2.062849
 2.08062463 2.08062054 2.06284608 2.62825494 2.06291107 2.06283956
 2.06283956 2.02818693 1.         2.02824739 2.02836406 2.08062054
 2.06281526 2.62822147 1.85042891 2.62825494 2.06291107 2.062849
 2.62824227 2.08060043 2.08065595 2.06281526 2.62824227 2.06291107
 2.62824227 2.08078819 2.02824739 2.02825048 2.02836406 2.83813135
 2.02836406 2.83817528 2.02821694 2.02821455 2.06288242 2.62825494
 2.06281526 2.02818693 2.83813135 2.62825494 2.02836406 2.06283956
 2.02836406 2.06283956 2.06281526 2.08078819 2.08060043 2.06283956
 2.83817528 2.83813135 2.62825494 2.06285841 2.02821694 2.06291107
 2.06283956 2.62824227 2.02818693 2.06291107 2.06283956 2.62824227
 2.02825048 2.62823363 2.08062463 2.62821975 2.06291107 2.06281526
 2.02821694 2.08078819 2.02836406 2.02818693 2.02821694 2.08062054
 2.08062463 2.06283956 2.02821694 2.06288242 2.08078819 2.08060043
 2.02821455 2.62825494 2.062849   2.06288242 2.83821559 2.06283956
 2.06283956 2.02821455 2.06288242 2.06281526 2.02818693 2.62823363
 2.83813135 2.08078819 2.02836406 2.02821694 2.02824739 2.06281526
 2.02818693 2.83817528 2.02836406 2.62821975 2.08078819 2.06283956
 2.62821975 2.02818693 2.06283093 2.062849   2.02825048 2.06281526
 2.06284608 2.83821559 2.08060043 2.06288242 2.83813449 2.062849
 2.02821694 2.08062054 2.02836406 2.62825494 2.02818693 2.83813135
 2.62825494 2.06283956 2.62825494 2.06283093 2.062849   2.02825048
 2.06285841 2.02821694 2.08065595 2.62825494 2.02821694 2.62824227
 2.06283093 2.83813449 2.06291107 2.02836406 2.83821559 2.83813135
 2.06281526 2.06283956 2.28017809 2.02821455 2.83821559 2.08062054
 2.83817528 2.83817528 1.         2.06288242 2.06283956 2.08060043
 2.02824739 2.06283956 2.83813135 2.62824227 2.02818693 2.08065595
 2.02821694 2.62825494 2.06283956 2.83813449 2.06281526 2.02821694
 2.83813135 2.06281526 2.06281526 2.08062054 2.062849   2.08065595
 2.06283956 2.08078819 2.83813449 2.62822147 2.08062054 2.02836406
 2.02821455 2.08060043 2.02825048 2.06283093 2.83817528 2.62822147
 2.62823363 2.02821694 2.02836406 2.83813135 2.62824227 2.08062463
 2.06285841 2.62822147 2.08062054 2.08078819 2.08062054 2.02821694
 2.06283956 2.06283093 2.06291107 2.83821559 2.06285841 2.06283956
 2.83813135 2.02821455 2.83813449 2.062849   2.02821694 2.062849
 2.06283956 2.06283956 2.062849   2.08062054 2.08062054 2.08062054
 2.02818693 2.83821559 2.62824227 1.09384495 2.08078819 2.83821559
 2.83813449 2.62825494 2.08062054 2.62824227 2.06283956 2.06285841
 2.83821559 2.06288242 2.83813135 2.06283093 2.06283956 2.06281526
 2.62825494 2.83813449 2.83821559 2.06281526 2.06291107 2.83813135
 2.06283093 2.02821694 2.83813135 2.62825494 2.62824227 2.06283956
 2.06283956 2.02821694 2.83813449 2.06283956 2.06281526 2.06281526
 2.062849   2.062849   2.06291107 2.02821694 2.02818693 2.08078819
 2.83813135 2.06283956 2.08062054 2.06283956 2.08065595 2.08078819
 2.06291107 2.02836406 2.83821559 2.06283093 2.06288242 2.06283093
 2.06285841 2.02824739 2.08078819 2.08065595 2.02821455 2.62821975
 2.02836406 2.062849   2.02825048 2.83821559 2.06283093 2.08062054
 2.62825494 2.06291107 2.06284608 2.06284608 2.06291107 2.02818693
 2.02825048 2.02818693 2.06283956 2.08060043 2.06284608 2.02825048
 2.02821694 2.08062054 2.62822147 2.02821455 2.62824227 2.62825494
 2.08065595 2.62825494 2.06291107 2.02821694 2.06291107 2.062849
 2.02836406 2.06291107 2.062849   2.02818693 2.62821975 2.06283956
 2.62825494 2.02836406 2.02818693 2.02824739 2.06283956 2.06288242
 2.02818693 2.83813135 2.06283956 2.08060043 2.062849   2.83821559
 2.08065595 2.02821694 2.06291107 2.62823363 2.06281526 2.06281526
 2.06283956 2.02818693 2.62825494 2.62825494 2.62823363 2.06284608
 2.06281526 2.06283956 2.08078819 2.06283956 2.62824227 2.02821694
 2.06291107 2.02821694 1.09384495 2.062849   2.02836406 2.62822147
 2.02821694 2.02821694 2.06291107 2.06291107 2.08060043 1.
 2.06288242 2.06283093 2.08062054 2.06283956 2.02824739 2.062849
 2.62824227 2.08078819 2.06291107 2.06281526 2.06291107 2.06291107
 2.83813135 2.06283093 2.83821559 2.83813449 2.06283956 2.02836406
 2.06284608 2.06281526 2.62822147 2.062849   2.08078819 2.08078819
 2.062849   2.06281526 2.06283956 2.62824227 2.02818693 2.02825048
 2.08078819 2.06291107 2.062849   2.02825048 2.062849   2.06283956
 2.08078819 2.02824739 2.06283956 2.06283956 2.62824227 2.06291107
 2.62825494 2.06283093 2.02821455 2.06281526 2.08065595 1.09384495
 2.08078819 2.02818693 2.06283956 2.06291107 2.06284608 2.62825494
 2.06288242 2.08078819 2.02821694 2.06291107 2.06283093 2.06288242
 2.06281526 2.62822147 2.06288242 2.06281526 2.62825494 2.62822147
 2.06281526 2.02818693 2.02821694 2.62823363 2.06283093 2.83817528
 2.062849   2.62825494 2.06285841 2.08062054 2.02821694 2.06281526
 2.062849   2.06291107 2.62821975 2.06283956 2.08065595 2.06283956
 2.83813449 2.02818693 2.02821694 2.02825048 2.62822147 2.062849
 2.08062054 2.02821694 2.02821694 2.06291107 2.62823363 2.062849
 2.83813449 2.62821975 2.83817528 2.08062054 2.06281526 2.06283093
 2.08060043 2.08062463 2.08078819 2.02824739 2.06281526 2.83821559
 2.62824227 2.06283956 2.06283956 2.02821694 2.02836406 2.62825494
 2.06283093 2.06283956 2.02821694 2.83813449 2.08065595 2.62825494
 2.06291107 2.02824739 2.06283956 2.08060043 2.62822147 2.02825048
 2.02836406 2.02821694 2.06283956 2.02821694 2.062849   2.02818693
 2.83817528 2.06283093 2.02836406 2.06284608 2.06283956 2.06281526
 2.08065595 2.62822147 2.02818693 2.02825048 2.62822147 2.06283956
 2.08078819 2.062849   2.62825494 2.02825048 2.06288242 2.02821694
 2.06283093 2.06285841 2.06283093 2.06291107 2.06283956 2.08065595
 2.06283956 2.08078819 2.02821694 2.06288242 2.62821975 2.62823363
 2.06283093 2.08078819 2.83813135 2.06285841 2.02836406 2.62824227
 2.06283956 2.06283956 2.02818693 2.08078819 2.06283956 2.02824739
 2.02821694 2.08078819 2.62825494 2.08078819 2.83813135 2.06283093
 2.06281526 2.08078819 2.06288242 2.83813135 2.06283956 2.62821975
 2.83813135 2.83813135 2.02824739 2.062849   2.06285841 2.62825494
 2.062849   2.08078819 2.02824739 2.08062054 2.83813135 2.83821559
 2.08062054 2.08062054 2.08078819 2.062849   2.06281526 2.08062054
 2.02821455 2.02836406 2.08078819 2.06283956 2.08078819 2.06281526
 2.02836406 2.08062054 2.83813449 2.02836406 2.08062054 2.62824227
 2.062849   2.06283093 2.83813135 2.02821455 2.062849   2.83817528
 2.62821975 2.06283093 2.06281526]"
1,1,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.25191359523596524,1.233428065930282,2.7515274827096188,13.472124115308622,0.9999963048129218,"[  7.26534159   2.28385843 136.22228707   1.07095521   2.28383759
   6.29158893  28.83853808  15.97897714   2.28385843   2.28385843
   7.26537315   3.96961505   7.26534159   2.28414273   7.2654917
   3.96960634   3.96960634   2.28385843   7.2653973    7.26534159
   7.26541304   7.26534159   7.26541304   3.96961505   2.28414273
   6.29175383  15.97907569   7.2654917    2.28383759   2.28385843
   7.2654917  136.22228707   3.96950804   2.28414273   3.96961505
   7.2654917    3.96950804   6.29158893   2.28383759   6.29175383
   6.29161213   2.28383759   7.2653973    3.96961505   7.26534159
  15.97907569   3.96950917  15.97897714   3.96961505   3.96961505
   2.28385843   3.96963333   6.29159652   6.29175383   3.96961505
   7.2654917    3.96961505   7.26534159   3.96969541   6.29175383
   3.96953663   3.96961505   6.29158893   3.96963333   2.28377448
   7.26534159   2.28383759   1.          15.97907389   3.96969541
   6.29158893   2.28385843   3.96963333   3.96969541   7.26534159
   6.29175383  15.97906241   7.26534159   6.29175383   3.96963333
   2.28385843   6.29175383   2.28414273   2.28414273   7.2654917
   3.96961505   7.2653973    7.26534159   3.96969541   7.2653973
  15.97897714   2.28385843   3.96953663   7.2654917    7.26541304
   2.28383759   3.96961505   6.29161213   3.96969541   3.96960634
   3.96969541   3.96961505   7.26541304   2.28379262   7.2654917
   3.96969541 136.22228707   7.2653973    7.2653973    2.28385843
   2.28385843   7.2654917    7.2653973    7.26541304  15.97907389
   1.          15.97897714   3.96961505   6.29175383   6.29158893
   7.26534159   3.96961505   3.96961505   7.2654917    3.96961505
   7.2654917    2.28385843   2.28379262   6.29159652   2.28385843
   7.26534159   6.29158893  15.97897714   2.28385843   3.96950804
   3.96963333   6.29175383   2.28383759   7.26541304   3.96961505
   7.2654917    3.96963333   2.28385843   3.96969541   3.96950804
  15.97907389  15.97907569   3.96969541   3.96969541   2.28383759
   7.26534159   6.29175383  15.97907389   6.29158893   7.2653973
   3.96969541   2.28383759   2.28381263  15.97907569   2.28383759
   2.28385843 136.22228707  15.97906241   3.96961505   7.2653973
   7.2654917    2.28377448   3.96961505   2.28385843   2.28385843
   3.96950804   3.96961505   7.26534159  15.97897714   6.29158893
   3.96950804   2.28381263  15.97897714  15.97907389   7.26541304
   3.96950917   2.28414273   7.26534159   6.29175383   3.96969541
  15.97897714  28.83853808  15.97907569   7.26541793   7.26537315
   3.96960634  15.97907569   7.2653973    3.96961505   3.96961505
   3.96963333   3.96960634   2.28381263   2.28383759   6.29175383
  15.97912336   3.96969541   3.96961505   3.96950917   2.28383759
  15.97907389   2.28383759   6.29158893  15.97897714   2.28383759
 136.22228707   3.96963333   3.96963333   7.26537315   3.96961505
  15.97906241   3.96963333   7.2653973    2.28383759   7.2654917
   2.28414273   2.28383759   7.26534159   7.2654917    3.96953663
   7.26534159  15.97897714   7.26534159   3.96969541   3.96963333
   2.28379262   2.28385843   3.96950804   7.26541304   2.28381263
   2.28414273   3.96960634   2.28379262  15.97906241   7.26541304
   7.26541304   2.28377448  28.83853808   6.29175383   2.28414273
   1.07095521   3.96963333   3.96961505   7.26541793   2.28383759
   3.96960634  15.97907569   3.96961505   3.96953663   2.28381263
   2.28383759   7.2653973    7.2654917  136.22228707   2.28414273
   6.29159652   7.26541304   7.26534159 136.22228707  15.97897714
   7.26541304   3.96963333  15.97912336   7.26534159   3.96963333
   7.2654917   15.97912336   2.28377448   3.96961505   1.07095521
  15.97897714   2.28381263   2.28377448   6.29159652  28.83853808
   6.29175383  28.83853808  15.97912336   3.96950804   3.96961505
   6.29159652   2.28383759   7.2653973    7.2653973    2.28383759
   2.28414273   7.26534159   3.96961505   7.2653973    3.96961505
   7.2653973    2.28414273  15.97907569   7.26534159 136.22228707
   3.96953663 136.22228707   3.96950804   3.96950804   3.96961505
   6.29159652   7.2653973    3.96969541   6.29175383  15.97912336
   3.96950804   2.28385843   3.96969541  28.83853808   2.28385843
  15.97897714   7.2653973    6.29158893   3.96963333  15.97906241
 136.22228707   3.96961505   2.28414273  15.97907389   7.2654917
   1.           2.28381263 136.22228707   3.96961505   7.26541793
   3.96961505  15.97907569   7.2653973  136.22228707   2.28377448
  15.97906241   7.26541304   7.26537315   2.28385843   3.96969541
   3.96969541   7.26534159  15.97907389   2.28414273   7.26541793
   2.28383759  15.97897714   7.26534159   7.2654917    7.2654917
  15.97907389   3.96961505   6.29175383   2.28414273   7.2654917
  15.97907389   7.2653973    2.28383759   6.29161213   6.29175383
   3.96961505   3.96963333   2.28381263   2.28414273   3.96969541
   6.29175383   3.96963333   2.28414273   6.29175383   6.29161213
   3.96950804   3.96969541  15.97897714   7.26541793  15.97907389
   3.96963333   6.29161213  15.97907389   2.28414273   3.96969541
   7.2653973    2.28385843  15.97912336   6.29175383   3.96969541
   2.28385843   7.2654917    3.96963333   3.96961505   2.28385843
   7.2653973    2.28385843   2.28383759   3.96963333  15.97897714
   3.96961505   3.96961505  15.97906241  28.83853808   7.2654917
   3.96963333   7.26534159   3.96969541  15.97897714  15.97907389
   7.2654917    3.96969541   2.28385843  15.97907389   7.26534159
   2.28383759   3.96950917   3.96963333   2.28385843   2.28414273
   6.29159652   7.26534159  15.97912336   2.28383759   3.96961505
  15.97907389   7.26534159   2.28383759   3.96963333  15.97897714
  15.97907389   6.29175383   6.29175383   3.96950804   6.29175383
   7.26541304   3.96961505   3.96950804   3.96950804   3.96963333
   2.28414273   3.96961505   3.96963333   3.96961505   3.96960634
   6.29175383   3.96969541  15.97907389  15.97906241   6.29175383
  15.97907389   6.29161213   2.28414273   3.96950804   3.96950804
  15.97912336   3.96963333   2.28414273   6.29175383   3.96953663
   3.96961505  15.97907389   7.2654917    7.26541304   3.96961505
  15.97897714   7.26534159   2.28383759   3.96961505   3.96950804
   2.28385843   6.29161213   2.28383759   3.96950804   3.96950917
  15.97912336   3.96953663   2.28379262   3.96963333   3.96961505
   7.26541793   3.96963333   7.2654917    6.29161213   2.28414273
   3.96961505   2.28379262   2.28385843   3.96969541   2.28385843
   7.26541304   2.28385843   7.2653973    3.96969541   6.29159652
   3.96961505   2.28383759  15.97907389   3.96961505   2.28383759
   7.26541793   6.29175383   2.28377448   2.28414273   6.29161213
   3.96961505   2.28383759   3.96961505   6.29158893   3.96961505
   2.92942038   2.28414273   2.28385843  15.97907389   7.26537315
   2.28377448   2.28414273  15.97897714  15.97897714   2.28383759
   7.2653973    7.2653973    2.28383759   3.96950917   2.28383759
  15.97907389   3.96969541  15.97907389   3.96950804   3.96953663
  15.97897714   3.96950804  15.97907389   3.96963333   7.26534159
   6.29159652   3.96969541   3.96961505   7.26534159   7.2654917
   3.96950804   2.28414273   6.29175383   6.29161213  15.97897714
   7.26534159   2.28414273   3.96961505   3.96969541   3.96963333
  15.97907389   3.96961505   7.2654917    3.96961505   4.30548993
   2.28383759   2.28383759   2.28385843  15.97906241   2.28414273
   3.96953663   6.29158893   3.96961505   7.26541304   2.28414273
   3.96961505   6.29161213   2.28414273   3.96950804   2.28383759
  15.97907569   2.28414273   2.28383759  15.97897714   6.29175383
   3.96960634  28.83853808  15.97907389   7.2653973    7.2653973
   3.96953663   2.28385843  15.97907389   3.96963333   7.2654917
   2.28414273  15.97907569   3.96961505   3.96961505   7.26534159
  15.97907389   7.2654917    7.2653973    3.96950804   7.2654917
   7.26541304   2.28383759   7.2653973    6.29175383   3.96969541
   7.26534159   6.29161213   6.29175383   2.28385843   3.96950804
  28.83853808   2.92942038  15.97907389   2.28381263   7.26534159
   7.2654917    7.26541304   3.96961505  15.97912336   3.96961505
   3.96963333   7.2653973    6.29158893   3.96960634   3.96961505
   7.26534159  15.97897714   3.96961505  15.97906241  15.97907389
   3.96961505   3.96960634   2.28414273   2.28381263   6.29175383
 136.22228707   7.2654917    3.96969541   3.96961505   7.26534159
   3.96961505   3.96963333 136.22228707   2.28414273   3.96950804
   7.26537315   3.96961505   3.96963333   2.28414273 136.22228707
  15.97897714   2.28383759   7.26541304   2.28383759   7.26534159
   2.28383759  15.97912336   3.96969541   3.96969541  15.97912336
   6.29175383   2.28414273   2.28385843   7.26534159   6.29175383
   2.28377448  15.97897714   7.2654917    6.29175383 136.22228707
   2.28414273   7.2653973    7.26534159   3.96961505 136.22228707
   2.28414273  15.97907389   3.96961505   3.96950804   2.28379262
   7.26541304   7.2654917    7.26537315   7.2654917    3.96969541
   2.28414273   6.29175383  15.97897714  28.83853808   7.26534159
   3.96950917   3.96961505   6.29158893   7.2653973    7.2653973
   3.96961505   2.28414273   3.96961505   6.29158893   3.96961505
   7.2654917   15.97907389   7.26541304   6.29159652   6.29175383
  15.97907569  15.97907389  15.97912336   7.2654917    3.96961505
   6.29175383   7.2654917    3.96969541   7.2654917    3.96961505
   6.29161213   7.26534159   7.26534159  15.97907389   3.96961505
   3.96950804   3.96963333   6.29175383  15.97907389   3.96950804
   3.96960634   2.28414273  15.97897714   2.28414273  15.97897714
  15.97906241   7.26537315   2.28414273   6.29175383  15.97907389
  15.97912336   3.96969541   2.28383759   2.28383759  15.97907389
   3.96950804   3.96961505   3.96953663   2.28377448   3.96961505
  15.97912336   3.96963333   2.28385843  15.97912336   3.96961505
   3.96950917   7.26541304  15.97912336  15.97912336  15.97906241
   3.96969541   2.28414273   3.96961505   7.2653973    7.26534159
   3.96961505 136.22228707  28.83853808  15.97906241  15.97907569
   7.2653973    7.2654917    3.96953663   3.96961505   2.28377448
   2.28385843  15.97907389   2.28414273   3.96969541   7.26534159
   6.29175383   7.26537315 136.22228707  15.97907569   6.29158893
  15.97907389   6.29161213   2.28377448   6.29175383  15.97912336
   7.2653973    6.29159652   3.96969541   3.96969541   7.2653973
   3.96950917   2.28414273   2.28383759   2.28381263   2.28379262
   3.96969541   3.96969541  15.97912336  28.83853808   2.28383759
   3.96963333   7.2653973    6.29159652   3.96963333   2.28381263
   7.2654917    7.2653973    3.96953663   3.96950804   3.96961505
   2.28377448   2.28385843  15.97912336   7.2653973    2.28414273
   7.26541793   6.29161213   2.28379262  15.97907569   6.29158893
  15.97907389   7.26541793   3.96961505   2.28414273   2.28385843
   2.28381263   7.2654917   15.97912336   7.2653973    3.96963333
   2.28414273   1.07095521   4.30548993  15.97907389   3.96950804
   3.96961505   7.2654917    7.26534159   7.26537315   7.2654917
  15.97907389   6.29159652  15.97897714   6.29159652  15.97912336
  15.97912336  15.97906241   3.96963333  15.97912336   7.2654917
  15.97912336   2.28379262  15.97907389   2.28381263   7.26534159
   7.26534159   2.28385843   6.29175383  15.97897714   3.96963333
   2.28385843   6.29158893   7.2653973    7.2653973    3.96960634
  15.97907389   7.2653973    2.28383759   6.29175383   3.96969541
   2.28379262   3.96960634   2.28414273   7.2653973   28.83853808
   7.26534159   7.2654917    3.96961505   7.26534159   6.29175383
   3.96950804   2.28385843  15.97912336   3.96950804   3.96953663
   2.28385843   3.96969541   7.26534159   7.2654917    3.96963333
   7.2654917    7.26534159  15.97907389   3.96969541   6.29175383
   2.28383759   6.29175383   2.28385843   7.26541304   3.96950917
   3.96963333   6.29159652   3.96969541   6.29159652   3.96950804
   3.96950804   6.29175383   3.96950804   3.96960634  15.97907389
   3.96961505   3.96950917   7.2653973    2.28383759   2.28377448
   7.26534159   3.96961505   2.28377448   3.96961505  15.97897714
   1.07095521  15.97897714  15.97897714 136.22228707   3.96963333
   3.96963333   2.28383759   3.96961505   7.26534159   6.29161213
   2.28414273   6.29158893   3.96961505  15.97897714   2.28414273
   7.2653973    3.96969541   7.26534159  15.97907389   3.96950917
  28.83853808   6.29175383   3.96961505  15.97907389   7.2653973
   3.96963333   7.2653973    2.28414273   3.96950917   7.2653973
  15.97897714   3.96950917   3.96950804   6.29158893  15.97906241
   7.26541793   2.28385843  15.97897714   3.96961505   2.28414273
  15.97897714   6.29158893   6.29175383   3.96961505   2.28414273
   7.2653973    7.26534159  15.97912336  28.83853808   3.96950804
   3.96969541  15.97907389 136.22228707   7.2654917    3.96969541
   7.2654917    3.96961505  15.97912336   3.96953663   7.26537315
   6.29175383   3.96963333   3.96961505   7.26534159   6.29175383
   3.96961505   3.96963333  15.97897714   2.28383759   2.28379262
   6.29175383]"
