Plate_Number,File_Name
1,Eukaryote Total RNA Nano_2020-12-02_14-31-30
2,Eukaryote Total RNA Nano_2020-12-02_14-38-16
3,Eukaryote Total RNA Nano_2020-12-02_15-29-46
4,Eukaryote Total RNA Nano_2020-12-02_15-24-46
5,Eukaryote Total RNA Nano_2020-12-02_15-48-34
6,Eukaryote Total RNA Nano_2020-12-02_15-54-46
7,Eukaryote Total RNA Nano_2020-12-02_16-14-33
8,Eukaryote Total RNA Nano_2020-12-02_16-22-53
