,,kdeg,kdeg_err
hHBB_10383581_START_reference_hHBB,PSU,0.701545308,0.119198874
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.183782628,0.062663642
hHBB_10383651_GC_rich_1_hHBB,PSU,0.669839808,0.121974057
hHBB_10383653_GC_rich_2_hHBB,PSU,0.705753342,0.116712244
hHBB_10388753_IDT_1_hHBB,PSU,0.550099063,0.059983526
hHBB_10388767_Genewiz_1_hHBB,PSU,0.981966728,0.269927294
hHBB_10388774_Twist_1_hHBB,PSU,0.498886839,0.064441872
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0.197178305,0.072548089
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0.760217498,0.094000108
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.561173654,0.042030649
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0.408177109,0.114659578
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.210947297,0.038195824
hHBB_10415488_RLT-10_hHBB,PSU,0.338977042,0.082528397
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.307825927,0.066828346
hHBB_10419522_12_hHBB,PSU,0.743819025,0.175975427
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0.231222116,0.072474245
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0.638782572,0.101981719
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0.717874406,0.060813894
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0.69607026,0.127348258
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0.170377721,0.060363554
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0.319388905,0.084469013
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0.21466438,0.061729998
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0.248152801,0.046070188
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0.426129386,0.085873378
