Sample,Nucleotide,Timepoint,Plate,FileNumber
hHBB_10383581_START_reference_hHBB,PSU,0,1,1
hHBB_10383581_START_reference_hHBB,PSU,1,1,2
hHBB_10383581_START_reference_hHBB,PSU,3,1,3
hHBB_10383581_START_reference_hHBB,PSU,5,1,4
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0,1,5
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1,1,6
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3,1,7
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5,1,8
hHBB_10383653_GC_rich_2_hHBB,PSU,0,1,9
hHBB_10383653_GC_rich_2_hHBB,PSU,1,1,10
hHBB_10383653_GC_rich_2_hHBB,PSU,3,1,11
hHBB_10383653_GC_rich_2_hHBB,PSU,5,1,12
hHBB_10383651_GC_rich_1_hHBB,PSU,0,2,1
hHBB_10383651_GC_rich_1_hHBB,PSU,1,2,2
hHBB_10383651_GC_rich_1_hHBB,PSU,3,2,3
hHBB_10383651_GC_rich_1_hHBB,PSU,5,2,4
hHBB_10388774_Twist_1_hHBB,PSU,0,2,5
hHBB_10388774_Twist_1_hHBB,PSU,1,2,6
hHBB_10388774_Twist_1_hHBB,PSU,3,2,7
hHBB_10388774_Twist_1_hHBB,PSU,5,2,8
hHBB_10388767_Genewiz_1_hHBB,PSU,0,2,9
hHBB_10388767_Genewiz_1_hHBB,PSU,1,2,10
hHBB_10388767_Genewiz_1_hHBB,PSU,3,2,11
hHBB_10388767_Genewiz_1_hHBB,PSU,5,2,12
hHBB_10388753_IDT_1_hHBB,PSU,0,3,1
hHBB_10388753_IDT_1_hHBB,PSU,1,3,2
hHBB_10388753_IDT_1_hHBB,PSU,3,3,3
hHBB_10388753_IDT_1_hHBB,PSU,5,3,4
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0,3,5
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,1,3,6
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,3,3,7
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,5,3,8
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0,3,9
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,1,3,10
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,3,3,11
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,5,3,12
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0,4,1
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,1,4,2
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,3,4,3
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,5,4,4
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0,4,5
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,1,4,6
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,3,4,7
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,5,4,8
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0,4,9
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,1,4,10
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,3,4,11
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,5,4,12
hHBB_10415488_RLT-10_hHBB,PSU,0,5,1
hHBB_10415488_RLT-10_hHBB,PSU,1,5,2
hHBB_10415488_RLT-10_hHBB,PSU,3,5,3
hHBB_10415488_RLT-10_hHBB,PSU,5,5,4
hHBB_10419522_12_hHBB,PSU,0,5,5
hHBB_10419522_12_hHBB,PSU,1,5,6
hHBB_10419522_12_hHBB,PSU,3,5,7
hHBB_10419522_12_hHBB,PSU,5,5,8
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0,5,9
