,,kdeg,kdeg_err
hHBB_10383581_START_reference_hHBB,PSU,0.50645459,0.128070337
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.157719881,0.039376171
hHBB_10383651_GC_rich_1_hHBB,PSU,0.466445449,0.137044025
hHBB_10383653_GC_rich_2_hHBB,PSU,0.493605631,0.133181286
hHBB_10388753_IDT_1_hHBB,PSU,0.598320543,0.062212456
hHBB_10388767_Genewiz_1_hHBB,PSU,0.571823236,0.219114628
hHBB_10388774_Twist_1_hHBB,PSU,0.417434367,0.066320222
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0.146908044,0.059782413
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0.615118225,0.087257733
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.49705024,0.047229385
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0.272544691,0.1125262
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.215906777,0.020394848
hHBB_10415488_RLT-10_hHBB,PSU,0.262483972,0.082996017
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.250281532,0.061172685
hHBB_10419522_12_hHBB,PSU,0.501747603,0.144992488
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0.170074426,0.085490855
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0.52206812,0.084984272
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0.583117017,0.114398174
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU,0.509534641,0.120784701
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0.15338025,0.0208784
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU,0.243229338,0.090417936
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0.177516271,0.058131361
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU,0.21432113,0.049231744
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU,0.337636767,0.064905313
