Well,Sample ID,Conc. (ng/ul),RQN,28S/18S
A1,B1_TP1,56.4316,1.3,0.0
A2,B1_TP2,39.1348,1.2,0.0
A3,B1_TP3,37.4155,1.3,0.0
A4,B1_TP4,60.5247,1.1,0.0
A5,B1_PU_TP4,35.3622,1.0,0.0
A6,B1_PU_TP3,60.3305,1.0,0.0
A7,B1_PU_TP2,40.5707,1.1,0.0
A8,B1_PU_TP1,56.4610,1.1,0.0
A9,C1_TP4,34.7816,1.1,0.0
A10,C1_TP3,60.0010,1.2,0.0
A11,C1_TP2,29.1705,1.1,0.0
A12,C1_TP1,23.1204,1.1,0.0
B1,C1_PU_TP1,87.9970,1.2,0.0
B2,C1_PU_TP2,47.8440,1.0,0.0
B3,C1_PU_TP3,44.3753,1.0,0.0
B4,C1_PU_TP4,44.5071,1.0,0.0
B5,H1_TP1,66.3850,7.4,0.0
B6,H1_TP2,79.9096,4.0,0.0
B7,H1_TP3,106.6652,1.1,0.0
B8,H1_TP4,70.9224,1.7,1.1
B9,H1_PU_TP1,84.2716,1.1,0.0
B10,H1_PU_TP2,192.5250,1.1,0.0
B11,H1_PU_TP3,88.0745,1.0,0.0
B12,H1_PU_TP4,46.3314,1.0,0.0
C1,A2_TP1,55.9423,9.3,0.0
C2,A2_TP2,19.1056,1.0,0.0
C3,A2_TP3,40.1275,1.0,0.0
C4,A2_TP4,46.0897,1.0,0.0
C5,A2_PU_TP1,93.5159,1.3,0.0
C6,A2_PU_TP2,55.1776,1.1,0.0
C7,A2_PU_TP3,43.6480,1.0,0.0
C8,A2_PU_TP4,79.0091,1.0,0.0
C9,F2_TP1,58.3521,1.2,0.7
C10,F2_TP2,135.0059,1.2,1.2
C11,F2_TP3,84.9708,1.1,0.0
C12,F2_TP4,38.8941,1.1,0.0
D1,F2_PU_TP1,37.3207,1.6,0.0
D2,F2_PU_TP2,39.5939,1.5,0.0
D3,F2_PU_TP3,47.7004,1.8,0.0
D4,F2_PU_TP4,67.0849,1.7,0.0
D5,G2_TP1,50.9038,1.1,0.0
D6,G2_TP2,44.1345,1.1,0.0
D7,G2_TP3,30.5696,1.1,0.0
D8,G2_TP4,43.1488,1.1,0.0
D9,G2_PU_TP1,107.1061,1.1,0.0
D10,G2_PU_TP1,176.2612,1.0,0.0
D11,G2_PU_TP1,85.6007,1.0,0.0
D12,G2_PU_TP1,38.2111,1.0,0.0
E1,A1_TP1,29.1971,1.3,0.0
E2,A1_TP2,20.0380,1.2,0.0
E3,A1_TP3,17.9499,1.2,0.0
E4,A1_TP4,25.4948,1.1,0.0
E5,D1_TP1,58.7175,1.2,0.0
E6,D1_TP2,63.6183,1.1,0.0
E7,D1_TP3,51.2738,1.0,0.0
E8,D1_TP4,96.2756,1.1,0.0
E9,F1_TP1,76.8270,1.1,0.0
E10,F1_TP2,48.4827,1.2,0.0
E11,F1_TP3,32.5411,1.4,0.0
E12,F1_TP4,25.7191,1.1,0.0
F1,G1_TP1,25.6912,6.7,0.0
F2,G1_TP2,23.9770,2.6,0.0
F3,G1_TP3,24.1460,1.3,0.0
F4,G1_TP4,37.2018,1.0,0.0
F5,B2_TP1,128.8276,7.0,0.0
F6,B2_TP2,90.2689,2.9,0.0
F7,B2_TP3,34.9373,1.6,0.0
F8,B2_TP4,54.3629,1.2,0.0
F9,C2_TP1,31.3861,1.2,0.0
F10,C2_TP2,33.4617,1.3,0.0
F11,C2_TP3,36.4131,1.2,0.0
F12,C2_TP4,29.7625,1.1,0.0
G1,D2_TP1,99.8957,5.2,0.0
G2,D2_TP2,49.5714,2.3,0.0
G3,D2_TP3,65.0488,1.4,1.0
G4,D2_TP4,48.8988,1.1,0.0
G5,E2_TP1,76.5664,1.2,0.3
G6,E2_TP2,20.0022,1.1,0.0
G7,E2_TP3,11.1480,1.2,0.0
G8,E2_TP4,23.4499,1.3,0.0
G9,H2_TP1,26.3041,1.3,0.0
G10,H2_TP2,17.1843,1.1,0.0
G11,H2_TP3,51.1266,1.1,0.0
G12,H2_TP4,43.5803,1.1,0.0
H1,A3_TP1,92.8744,1.3,0.4
H2,A3_TP2,39.3530,1.1,0.0
H3,A3_TP3,80.4767,1.2,0.0
H4,A3_TP4,30.9647,1.1,0.0
H5,B3_TP1,110.1243,1.1,0.3
H6,B3_TP2,30.7722,1.0,0.0
H7,B3_TP3,34.3995,1.1,0.0
H8,B3_TP4,29.9544,1.1,0.0
H9:,,1.1626,4.5,0.0
H10:,,0.3135,6.9,0.0
H11:,,0.2320,9.6,0.0
H12,Ladder,96.0000,3.7,1.0
