,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,peak_area,peak_background_area,lane_background_area,all_id_peaks,peak_area_subtracted,fraction_intact
0,hHBB_10383581_START_reference_hHBB,PSU,0.0,1,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample2.csv,879.7116164596414,779.7116164596414,979.7116164596414,85.4467561932827,2240.7958048445403,505.98585167198183,2446.452028905367,[ 23.77029983 879.71161646],1734.8099531725584,0.7091125976211258
2,hHBB_10383581_START_reference_hHBB,PSU,1.0,1,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample4.csv,886.2860238246948,786.2860238246948,986.2860238246948,83.91267593046847,1620.750651954035,541.5471040209175,2361.2296719362175,[ 23.77029983 292.9662632  886.28602382],1079.2035479331175,0.45705149344839735
5,hHBB_10383581_START_reference_hHBB,PSU,3.0,1,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample7.csv,919.6931777638588,819.6931777638588,1019.6931777638588,78.39780094557199,770.1853646889894,424.1842090093905,1995.4480229607366,[ 23.77029983 281.20840542 919.69317776],346.00115567959887,0.17339522337756574
7,hHBB_10383581_START_reference_hHBB,PSU,5.0,1,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-39-50_Sample9.csv,960.9749852537599,860.9749852537599,1060.9749852537598,71.71109279255194,367.5521428600302,221.88996819138433,1390.487135657469,[ 23.77029983 287.04514843 960.97498525],145.66217466864586,0.10475621883389226
10,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.0,2,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample2.csv,844.3224522531091,744.3224522531091,944.3224522531091,352.921061425492,1790.6266896070604,255.56273353745226,1939.9914037599183,[ 25.         844.32245225],1535.0639560696081,0.7912735866223346
12,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.0,2,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample4.csv,844.3224522531091,744.3224522531091,944.3224522531091,373.46115256047835,1397.7483666996343,300.43426015552666,1797.095126313893,[ 25.         431.4052595  844.32245225],1097.3141065441077,0.610604352811785
15,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3.0,2,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample7.csv,832.004234031494,732.004234031494,932.004234031494,378.17783889051265,1231.4227366900068,385.5671621031376,2144.288578033069,[ 25.         424.70907169 832.00423403],845.8555745868691,0.3944690949026845
17,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5.0,2,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample9.csv,825.9168766008916,725.9168766008916,925.9168766008916,392.8794116025759,965.6082904550926,379.0320585218573,1983.5189962125028,[ 25.        422.5267633 825.9168766],586.5762319332352,0.2957250387081208
20,hHBB_10383653_GC_rich_2_hHBB,PSU,0.0,3,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample2.csv,843.2261878655518,743.2261878655518,943.2261878655518,270.763315105614,3101.7821292075123,525.9833228800098,3362.1283950107054,[ 25.         843.22618787],2575.7988063275025,0.7661214872548914
22,hHBB_10383653_GC_rich_2_hHBB,PSU,1.0,3,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample4.csv,862.2243349978453,762.2243349978453,962.2243349978453,265.60571120323044,1609.84654057604,438.28429147215024,2213.6373044149545,[ 25.         409.51926719 862.224335  ],1171.5622491038898,0.5292476083445493
25,hHBB_10383653_GC_rich_2_hHBB,PSU,3.0,3,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample7.csv,875.1286991994383,775.1286991994383,975.1286991994383,227.88864306063812,770.3717194086946,391.5018140016318,1774.1118473358272,[ 25.         411.72666147 875.1286992 ],378.86990540706284,0.21355468990075763
27,hHBB_10383653_GC_rich_2_hHBB,PSU,5.0,3,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample9.csv,888.2251669031648,788.2251669031648,988.2251669031648,212.2697040789632,480.12399895402086,298.4340911583952,1567.8997185582741,[ 25.         411.72666147 888.2251669 ],181.6899077956257,0.11588107686038393
30,hHBB_10383651_GC_rich_1_hHBB,PSU,0.0,4,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample2.csv,838.2488992428263,738.2488992428263,938.2488992428263,328.5007245073502,3406.4091911251576,643.5404100725714,3629.192777111524,[ 25.         838.24889924],2762.868781052586,0.761290168567886
32,hHBB_10383651_GC_rich_1_hHBB,PSU,1.0,4,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample4.csv,844.4600677347045,744.4600677347045,944.4600677347045,344.8613623584957,2188.4402820827613,773.6004296933896,3118.6829167311957,[ 25.         410.08653145 844.46006773],1414.8398523893716,0.45366582309442227
35,hHBB_10383651_GC_rich_1_hHBB,PSU,3.0,4,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample7.csv,857.0179192024261,757.0179192024261,957.0179192024261,343.7045727636927,987.6174685469547,536.0152161118301,2312.676403790079,[ 25.         410.08653145 857.0179192 ],451.60225243512457,0.19527256459011133
37,hHBB_10383651_GC_rich_1_hHBB,PSU,5.0,4,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample9.csv,844.4600677347045,744.4600677347045,944.4600677347045,373.4100059156077,861.4548239299837,585.8141199326099,2740.3662275593138,[ 25.         402.75043579 844.46006773],275.64070399737386,0.10058535287193024
40,hHBB_10388774_Twist_1_hHBB,PSU,0.0,5,2,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample2.csv,875.9381187008693,775.9381187008693,975.9381187008693,98.95952713572888,1924.9030125677261,339.26088427769247,2152.4052521643343,[ 23.44625476 875.9381187 ],1585.6421282900337,0.7366838222939679
42,hHBB_10388774_Twist_1_hHBB,PSU,1.0,5,4,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample4.csv,882.5254935130417,782.5254935130417,982.5254935130417,99.65738262053112,1431.262814883379,401.8125945626379,2025.4381376095344,[ 23.44625476 882.52549351],1029.450220320741,0.5082605097659119
45,hHBB_10388774_Twist_1_hHBB,PSU,3.0,5,7,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample7.csv,915.9897955612352,815.9897955612352,1015.9897955612352,93.95521771663509,575.0056649401382,324.58706254984384,1558.7045271260204,[ 23.44625476 376.45873109 915.98979556],250.41860239029438,0.16065816069195787
47,hHBB_10388774_Twist_1_hHBB,PSU,5.0,5,9,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample9.csv,922.7888546464646,822.7888546464646,1022.7888546464646,93.47198862697007,377.25728331855373,261.89977456788375,1565.3774574684921,[ 23.44625476 358.80415467 922.78885465],115.35750875066998,0.0736930944037131
50,hHBB_10388767_Genewiz_1_hHBB,PSU,0.0,6,2,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample2.csv,869.4532733591345,769.4532733591345,969.4532733591345,130.25096305567806,3016.254920588365,392.8196820988886,3155.9807690161074,[ 23.41923142 869.45327336],2623.4352384894764,0.8312583093804292
52,hHBB_10388767_Genewiz_1_hHBB,PSU,1.0,6,4,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample4.csv,882.6162882800037,782.6162882800037,982.6162882800037,136.32389041898173,2119.4682771141524,591.3551957584893,2861.620382550594,[ 23.41923142 882.61628828],1528.113081355663,0.5340027247057972
55,hHBB_10388767_Genewiz_1_hHBB,PSU,3.0,6,7,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample7.csv,882.6162882800037,782.6162882800037,982.6162882800037,136.55633698543014,1031.6320147680356,564.5011399023122,2339.1054655328953,[ 23.41923142 309.21145554 882.61628828],467.1308748657234,0.19970492213753244
