,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,peak_area,peak_background_area,lane_background_area,all_id_peaks,peak_area_subtracted,fraction_intact
57,hHBB_10388767_Genewiz_1_hHBB,PSU,5.0,6,9,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample9.csv,929.7966490649517,829.7966490649517,1029.7966490649517,138.02103295967154,374.66878534361484,255.5334278779439,1339.4519180976129,[ 23.41923142 390.66330792 929.79664906],119.13535746567095,0.08894336247237278
60,hHBB_10388753_IDT_1_hHBB,PSU,0.0,7,2,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample2.csv,884.4208671400293,784.4208671400293,984.4208671400293,130.533339346944,2119.745972962949,505.66065786693514,2270.8874551946274,[ 23.15240867 884.42086714],1614.0853150960138,0.7107729233361227
62,hHBB_10388753_IDT_1_hHBB,PSU,1.0,7,4,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample4.csv,904.7088123604317,804.7088123604317,1004.7088123604317,136.42349015787389,1476.672235305319,469.85393995818254,2171.831064105275,[ 23.15240867 350.34577413 904.70881236],1006.8182953471364,0.4635803916737481
65,hHBB_10388753_IDT_1_hHBB,PSU,3.0,7,7,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample7.csv,911.5455021806127,811.5455021806127,1011.5455021806127,135.60725361015173,769.0130642497567,403.7463350622264,1943.8405834121309,[ 23.15240867 337.30669947 911.54550218],365.26672918753025,0.18790981745342375
67,hHBB_10388753_IDT_1_hHBB,PSU,5.0,7,9,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample9.csv,932.2789536012132,832.2789536012132,1032.2789536012133,137.24275603895552,639.0717885658654,362.2669176957395,2034.381785946226,[ 23.15240867 330.93380105 932.2789536 ],276.8048708701259,0.13606338435702184
70,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.0,8,2,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample2.csv,838.7200569229635,738.7200569229635,938.7200569229635,133.04941977041315,3254.6459073255496,435.75862118908685,3585.399698511854,[ 23.31495775 838.72005692],2818.8872861364625,0.7862128418503694
72,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,1.0,8,4,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample4.csv,851.5306537418013,751.5306537418013,951.5306537418013,138.56777182653857,1775.4600333307005,442.42204372160865,2677.7745170100143,[ 23.31495775 322.60578489 851.53065374],1333.037989609092,0.4978156230635705
75,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,3.0,8,7,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample7.csv,857.9881062967011,757.9881062967011,957.9881062967011,139.0284967602662,935.1811515167857,396.33660559885385,2466.757164668661,[ 23.31495775 316.36965079 857.9881063 ],538.8445459179318,0.21844247728791347
77,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,5.0,8,9,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample9.csv,864.4804498516347,764.4804498516347,964.4804498516347,142.77103737274246,590.9268123524733,309.16056726302907,2333.790319556637,[ 23.31495775 310.2251388  864.48044985],281.7662450894443,0.1207333164116359
80,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.0,9,2,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample2.csv,858.1164209631751,758.1164209631751,958.1164209631751,90.67871551992353,2474.7398662027736,247.01022646449195,2620.993338657152,[ 23.33927898 858.11642096],2227.7296397382815,0.8499562386830192
82,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,1.0,9,4,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample4.csv,851.6747412723628,751.6747412723628,951.6747412723628,98.5566714215474,2320.6972822591533,424.22390465196867,2802.635714453572,[ 23.33927898 851.67474127],1896.4733776071846,0.6766749484518501
85,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,3.0,9,7,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample7.csv,851.6747412723628,751.6747412723628,951.6747412723628,88.57888630007369,1471.3055311858182,414.4873935059238,2247.2405476894833,[ 23.33927898 851.67474127],1056.8181376798943,0.4702737046848276
87,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,5.0,9,9,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample9.csv,851.6747412723628,751.6747412723628,951.6747412723628,93.75779459814252,1190.2981110814176,459.0486762543159,2260.2710894499296,[ 23.33927898 270.97718323 851.67474127],731.2494348271016,0.32352288990479544
90,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.0,10,2,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample2.csv,856.439953016888,756.439953016888,956.439953016888,145.50586120657192,1947.0867139490974,276.68357897589425,2060.9965798289422,[ 23.31260034 856.43995302],1670.4031349732031,0.8104832154121491
92,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,1.0,10,4,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample4.csv,856.439953016888,756.439953016888,956.439953016888,150.36187026699866,1915.3275185087653,422.83696918484037,2392.810259714047,[ 23.31260034 856.43995302],1492.4905493239248,0.6237396146497153
95,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,3.0,10,7,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample7.csv,862.9938912752536,762.9938912752536,962.9938912752536,151.16529523486915,1269.8159722619507,384.30958744692157,1947.0449167943696,[ 23.31260034 314.70510952 862.99389128],885.5063848150292,0.4547950471902487
97,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,5.0,10,9,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample9.csv,849.9215545686881,749.9215545686881,949.9215545686881,152.49817160605076,955.6642441754627,383.9048542384548,1704.6794248165484,[ 23.31260034 308.51530941 849.92155457],571.7593899370079,0.3354058139104592
100,hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0.0,11,2,nts-Eukaryote Total RNA Nano_2020-12-10_15-17-25_Sample2.csv,891.1235108934611,791.1235108934611,991.1235108934611,125.8309290452957,2323.8329041080656,217.19090757119153,2418.7802961475545,[ 23.20677598 891.12351089],2106.641996536874,0.8709521901977496
102,hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,1.0,11,4,nts-Eukaryote Total RNA Nano_2020-12-10_15-17-25_Sample4.csv,891.1235108934611,791.1235108934611,991.1235108934611,134.11683907872538,2198.530017105489,418.467308323891,2672.2844448648557,[ 23.20677598 891.12351089],1780.062708781598,0.6661202224195188
105,hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,3.0,11,7,nts-Eukaryote Total RNA Nano_2020-12-10_15-17-25_Sample7.csv,897.8378328626982,797.8378328626982,997.8378328626982,122.81514111791314,1555.9948074738802,590.6904350517748,2271.845934474422,[ 23.20677598 897.83783286],965.3043724221054,0.42489869483399756
107,hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,5.0,11,9,nts-Eukaryote Total RNA Nano_2020-12-10_15-17-25_Sample9.csv,897.8378328626982,797.8378328626982,997.8378328626982,115.31257225161505,1338.5229006240784,642.7833644203812,2250.0794802294613,[ 23.20677598 308.59007411 897.83783286],695.7395362036972,0.30920664906145723
110,hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0.0,12,2,nts-Eukaryote Total RNA Nano_2020-12-10_15-22-13_Sample2.csv,890.8978755224252,790.8978755224252,990.8978755224252,142.3360315052385,2923.8260372527648,332.9667830483212,3169.649978301805,[ 23.2875797  890.89787552],2590.8592542044435,0.8173960127902014
112,hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,1.0,12,4,nts-Eukaryote Total RNA Nano_2020-12-10_15-22-13_Sample4.csv,884.2711205783977,784.2711205783977,984.2711205783977,144.5696124133598,2999.10753107497,429.7905076124609,3370.6859349262377,[ 23.2875797  884.27112058],2569.3170234625095,0.7622534620742514
115,hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,3.0,12,7,nts-Eukaryote Total RNA Nano_2020-12-10_15-22-13_Sample7.csv,877.6794396243936,777.6794396243936,977.6794396243936,144.39841781294763,1943.8393933725333,555.0057751182269,2733.0609026738357,[ 23.2875797  877.67943962],1388.8336182543064,0.5081605085695561
117,hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,5.0,12,9,nts-Eukaryote Total RNA Nano_2020-12-10_15-22-13_Sample9.csv,871.1227381571198,771.1227381571198,971.1227381571198,147.54375091317536,1684.6135560989824,608.4357625467694,2725.79678888466,[ 23.2875797  191.78732104 871.12273816],1076.177793552213,0.39481218773926385
120,hHBB_10415488_RLT-10_hHBB,PSU,0.0,13,2,nts-Eukaryote Total RNA Nano_2020-12-10_15-49-28_Sample2.csv,897.3052181000035,797.3052181000035,997.3052181000035,99.21710506105507,2373.614206649821,334.2312966327436,2435.328068712336,[ 23.31702844 897.3052181 ],2039.3829100170774,0.8374160903485122
122,hHBB_10415488_RLT-10_hHBB,PSU,1.0,13,4,nts-Eukaryote Total RNA Nano_2020-12-10_15-49-28_Sample4.csv,897.3052181000035,797.3052181000035,997.3052181000035,102.76966952214819,2755.11027797999,631.0420270921568,3192.9522123437,[ 23.31702844 897.3052181 ],2124.068250887833,0.6652364675789239
125,hHBB_10415488_RLT-10_hHBB,PSU,3.0,13,7,nts-Eukaryote Total RNA Nano_2020-12-10_15-49-28_Sample7.csv,910.7245927960088,810.7245927960088,1010.7245927960088,92.62429300579232,1763.053010456986,531.7152331568686,2398.399194815208,[ 23.31702844 910.7245928 ],1231.3377773001173,0.5133998460147872
127,hHBB_10415488_RLT-10_hHBB,PSU,5.0,13,9,nts-Eukaryote Total RNA Nano_2020-12-10_15-49-28_Sample9.csv,910.7245927960088,810.7245927960088,1010.7245927960088,91.12162599452974,1394.6307107411133,538.553567421743,2306.2065953538536,[ 23.31702844 910.7245928 ],856.0771433193703,0.3712057475874219
130,hHBB_10419522_12_hHBB,PSU,0.0,14,2,nts-Eukaryote Total RNA Nano_2020-12-10_15-52-31_Sample2.csv,864.3017973993118,764.3017973993118,964.3017973993118,161.80903461810902,3027.175113633986,321.5308349087096,3223.85035150287,[ 23.23671656 864.3017974 ],2705.6442787252763,0.8392586453226588
132,hHBB_10419522_12_hHBB,PSU,1.0,14,4,nts-Eukaryote Total RNA Nano_2020-12-10_15-52-31_Sample4.csv,870.8551963915961,770.8551963915961,970.8551963915961,168.45605944704442,2336.0647828945703,466.8095269320698,3135.7389688023845,[ 23.23671656 313.22509949 870.85519639],1869.2552559625005,0.5961131569176547
135,hHBB_10419522_12_hHBB,PSU,3.0,14,7,nts-Eukaryote Total RNA Nano_2020-12-10_15-52-31_Sample7.csv,877.4443976393413,777.4443976393413,977.4443976393413,161.352234225984,1094.019941363738,403.85019283631294,2214.3477118051183,[ 23.23671656 310.17695103 877.44439764],690.1697485274251,0.3116808371368218
137,hHBB_10419522_12_hHBB,PSU,5.0,14,9,nts-Eukaryote Total RNA Nano_2020-12-10_15-52-31_Sample9.csv,884.069498911042,784.069498911042,984.069498911042,168.19706721774568,660.4849446032717,366.20113563955346,1984.2900591225905,[ 23.23671656 307.15143182 884.06949891],294.2838089637183,0.14830685040766878
140,hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0.0,15,2,nts-Eukaryote Total RNA Nano_2020-12-10_16-13-55_Sample2.csv,860.6880661922572,760.6880661922572,960.6880661922572,108.20453514000079,2773.9674236198994,271.5008815578368,2954.613411378557,[ 23.55414834 860.68806619],2502.4665420620627,0.8469691948275789
142,hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,1.0,15,4,nts-Eukaryote Total RNA Nano_2020-12-10_16-13-55_Sample4.csv,854.1621929828043,754.1621929828043,954.1621929828043,109.8773907442028,2843.058356133438,450.92072566020835,3355.6741647448657,[ 23.55414834 854.16219298],2392.1376304732294,0.7128635001590226
145,hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,3.0,15,7,nts-Eukaryote Total RNA Nano_2020-12-10_16-13-55_Sample7.csv,860.6880661922572,760.6880661922572,960.6880661922572,102.54643588801343,1991.8098497448027,544.776863019892,2910.760316044874,[ 23.55414834 267.89986298 860.68806619],1447.0329867249106,0.4971323055177321
147,hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,5.0,15,9,nts-Eukaryote Total RNA Nano_2020-12-10_16-13-55_Sample9.csv,860.6880661922572,760.6880661922572,960.6880661922572,104.56472947228235,1482.164222460196,569.9208558927664,2611.127577748528,[ 23.55414834 270.67177294 860.68806619],912.2433665674296,0.34936759672004264
150,hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0.0,16,2,nts-Eukaryote Total RNA Nano_2020-12-10_16-18-58_Sample2.csv,873.8474596400459,773.8474596400459,973.8474596400459,160.47130005879467,3235.7078956549744,350.81801194173227,3477.505635631627,[ 23.55414834 873.84745964],2884.889883713242,0.8295859693665898
152,hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,1.0,16,4,nts-Eukaryote Total RNA Nano_2020-12-10_16-18-58_Sample4.csv,867.2497870393353,767.2497870393353,967.2497870393353,165.79647629910286,2387.3777366312056,456.6208227511951,3197.0774233624766,[ 23.55414834 324.31655633 867.24978704],1930.7569138800104,0.6039130925548143
155,hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,3.0,16,7,nts-Eukaryote Total RNA Nano_2020-12-10_16-18-58_Sample7.csv,867.2497870393353,767.2497870393353,967.2497870393353,164.45670829081183,1072.6538512475245,378.7132198624089,2245.9938922883894,[ 23.55414834 367.73119665 867.24978704],693.9406313851156,0.3089681738529022
157,hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,5.0,16,9,nts-Eukaryote Total RNA Nano_2020-12-10_16-18-58_Sample9.csv,867.2497870393353,767.2497870393353,967.2497870393353,163.17607524234728,786.5132806874905,343.93747322860077,2209.3420621162822,[ 23.55414834 360.78464599 867.24978704],442.5758074588897,0.20032018357309309
160,hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0.0,17,2,nts-Eukaryote Total RNA Nano_2020-12-11_07-40-22_Sample2.csv,888.707575694556,788.707575694556,988.707575694556,120.97373108847279,2360.54540337055,435.3899896151329,2527.8193559294855,[ 23.49489546 888.70757569],1925.1554137554172,0.761587416932937
162,hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,1.0,17,4,nts-Eukaryote Total RNA Nano_2020-12-11_07-40-22_Sample4.csv,895.4027340140607,795.4027340140607,995.4027340140607,118.72826857274487,2105.889723687044,640.131772780679,2695.237532853572,[ 23.49489546 895.40273401],1465.7579509063648,0.5438325687586056
165,hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,3.0,17,7,nts-Eukaryote Total RNA Nano_2020-12-11_07-40-22_Sample7.csv,895.4027340140607,795.4027340140607,995.4027340140607,118.30176131844054,1612.4808664212687,805.3994761129196,2743.83696604126,[ 23.49489546 374.80661174 895.40273401],807.0813903083491,0.294143347544729
167,hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,5.0,17,9,nts-Eukaryote Total RNA Nano_2020-12-11_07-40-22_Sample9.csv,902.1343591256627,802.1343591256627,1002.1343591256627,114.46924918238142,1132.748687456772,682.5543158239237,2452.2794091630108,[ 23.49489546 374.80661174 902.13435913],450.1943716328482,0.18358200535823294
170,hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0.0,18,2,nts-Eukaryote Total RNA Nano_2020-12-11_08-00-55_Sample2.csv,869.08606676995,769.08606676995,969.08606676995,140.99718296639648,1967.605012646878,388.0864608638352,2136.7431137235276,[ 23.4735484  869.08606677],1579.5185517830428,0.7392178037866914
172,hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,1.0,18,4,nts-Eukaryote Total RNA Nano_2020-12-11_08-00-55_Sample4.csv,862.5574318587455,762.5574318587455,962.5574318587455,143.20073427067567,1769.851558037576,540.0325806911553,2373.1239474747113,[ 23.4735484  862.55743186],1229.8189773464208,0.518227873708449
175,hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,3.0,18,7,nts-Eukaryote Total RNA Nano_2020-12-11_08-00-55_Sample7.csv,869.08606676995,769.08606676995,969.08606676995,140.85200832872857,1186.3630285073805,514.1924059597951,2351.5980149304673,[ 23.4735484  353.56334881 869.08606677],672.1706225475854,0.2858356820680767
177,hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,5.0,18,9,nts-Eukaryote Total RNA Nano_2020-12-11_08-00-55_Sample9.csv,862.5574318587455,762.5574318587455,962.5574318587455,144.2155087485302,1058.0967005833643,552.2279475385105,2621.66104466649,[ 23.4735484  356.94969842 862.55743186],505.86875304485375,0.19295734438057646
180,hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,0.0,19,2,nts-Eukaryote Total RNA Nano_2020-12-11_08-13-41_Sample2.csv,864.1366360199745,764.1366360199745,964.1366360199745,114.97682703693205,1854.1206875156156,242.1187365660115,2074.532551786209,[ 23.29037651 864.13663602],1612.0019509496042,0.777043459530988
182,hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,1.0,19,4,nts-Eukaryote Total RNA Nano_2020-12-11_08-13-41_Sample4.csv,864.1366360199745,764.1366360199745,964.1366360199745,120.41995098422029,1856.8461779463132,361.39281651175804,2227.821544140459,[ 23.29037651 864.13663602],1495.453361434555,0.6712626356306887
185,hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,3.0,19,7,nts-Eukaryote Total RNA Nano_2020-12-11_08-13-41_Sample7.csv,857.6242422945878,757.6242422945878,957.6242422945878,111.40293427157422,1555.7539923021254,507.60704113960435,2350.487394985443,[ 23.29037651 336.3370382  857.62424229],1048.146951162521,0.44592749291004485
187,hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU,5.0,19,9,nts-Eukaryote Total RNA Nano_2020-12-11_08-13-41_Sample9.csv,870.6848674865141,770.6848674865141,970.6848674865141,104.31986187599067,1372.493450984903,561.2105498839353,2497.8860841508217,[ 23.29037651 339.55435737 870.68486749],811.2829011009676,0.3247877900632007
190,hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,0.0,20,2,nts-Eukaryote Total RNA Nano_2020-12-11_08-50-00_Sample2.csv,867.0901858841688,767.0901858841688,967.0901858841688,115.5402431889836,2718.4521175478485,309.52646581565176,2913.1031400029674,[ 23.62262713 867.09018588],2408.925651732197,0.8269276904935619
192,hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,1.0,20,4,nts-Eukaryote Total RNA Nano_2020-12-11_08-50-00_Sample4.csv,860.533404584346,760.533404584346,960.533404584346,116.03191173368977,2627.2318574491846,466.2032574388851,3121.9220093268536,[ 23.62262713 860.53340458],2161.0286000102997,0.6922109500346739
194,hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU,3.0,20,7,nts-Eukaryote Total RNA Nano_2020-12-11_08-50-00_Sample7.csv,860.533404584346,760.533404584346,960.533404584346,98.95488223775862,3228.107136902769,1029.3877192693392,4774.182118609224,[ 23.62262713 196.05745502 860.53340458],2198.7194176334297,0.460543683296678
