Sample,Nucleotide,Timepoint,Plate,FileNumber
hHBB_10383581_START_reference_hHBB,PSU,0,1,2
hHBB_10383581_START_reference_hHBB,PSU,0.5,1,3
hHBB_10383581_START_reference_hHBB,PSU,1,1,4
hHBB_10383581_START_reference_hHBB,PSU,1.5,1,5
hHBB_10383581_START_reference_hHBB,PSU,2,1,6
hHBB_10383581_START_reference_hHBB,PSU,3,1,7
hHBB_10383581_START_reference_hHBB,PSU,4,1,8
hHBB_10383581_START_reference_hHBB,PSU,5,1,9
hHBB_10383581_START_reference_hHBB,PSU,18,1,10
hHBB_10383581_START_reference_hHBB,PSU,24,1,11
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0,2,2
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.5,2,3
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1,2,4
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.5,2,5
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,2,2,6
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3,2,7
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,4,2,8
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5,2,9
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,18,2,10
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,24,2,11
hHBB_10383653_GC_rich_2_hHBB,PSU,0,3,2
hHBB_10383653_GC_rich_2_hHBB,PSU,0.5,3,3
hHBB_10383653_GC_rich_2_hHBB,PSU,1,3,4
hHBB_10383653_GC_rich_2_hHBB,PSU,1.5,3,5
hHBB_10383653_GC_rich_2_hHBB,PSU,2,3,6
hHBB_10383653_GC_rich_2_hHBB,PSU,3,3,7
hHBB_10383653_GC_rich_2_hHBB,PSU,4,3,8
hHBB_10383653_GC_rich_2_hHBB,PSU,5,3,9
hHBB_10383653_GC_rich_2_hHBB,PSU,18,3,10
hHBB_10383653_GC_rich_2_hHBB,PSU,24,3,11
hHBB_10383651_GC_rich_1_hHBB,PSU,0,4,2
hHBB_10383651_GC_rich_1_hHBB,PSU,0.5,4,3
