Data File Name,Eukaryote Total RNA Nano_2020-12-10_12-26-54.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-10
Date Created,"Thursday, December 10, 2020 8:26:54 PM"
Date Last Modified,"Thursday, December 10, 2020 9:27:00 PM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-8.932877E-02
17.05,-0.0912061
17.1,-8.307257E-02
17.15,-7.193403E-02
17.2,-5.704192E-02
17.25,-4.950517E-02
17.3,-5.480187E-02
17.35,-7.158487E-02
17.4,-7.098072E-02
17.45,-6.693978E-02
17.5,-6.142031E-02
17.55,-6.323996E-02
17.6,-6.993537E-02
17.65,-7.515784E-02
17.7,-6.563984E-02
17.75,-0.0354078
17.8,1.277008E-03
17.85,4.964027E-03
17.9,6.535613E-03
17.95,-2.200735E-02
18,-3.648376E-02
18.05,-3.436228E-02
18.1,-2.873757E-02
18.15,-1.811789E-02
18.2,-1.518066E-02
18.25,-0.0128301
18.3,-1.551369E-02
18.35,-0.0260556
18.4,-0.0363581
18.45,-3.835813E-02
18.5,-1.144201E-02
18.55,1.488624E-02
18.6,3.591885E-02
18.65,5.736899E-02
18.7,6.042283E-02
18.75,5.006957E-02
18.8,4.745582E-02
18.85,5.895272E-02
18.9,6.367719E-02
18.95,6.541321E-02
19,6.701151E-02
19.05,5.631923E-02
19.1,0.0350448
19.15,2.291483E-02
19.2,1.588419E-02
19.25,1.259739E-02
19.3,4.493114E-03
19.35,-5.787596E-03
19.4,-1.297869E-02
19.45,-2.375655E-02
19.5,-3.891754E-02
19.55,-5.697458E-02
19.6,-0.0692335
19.65,-7.865332E-02
19.7,-6.945795E-02
19.75,-2.415276E-02
19.8,1.268253E-02
19.85,0.0307859
19.9,2.020525E-02
19.95,-2.540491E-03
20,-1.598398E-02
20.05,-2.504565E-02
20.1,-2.025821E-02
20.15,-3.042215E-02
20.2,-4.854375E-02
20.25,-4.790499E-02
20.3,-3.001981E-02
20.35,4.364056E-03
20.4,2.741559E-02
20.45,3.443698E-02
20.5,2.198384E-02
20.55,-4.717676E-03
20.6,-0.0159396
20.65,-0.018867
20.7,-6.772113E-03
20.75,-9.475118E-03
20.8,-1.655185E-02
20.85,-1.034941E-02
20.9,-1.833608E-02
20.95,-1.821058E-02
21,-2.551651E-02
21.05,-3.155718E-02
21.1,-3.042454E-02
21.15,-4.063341E-02
21.2,-4.375507E-02
21.25,-3.233337E-02
21.3,-3.835138E-02
21.35,-3.283312E-02
21.4,-2.895462E-02
21.45,-1.038315E-02
21.5,9.864077E-03
21.55,2.312177E-02
21.6,1.624732E-02
21.65,-7.683656E-04
21.7,-1.329458E-02
21.75,-2.544441E-02
21.8,-3.096521E-02
21.85,1.506632E-05
21.9,5.179331E-02
21.95,8.803691E-02
22,0.110643
22.05,9.285282E-02
22.1,2.844948E-02
22.15,-5.772726E-02
22.2,0.2107162
22.25,1.37474
22.3,3.761937
22.35,7.231149
22.4,10.89739
22.45,13.6449
22.5,14.46653
22.55,13.19701
22.6,10.58076
22.65,7.497695
22.7,4.748657
22.75,2.713537
22.8,1.386152
22.85,0.6383421
22.9,0.252997
22.95,0.1104634
23,5.338317E-02
23.05,2.653426E-02
23.1,2.862495E-02
23.15,0.034401
23.2,3.144002E-02
23.25,3.231239E-02
23.3,4.188426E-02
23.35,6.012386E-02
23.4,6.152793E-02
23.45,0.0554966
23.5,5.186203E-02
23.55,3.281852E-02
23.6,0.0161691
23.65,1.570924E-02
23.7,4.777879E-02
23.75,0.05874
23.8,5.170533E-02
23.85,5.236937E-02
23.9,4.846187E-02
23.95,7.188705E-02
24,9.765244E-02
24.05,0.1226877
24.1,0.146059
24.15,0.150966
24.2,0.1793935
24.25,0.2149556
24.3,0.2250557
24.35,0.2188682
24.4,0.1975787
24.45,0.1962312
24.5,0.2192517
24.55,0.2456518
24.6,0.2686527
24.65,0.2752098
24.7,0.258156
24.75,0.2541182
24.8,0.265405
24.85,0.2920344
24.9,0.3089783
24.95,0.2992063
25,0.2889289
25.05,0.2878803
25.1,0.289252
25.15,0.3101256
25.2,0.3212236
25.25,0.3343513
25.3,0.3260399
25.35,0.3173593
25.4,0.3352808
25.45,0.3500395
25.5,0.3373947
25.55,0.3246436
25.6,0.2940724
25.65,0.2821521
25.7,0.2690677
25.75,0.260444
25.8,0.2534895
25.85,0.2341775
25.9,0.2264245
25.95,0.2104481
26,0.2081755
26.05,0.2017301
26.1,0.1908643
26.15,0.1829351
26.2,0.1858391
26.25,0.1798285
26.3,0.1705994
26.35,0.1711868
26.4,0.1540509
26.45,0.1444672
26.5,0.1442235
26.55,0.1483291
26.6,0.1509791
26.65,0.1550355
26.7,0.1702444
26.75,0.1857638
26.8,0.1996394
26.85,0.2110523
26.9,0.2036999
26.95,0.2122326
27,0.2325439
27.05,0.235631
27.1,0.2350654
27.15,0.2332619
27.2,0.2389096
27.25,0.2587622
27.3,0.2752054
27.35,0.2861646
27.4,0.2755089
27.45,0.2716599
27.5,0.2792604
27.55,0.2938866
27.6,0.2983375
