Data File Name,Eukaryote Total RNA Nano_2020-12-10_15-17-25.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-12-10
Date Created,"Thursday, December 10, 2020 11:17:25 PM"
Date Last Modified,"Friday, December 11, 2020 12:01:13 AM"
Version Created,B.02.11.SI811
Version Last Modified,B.02.11.SI811
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,17a_PU_11_TP1
Number of Events,1060
 
Time,Value
17,1.565847E-02
17.05,0.0170924
17.1,2.397224E-02
17.15,3.784031E-02
17.2,4.524184E-02
17.25,4.058531E-02
17.3,3.467821E-02
17.35,1.811353E-02
17.4,7.099431E-03
17.45,2.083777E-03
17.5,4.165961E-03
17.55,1.012571E-02
17.6,5.020767E-03
17.65,-1.797222E-03
17.7,-0.0127354
17.75,-1.273353E-02
17.8,8.802796E-03
17.85,2.555187E-02
17.9,1.634655E-02
17.95,-1.399215E-03
18,-3.113381E-02
18.05,-3.640102E-02
18.1,-3.697611E-02
18.15,-8.996676E-03
18.2,1.668763E-02
18.25,6.196377E-03
18.3,-7.12677E-03
18.35,-2.398489E-02
18.4,-4.024708E-02
18.45,-2.276218E-02
18.5,8.933281E-03
18.55,1.906078E-02
18.6,2.348783E-03
18.65,-1.546184E-02
18.7,-3.884944E-02
18.75,-4.454804E-02
18.8,-2.030616E-02
18.85,-1.526553E-02
18.9,-2.479118E-02
18.95,-5.116545E-02
19,-4.852659E-02
19.05,-5.295045E-02
19.1,-4.683567E-02
19.15,-4.626187E-02
19.2,-3.991003E-02
19.25,-3.178236E-02
19.3,-2.893229E-02
19.35,-2.511627E-02
19.4,-0.0344899
19.45,-0.0446137
19.5,-5.826219E-02
19.55,-5.863999E-02
19.6,-6.437147E-02
19.65,-5.099852E-02
19.7,-4.571084E-02
19.75,-4.028275E-02
19.8,-4.499585E-02
19.85,-3.989704E-02
19.9,-3.963485E-02
19.95,-5.386625E-02
20,-5.019898E-02
20.05,-4.410477E-02
20.1,-3.715375E-02
20.15,-3.430536E-02
20.2,-2.636513E-02
20.25,-1.516969E-02
20.3,-2.157282E-02
20.35,-4.150337E-03
20.4,5.574016E-03
20.45,-4.687104E-03
20.5,-2.479057E-02
20.55,-4.936538E-02
20.6,-7.858185E-02
20.65,-0.0971156
20.7,-8.944139E-02
20.75,-7.227265E-02
20.8,-5.779197E-02
20.85,-5.761582E-02
20.9,-5.815439E-02
20.95,-0.0743575
21,-9.302464E-02
21.05,-9.989616E-02
21.1,-0.1187148
21.15,-0.1146046
21.2,-9.531279E-02
21.25,-0.0680137
21.3,-5.807249E-02
21.35,-6.427517E-02
21.4,-0.0720438
21.45,-7.132595E-02
21.5,-6.936313E-02
21.55,-6.288183E-02
21.6,-5.326286E-02
21.65,-4.154299E-02
21.7,-2.907789E-02
21.75,-1.970248E-02
21.8,-3.833905E-03
21.85,1.967172E-04
21.9,-3.920125E-03
21.95,-8.684395E-03
22,-1.978091E-02
22.05,-3.615062E-02
22.1,-5.839978E-02
22.15,1.950735E-02
22.2,0.6641546
22.25,2.447421
22.3,5.639619
22.35,9.810895
22.4,13.86864
22.45,16.53076
22.5,16.95223
22.55,15.2291
22.6,12.30747
22.65,9.023276
22.7,6.047818
22.75,3.711994
22.8,2.055079
22.85,0.9929835
22.9,0.4160892
22.95,0.1372078
23,4.481553E-04
23.05,-0.0455252
23.1,-0.0470712
23.15,-4.233744E-02
23.2,-5.706188E-02
23.25,-8.293615E-02
23.3,-8.055529E-02
23.35,-8.238805E-02
23.4,-5.836195E-02
23.45,-4.735353E-02
23.5,-4.897631E-02
23.55,-4.419727E-02
23.6,-3.102801E-02
23.65,-1.193703E-02
23.7,-7.810299E-03
23.75,-7.516458E-03
23.8,-1.711025E-02
23.85,-0.0396783
23.9,-3.372166E-02
23.95,-2.879105E-02
24,-2.984798E-02
24.05,-2.963099E-02
24.1,-2.438922E-02
24.15,-0.0128236
24.2,-2.610904E-02
24.25,-5.248985E-02
24.3,-8.114687E-02
24.35,-9.835913E-02
24.4,-9.480403E-02
24.45,-0.0961813
24.5,-9.224688E-02
24.55,-8.817746E-02
24.6,-8.140378E-02
24.65,-6.608895E-02
24.7,-6.027745E-02
24.75,-5.408116E-02
24.8,-5.448212E-02
24.85,-6.831064E-02
24.9,-6.514104E-02
24.95,-7.355813E-02
25,-8.744732E-02
25.05,-0.1028164
25.1,-0.1037004
25.15,-8.296376E-02
25.2,-7.430542E-02
25.25,-7.338075E-02
25.3,-0.1048132
25.35,-0.1268171
25.4,-0.1361721
25.45,-0.1088884
25.5,-0.1085592
25.55,-8.675516E-02
25.6,-7.999662E-02
25.65,-7.782895E-02
25.7,-7.308375E-02
25.75,-5.830646E-02
25.8,-5.323885E-02
25.85,-6.853633E-02
25.9,-7.537261E-02
25.95,-7.976414E-02
26,-9.677048E-02
26.05,-9.531379E-02
26.1,-9.118882E-02
26.15,-8.129216E-02
26.2,-8.359552E-02
26.25,-9.054404E-02
26.3,-0.1084286
26.35,-0.1311871
26.4,-0.1504545
26.45,-0.1569421
26.5,-0.1507987
26.55,-0.1428021
26.6,-0.139716
26.65,-0.1445058
26.7,-0.1440878
26.75,-0.133876
26.8,-9.997249E-02
26.85,-7.271165E-02
26.9,-6.468357E-02
26.95,-6.189889E-02
27,-6.784482E-02
27.05,-7.642458E-02
27.1,-8.086858E-02
27.15,-8.833581E-02
27.2,-0.0939374
27.25,-9.723378E-02
27.3,-0.1003503
27.35,-0.1088783
27.4,-0.1139837
27.45,-0.1182619
27.5,-0.1214304
27.55,-0.1397913
27.6,-0.1570269
27.65,-0.1727533
27.7,-0.1597842
27.75,-0.1153672
27.8,-7.989597E-02
27.85,-6.277572E-02
