,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
0,0,hHBB_Yellowstone_hHBB,natural,0.0,1,1,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.07061768 -0.07061768 -0.07061768 ...  0.09526337  0.05515959
  0.016392  ]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243 370 408 531],[ 7.54044965 11.03362898  7.33427491  8.6990733  25.52667767],[110 243 408],[ 7.54044965 11.03362898  8.6990733 ],[ 23.46200583 233.88945222 923.35372053],[194.51495153 210.9979315  493.317964  ],[ 26.7816576  51.618942  211.132017 ],[167.73329393 159.3789895  282.185947  ],1232.697450500001,1.7705341706913003,1.0
1,1,hHBB_Yellowstone_hHBB,natural,0.5,1,2,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01259995 -0.01259995 -0.01259995 ...  0.9756446   0.1997273
 -0.2052727 ]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[ 110  243  370  409  531 1053],[ 7.74335487 11.14634671  7.78324341  8.63313791 18.35179449  5.45265598],[110 243 409],[ 7.74335487 11.14634671  8.63313791],[ 23.46200583 233.88945222 929.26058738],[202.35548888 118.7049643  221.395804  ],[ 30.9304616  29.8423644 103.154472 ],[171.42502728  88.8625999  118.241332  ],791.1366487377609,1.3306085139649402,0.7515294175008256
2,2,hHBB_Yellowstone_hHBB,natural,1.0,1,3,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02025604 0.02025604 0.02025604 ... 0.01544855 0.03864893 0.04091336],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 410],[ 7.78822692 11.11464382  8.92201047],[110 244 410],[ 7.78822692 11.11464382  8.92201047],[ 23.46200583 236.51300642 935.19013935],[201.20093443 106.8718096  142.626198  ],[40.93058902 35.2136988  73.321497  ],[160.27034541  71.6581108   69.304701  ],767.8472108999999,0.9671578028819604,0.5462519836622731
3,3,hHBB_Yellowstone_hHBB,natural,1.5,1,4,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03289413 -0.03289413 -0.03289413 ...  0.09187492  0.08547714
  0.08661778]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 410],[ 7.87737607 11.50676993  8.98472074],[110 244 410],[ 7.87737607 11.50676993  8.98472074],[ 23.46200583 236.51300642 935.19013935],[203.45033743 107.0345808   89.661324  ],[35.7152288 31.4336508 47.983662 ],[167.73510863  75.60093     41.677662  ],655.679259089,0.5512850437157321,0.3113665089561555
4,4,hHBB_Yellowstone_hHBB,natural,2.0,1,5,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04101181 -0.04101181 -0.04101181 ...  0.2158575   0.2156818
  0.2287732 ]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243 369 409],[ 7.95507124 12.39651059  8.75489677  8.99214148],[110 243 409],[ 7.95507124 12.39651059  8.99214148],[ 23.46200583 233.88945222 929.26058738],[205.8353006 109.3325144  80.69304  ],[32.5744672 36.5976936 49.826691 ],[173.2608334  72.7348208  30.866349 ],720.7033079,0.4243682552662594,0.23968374194131817
5,5,hHBB_Yellowstone_hHBB,natural,3.0,1,6,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03295135 0.03295135 0.03295135 ... 0.4220729  0.3984164  0.3639968 ],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 411],[ 7.86539048 11.98464675  7.74697196],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[205.02734812 125.936906    36.697034  ],[43.03407208 44.305404   25.894536  ],[161.99327604  81.631502    10.802498  ],702.2365969700004,0.1323324664539434,0.07474154898816471
6,6,hHBB_Yellowstone_hHBB,natural,4.0,1,7,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.108963  -0.108963  -0.108963  ...  0.1700074  0.1484496  0.1360354],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 370],[ 7.88430134 13.39342139 13.2099577 ],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[195.3835958  99.805976   28.704472 ],[39.6031784 40.00536   21.103304 ],[155.7804174  59.800616    7.601168 ],641.2940771010003,0.12710852343059462,0.07179105918128958
7,7,hHBB_Yellowstone_hHBB,natural,5.0,1,8,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01882172 0.01882172 0.01882172 ... 0.3167401  0.3212901  0.3135225 ],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243],[ 7.92995817 13.70810934],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[200.19513163 122.997869    23.068413  ],[39.9984336 53.534424  18.433728 ],[160.19669803  69.463445     4.634685  ],711.4295904899992,0.06672120854357273,0.037684225273958774
8,8,hHBB_Yellowstone_hHBB,natural,18.0,1,9,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.07342911 -0.07342911 -0.07342911 ...  0.03407707  0.01761556
  0.00308451]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243],[ 7.91511045 15.0454168 ],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[200.7433246  145.704996     1.53983757],[36.34256   77.379504   1.0770271],[164.4007646   68.325492     0.46281047],690.7208049477001,0.006773613403325363,0.003825745650918798
9,9,hHBB_Yellowstone_hHBB,natural,24.0,1,10,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.0316124 -0.0316124 -0.0316124 ...  0.1157186  0.1299881  0.1367963],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[ 110  242 1008],[ 7.89417624 14.50317105 12.60835017],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[198.9950011  211.470066     2.19959479],[ 34.1207096 111.154356    2.6166768],[164.8742915  100.31571     -0.41708201],874.3068631999994,-0.004157693844762698,-0.002348270885469179
