,Time,Value,Nucleotides
0,17,-3.599346E-02,-103.7386625682584
1,17.05,-4.143477E-02,-102.11959773656508
2,17.1,-3.772271E-02,-100.51449168120371
3,17.15,-2.217348E-02,-98.92318842593568
4,17.2,-1.334524E-02,-97.34553213999516
5,17.25,-7.922768E-04,-95.78136713808863
6,17.3,8.88068E-03,-94.2305378803976
7,17.35,1.287775E-02,-92.69288897257275
8,17.4,2.504421E-02,-91.16826516574156
9,17.45,2.658178E-02,-89.65651135650069
10,17.5,2.963942E-02,-88.15747258692181
11,17.55,1.278681E-02,-86.67099404454711
12,17.6,-1.705202E-02,-85.19692106239336
13,17.65,-1.975498E-02,-83.73509911895007
14,17.7,-3.941183E-02,-82.28537383817866
15,17.75,-5.201425E-02,-80.84759098951326
16,17.8,-5.467538E-02,-79.42159648786128
17,17.85,-3.112521E-02,-78.00723639360194
18,17.9,-1.030971E-02,-76.60435691258817
19,17.95,4.346042E-03,-75.21280439614566
20,18,2.564016E-02,-73.83242534107148
21,18.05,2.253704E-02,-72.46306638963642
22,18.1,4.378866E-03,-71.10457432958447
23,18.15,8.272973E-03,-69.75679609413146
24,18.2,2.076246E-02,-68.41957876196557
25,18.25,2.251163E-02,-67.09276955724908
26,18.3,2.559752E-02,-65.77621584961571
27,18.35,2.043855E-02,-64.46976515417282
28,18.4,3.925542E-03,-63.17326513150101
29,18.45,-8.722981E-03,-61.88656358765047
30,18.5,-3.365678E-03,-60.60950847414779
31,18.55,7.491597E-04,-59.34194788798959
32,18.6,-4.448394E-03,-58.08373007164846
33,18.65,1.829616E-03,-56.83470341306611
34,18.7,1.143278E-03,-55.59471644565929
35,18.75,5.477947E-03,-54.3636178483157
36,18.8,1.601871E-02,-53.14125644539763
37,18.85,2.760893E-02,-51.927481206738776
38,18.9,0.0401572,-50.72214124764605
39,18.95,4.673045E-02,-49.525085828900046
40,19,4.169971E-02,-48.3361643567514
41,19.05,3.740487E-02,-47.155226382925775
42,19.1,2.937646E-02,-45.98212160462117
43,19.15,1.957959E-02,-44.81669986450697
44,19.2,1.811818E-02,-43.65881115072807
45,19.25,2.060787E-02,-42.508305596898936
46,19.3,9.029376E-03,-41.36503348210863
47,19.35,-8.985652E-03,-40.22884523091852
48,19.4,-0.0112318,-39.09959141336185
49,19.45,-1.940566E-02,-37.97712274494597
50,19.5,-1.659447E-02,-36.861290086651024
51,19.55,-2.837632E-03,-35.751944444928085
52,19.6,8.753356E-03,-34.64893697170237
53,19.65,1.396268E-02,-33.55211896437186
54,19.7,2.965801E-02,-32.461341865805935
55,19.75,6.988836E-02,-31.376457264347664
56,19.8,0.1022267,-30.297316893814696
57,19.85,0.1598887,-29.22377263349381
58,19.9,0.1889705,-28.15567650814546
59,19.95,0.1891349,-27.092880688004698
