Plate_Number,File_Name
1,Eukaryote Total RNA Nano_2020-11-24_11-30-28
2,Eukaryote Total RNA Nano_2020-11-24_11-37-12
3,Eukaryote Total RNA Nano_2020-11-24_11-55-27
4,Eukaryote Total RNA Nano_2020-11-24_12-02-25
5,Eukaryote Total RNA Nano_2020-11-24_12-16-31
6,Eukaryote Total RNA Nano_2020-11-24_12-22-23
7,Eukaryote Total RNA Nano_2020-11-24_13-04-00
8,Eukaryote Total RNA Nano_2020-11-24_13-12-23
9,Eukaryote Total RNA Nano_2020-11-24_13-30-10
10,Eukaryote Total RNA Nano_2020-11-24_13-37-35
