Well,Sample ID,Peak ID,Size (nt),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul)
E9,F1_TP1,2,184,0.9,11.9703,0.7001,89,75.9539,448.3749,76.8270
E9,F1_TP1,3,264,24.2,212.7944,18.3798,1410,75.9539,448.3749,76.8270
E9,F1_TP1,4,442,3.1,16.8290,2.3705,242,75.9539,448.3749,76.8270
E9,F1_TP1,5,506,6.0,25.3048,4.5295,230,75.9539,448.3749,76.8270
E9,F1_TP1,6,718,1.9,6.2621,1.4260,203,75.9539,448.3749,76.8270
E9,F1_TP1,7,861,63.6,174.8876,48.2881,10930,75.9539,448.3749,76.8270
E9,F1_TP1,8,2517,0.3,0.3268,0.2598,50,75.9539,448.3749,76.8270
E9,F1_TP1,,,,,,,75.9539,448.3749,76.8270
E10,F1_TP2,1,15,,68.7044,0.4293,1115,45.4698,335.4366,48.4827
E10,F1_TP2,2,163,2.6,23.1116,1.1814,148,45.4698,335.4366,48.4827
E10,F1_TP2,3,264,29.6,159.4521,13.4658,1444,45.4698,335.4366,48.4827
E10,F1_TP2,4,369,5.0,19.6492,2.2577,286,45.4698,335.4366,48.4827
E10,F1_TP2,5,455,11.1,35.4237,5.0351,490,45.4698,335.4366,48.4827
E10,F1_TP2,6,547,8.4,21.6698,3.8094,417,45.4698,335.4366,48.4827
E10,F1_TP2,7,644,4.1,9.0212,1.8634,484,45.4698,335.4366,48.4827
E10,F1_TP2,8,718,11.4,21.8827,5.1654,633,45.4698,335.4366,48.4827
E10,F1_TP2,9,866,27.2,44.8641,12.3874,3499,45.4698,335.4366,48.4827
E10,F1_TP2,10,2533,0.7,0.3621,0.3042,62,45.4698,335.4366,48.4827
E10,F1_TP2,,,,,,,45.4698,335.4366,48.4827
E11,F1_TP3,1,15,,68.7044,0.4293,384,21.9510,171.9840,32.5411
E11,F1_TP3,2,288,43.4,111.1049,9.5253,294,21.9510,171.9840,32.5411
E11,F1_TP3,3,461,17.5,26.2382,3.8388,149,21.9510,171.9840,32.5411
E11,F1_TP3,4,653,6.9,7.2943,1.5254,125,21.9510,171.9840,32.5411
E11,F1_TP3,5,727,15.7,14.4762,3.4542,150,21.9510,171.9840,32.5411
E11,F1_TP3,6,871,16.4,12.8703,3.6072,260,21.9510,171.9840,32.5411
E11,F1_TP3,,,,,,,21.9510,171.9840,32.5411
E12,F1_TP4,1,15,,72.4190,0.4293,801,21.5877,236.5006,25.7191
E12,F1_TP4,2,141,4.1,19.5791,0.8754,104,21.5877,236.5006,25.7191
E12,F1_TP4,3,162,8.5,36.0395,1.8307,138,21.5877,236.5006,25.7191
E12,F1_TP4,4,261,47.6,124.0850,10.2802,625,21.5877,236.5006,25.7191
E12,F1_TP4,5,364,10.3,19.3845,2.2148,182,21.5877,236.5006,25.7191
E12,F1_TP4,6,424,7.5,12.1932,1.6159,169,21.5877,236.5006,25.7191
E12,F1_TP4,7,453,8.9,12.9568,1.9206,218,21.5877,236.5006,25.7191
E12,F1_TP4,8,640,3.5,3.6855,0.7554,128,21.5877,236.5006,25.7191
E12,F1_TP4,9,714,6.5,6.0316,1.4083,115,21.5877,236.5006,25.7191
E12,F1_TP4,10,857,3.2,2.5454,0.6865,110,21.5877,236.5006,25.7191
E12,F1_TP4,,,,,,,21.5877,236.5006,25.7191
F1,G1_TP1,1,15,,68.7044,0.4293,1180,22.0781,130.0640,25.6912
F1,G1_TP1,2,173,2.9,11.7068,0.6435,152,22.0781,130.0640,25.6912
F1,G1_TP1,3,190,6.0,21.7102,1.3255,293,22.0781,130.0640,25.6912
F1,G1_TP1,4,259,25.5,63.3884,5.6376,513,22.0781,130.0640,25.6912
F1,G1_TP1,5,1114,2.2,1.3891,0.4935,93,22.0781,130.0640,25.6912
F1,G1_TP1,6,1355,63.3,31.8694,13.9780,3430,22.0781,130.0640,25.6912
F1,G1_TP1,,,,,,,22.0781,130.0640,25.6912
F2,G1_TP2,1,15,,72.4190,0.4293,1175,20.5287,164.4352,23.9770
F2,G1_TP2,2,172,4.1,15.2209,0.8366,174,20.5287,164.4352,23.9770
F2,G1_TP2,3,191,7.6,25.8475,1.5698,298,20.5287,164.4352,23.9770
F2,G1_TP2,4,261,35.7,83.7094,7.3376,621,20.5287,164.4352,23.9770
F2,G1_TP2,5,479,10.5,13.1129,2.1497,156,20.5287,164.4352,23.9770
F2,G1_TP2,6,732,9.3,7.9410,1.9075,184,20.5287,164.4352,23.9770
F2,G1_TP2,7,880,10.7,7.5340,2.2058,182,20.5287,164.4352,23.9770
F2,G1_TP2,8,1098,4.7,2.7538,0.9704,171,20.5287,164.4352,23.9770
F2,G1_TP2,9,1339,17.3,8.3156,3.5513,657,20.5287,164.4352,23.9770
F2,G1_TP2,,,,,,,20.5287,164.4352,23.9770
F3,G1_TP3,1,15,,72.4190,0.4293,1072,18.9128,198.5329,24.1460
F3,G1_TP3,2,174,8.2,27.6629,1.5559,208,18.9128,198.5329,24.1460
F3,G1_TP3,3,193,9.7,29.6745,1.8308,316,18.9128,198.5329,24.1460
F3,G1_TP3,4,261,50.0,106.2220,9.4471,719,18.9128,198.5329,24.1460
F3,G1_TP3,5,427,8.0,11.2655,1.5038,181,18.9128,198.5329,24.1460
F3,G1_TP3,6,482,21.1,22.3515,3.9937,176,18.9128,198.5329,24.1460
F3,G1_TP3,7,1363,3.1,1.3565,0.5815,67,18.9128,198.5329,24.1460
F3,G1_TP3,,,,,,,18.9128,198.5329,24.1460
F4,G1_TP4,1,15,,72.4190,0.4293,1051,35.9517,460.6989,37.2018
F4,G1_TP4,2,136,8.6,75.8370,3.0746,210,35.9517,460.6989,37.2018
F4,G1_TP4,3,161,7.1,50.8992,2.5530,260,35.9517,460.6989,37.2018
F4,G1_TP4,4,174,8.6,55.1709,3.1032,371,35.9517,460.6989,37.2018
F4,G1_TP4,5,192,8.8,50.8082,3.1509,529,35.9517,460.6989,37.2018
F4,G1_TP4,6,264,44.6,181.5340,16.0288,1229,35.9517,460.6989,37.2018
F4,G1_TP4,7,424,6.1,16.5198,2.2105,264,35.9517,460.6989,37.2018
F4,G1_TP4,8,476,14.7,28.5291,5.2712,233,35.9517,460.6989,37.2018
F4,G1_TP4,9,1275,1.6,1.4007,0.5596,79,35.9517,460.6989,37.2018
F4,G1_TP4,,,,,,,35.9517,460.6989,37.2018
F5,B2_TP1,1,15,,72.4190,0.4293,1326,127.1656,688.2629,128.8276
F5,B2_TP1,2,110,0.9,31.2369,1.0962,153,127.1656,688.2629,128.8276
F5,B2_TP1,3,190,5.5,113.9539,6.9573,1816,127.1656,688.2629,128.8276
F5,B2_TP1,4,259,11.0,168.9035,13.9392,2132,127.1656,688.2629,128.8276
F5,B2_TP1,5,303,10.8,139.3283,13.7758,3976,127.1656,688.2629,128.8276
F5,B2_TP1,6,644,2.5,17.3709,3.1483,241,127.1656,688.2629,128.8276
F5,B2_TP1,7,718,1.2,6.4833,1.4805,286,127.1656,688.2629,128.8276
F5,B2_TP1,8,1106,7.4,30.5759,9.4516,642,127.1656,688.2629,128.8276
F5,B2_TP1,9,1331,60.5,180.1479,76.8771,23025,127.1656,688.2629,128.8276
F5,B2_TP1,10,5325,0.3,0.2624,0.4395,147,127.1656,688.2629,128.8276
F5,B2_TP1,,,,,,,127.1656,688.2629,128.8276
F6,B2_TP2,1,15,,72.4190,0.4293,1261,89.4222,696.3689,90.2689
F6,B2_TP2,2,110,1.9,47.8624,1.6643,173,89.4222,696.3689,90.2689
F6,B2_TP2,3,171,1.5,23.9638,1.3095,260,89.4222,696.3689,90.2689
F6,B2_TP2,4,192,7.6,111.4214,6.8027,1428,89.4222,696.3689,90.2689
F6,B2_TP2,5,261,18.3,199.4300,16.3945,2056,89.4222,696.3689,90.2689
F6,B2_TP2,6,306,14.1,123.3423,12.6301,2777,89.4222,696.3689,90.2689
F6,B2_TP2,7,419,2.0,13.4054,1.7894,387,89.4222,696.3689,90.2689
F6,B2_TP2,8,482,3.7,22.0497,3.3038,489,89.4222,696.3689,90.2689
F6,B2_TP2,9,603,9.2,43.7625,8.2542,650,89.4222,696.3689,90.2689
F6,B2_TP2,10,727,3.8,14.5873,3.3545,680,89.4222,696.3689,90.2689
F6,B2_TP2,11,884,13.5,43.2835,12.0897,811,89.4222,696.3689,90.2689
F6,B2_TP2,12,1106,5.8,14.8132,5.1440,851,89.4222,696.3689,90.2689
F6,B2_TP2,13,1331,18.1,38.1519,16.1833,3411,89.4222,696.3689,90.2689
F6,B2_TP2,14,5379,0.6,0.2956,0.5022,134,89.4222,696.3689,90.2689
F6,B2_TP2,,,,,,,89.4222,696.3689,90.2689
F7,B2_TP3,1,15,,68.7044,0.4293,1314,31.0414,335.0150,34.9373
F7,B2_TP3,2,109,4.2,38.4141,1.3112,114,31.0414,335.0150,34.9373
F7,B2_TP3,3,159,4.4,27.3435,1.3539,188,31.0414,335.0150,34.9373
F7,B2_TP3,4,171,3.5,20.0125,1.0936,224,31.0414,335.0150,34.9373
F7,B2_TP3,5,191,10.2,52.3954,3.1654,519,31.0414,335.0150,34.9373
F7,B2_TP3,6,259,39.5,135.1166,12.2768,974,31.0414,335.0150,34.9373
F7,B2_TP3,7,419,6.3,14.4578,1.9485,338,31.0414,335.0150,34.9373
F7,B2_TP3,8,476,6.6,13.5376,2.0544,319,31.0414,335.0150,34.9373
F7,B2_TP3,9,543,21.5,31.1610,6.6863,317,31.0414,335.0150,34.9373
F7,B2_TP3,10,1331,3.7,2.5764,1.1515,156,31.0414,335.0150,34.9373
F7,B2_TP3,,,,,,,31.0414,335.0150,34.9373
F8,B2_TP4,1,15,,68.7044,0.4293,1327,52.8757,692.4393,54.3629
F8,B2_TP4,2,109,5.1,81.9376,2.7179,260,52.8757,692.4393,54.3629
F8,B2_TP4,3,134,5.3,66.1282,2.7869,343,52.8757,692.4393,54.3629
F8,B2_TP4,4,159,6.8,73.2339,3.6028,470,52.8757,692.4393,54.3629
F8,B2_TP4,5,171,5.3,51.7609,2.8284,547,52.8757,692.4393,54.3629
F8,B2_TP4,6,191,11.6,101.5974,6.1378,869,52.8757,692.4393,54.3629
F8,B2_TP4,7,259,41.7,246.8295,22.0315,1853,52.8757,692.4393,54.3629
F8,B2_TP4,8,419,5.3,20.7697,2.7925,479,52.8757,692.4393,54.3629
F8,B2_TP4,9,466,18.5,50.0767,9.7982,432,52.8757,692.4393,54.3629
F8,B2_TP4,10,5325,0.3,0.1053,0.1796,70,52.8757,692.4393,54.3629
F8,B2_TP4,,,,,,,52.8757,692.4393,54.3629
F9,C2_TP1,1,15,,68.7044,0.4293,1173,27.6836,109.1140,31.3861
F9,C2_TP1,2,261,11.5,37.8255,3.1944,350,27.6836,109.1140,31.3861
F9,C2_TP1,3,416,5.7,11.5955,1.5813,329,27.6836,109.1140,31.3861
F9,C2_TP1,4,727,2.6,3.1375,0.7225,144,27.6836,109.1140,31.3861
F9,C2_TP1,5,866,4.9,4.8442,1.3655,159,27.6836,109.1140,31.3861
F9,C2_TP1,6,1025,4.9,4.2343,1.3659,232,27.6836,109.1140,31.3861
F9,C2_TP1,7,1283,70.3,47.4770,19.4541,5984,27.6836,109.1140,31.3861
F9,C2_TP1,,,,,,,27.6836,109.1140,31.3861
F10,C2_TP2,1,15,,65.3524,0.4293,1138,31.2183,168.5023,33.4617
F10,C2_TP2,2,193,1.5,7.7415,0.4801,104,31.2183,168.5023,33.4617
F10,C2_TP2,3,264,16.6,60.2990,5.1696,521,31.2183,168.5023,33.4617
F10,C2_TP2,4,421,7.5,17.2969,2.3422,445,31.2183,168.5023,33.4617
F10,C2_TP2,5,497,5.4,10.8963,1.6850,226,31.2183,168.5023,33.4617
F10,C2_TP2,6,584,5.4,9.4252,1.6992,282,31.2183,168.5023,33.4617
F10,C2_TP2,7,663,5.9,8.8492,1.8534,316,31.2183,168.5023,33.4617
F10,C2_TP2,8,732,4.8,6.3966,1.4935,350,31.2183,168.5023,33.4617
F10,C2_TP2,9,857,14.4,16.5570,4.4866,433,31.2183,168.5023,33.4617
F10,C2_TP2,10,1017,8.6,8.3250,2.6935,415,31.2183,168.5023,33.4617
F10,C2_TP2,11,1275,29.8,22.7156,9.3152,2056,31.2183,168.5023,33.4617
F10,C2_TP2,,,,,,,31.2183,168.5023,33.4617
F11,C2_TP3,1,15,,68.7044,0.4293,1322,35.5942,275.2287,36.4131
F11,C2_TP3,2,158,4.6,31.9657,1.6340,144,35.5942,275.2287,36.4131
F11,C2_TP3,3,192,4.5,26.6306,1.6088,270,35.5942,275.2287,36.4131
F11,C2_TP3,4,261,20.2,84.9417,7.2006,675,35.5942,275.2287,36.4131
F11,C2_TP3,5,371,7.0,21.3500,2.4873,389,35.5942,275.2287,36.4131
F11,C2_TP3,6,416,18.7,46.4003,6.6548,624,35.5942,275.2287,36.4131
F11,C2_TP3,7,575,7.8,15.5953,2.7765,484,35.5942,275.2287,36.4131
F11,C2_TP3,8,653,7.4,12.7189,2.6395,491,35.5942,275.2287,36.4131
F11,C2_TP3,9,723,16.3,22.7114,5.8123,475,35.5942,275.2287,36.4131
F11,C2_TP3,10,1001,5.5,6.0806,1.9400,288,35.5942,275.2287,36.4131
F11,C2_TP3,11,1267,7.7,6.7769,2.7443,386,35.5942,275.2287,36.4131
F11,C2_TP3,12,5244,0.3,0.0573,0.0960,45,35.5942,275.2287,36.4131
F11,C2_TP3,,,,,,,35.5942,275.2287,36.4131
F12,C2_TP4,1,15,,68.7044,0.4293,1306,27.1325,271.3295,29.7625
F12,C2_TP4,2,159,4.7,25.8402,1.2795,198,27.1325,271.3295,29.7625
F12,C2_TP4,3,192,11.4,52.6403,3.0958,314,27.1325,271.3295,29.7625
F12,C2_TP4,4,261,33.3,107.2646,9.0242,862,27.1325,271.3295,29.7625
F12,C2_TP4,5,369,8.8,20.6858,2.3834,357,27.1325,271.3295,29.7625
F12,C2_TP4,6,416,19.4,36.7833,5.2520,453,27.1325,271.3295,29.7625
F12,C2_TP4,7,533,7.1,10.7505,1.9209,312,27.1325,271.3295,29.7625
F12,C2_TP4,8,649,15.4,17.3649,4.1768,274,27.1325,271.3295,29.7625
F12,C2_TP4,,,,,,,27.1325,271.3295,29.7625
G1,D2_TP1,1,15,,72.4190,0.4293,1098,99.0929,753.0867,99.8957
G1,D2_TP1,2,141,3.1,69.0396,3.1088,441,99.0929,753.0867,99.8957
G1,D2_TP1,3,172,3.4,60.9852,3.3716,422,99.0929,753.0867,99.8957
G1,D2_TP1,4,197,12.1,189.2593,11.9796,2915,99.0929,753.0867,99.8957
G1,D2_TP1,5,261,22.4,256.1374,22.2056,1823,99.0929,753.0867,99.8957
G1,D2_TP1,6,429,2.9,20.4228,2.8244,447,99.0929,753.0867,99.8957
G1,D2_TP1,7,497,2.7,16.0320,2.6385,264,99.0929,753.0867,99.8957
G1,D2_TP1,8,640,3.5,16.1343,3.4723,265,99.0929,753.0867,99.8957
G1,D2_TP1,9,820,3.7,13.3260,3.6239,337,99.0929,753.0867,99.8957
G1,D2_TP1,10,982,2.1,6.6831,2.0809,340,99.0929,753.0867,99.8957
G1,D2_TP1,11,1065,2.4,6.9882,2.4043,459,99.0929,753.0867,99.8957
G1,D2_TP1,12,1315,41.8,98.0788,41.3831,11495,99.0929,753.0867,99.8957
G1,D2_TP1,,,,,,,99.0929,753.0867,99.8957
G2,D2_TP2,1,15,,72.4190,0.4293,1233,49.4291,483.0879,49.5714
G2,D2_TP2,2,141,5.4,61.3414,2.6638,329,49.4291,483.0879,49.5714
G2,D2_TP2,3,172,7.0,63.5134,3.4503,322,49.4291,483.0879,49.5714
G2,D2_TP2,4,196,12.3,97.1452,6.0868,1530,49.4291,483.0879,49.5714
G2,D2_TP2,5,261,28.4,162.8071,14.0622,1232,49.4291,483.0879,49.5714
G2,D2_TP2,6,424,5.4,19.6345,2.6713,396,49.4291,483.0879,49.5714
G2,D2_TP2,7,515,6.5,19.7768,3.2294,335,49.4291,483.0879,49.5714
G2,D2_TP2,8,630,9.3,21.4510,4.5753,396,49.4291,483.0879,49.5714
G2,D2_TP2,9,815,4.0,7.6459,1.9763,368,49.4291,483.0879,49.5714
G2,D2_TP2,10,898,4.4,7.5515,2.1722,333,49.4291,483.0879,49.5714
G2,D2_TP2,11,1065,5.1,7.5144,2.5059,392,49.4291,483.0879,49.5714
G2,D2_TP2,12,1307,12.2,14.7067,6.0356,1502,49.4291,483.0879,49.5714
G2,D2_TP2,,,,,,,49.4291,483.0879,49.5714
G3,D2_TP3,1,15,,68.7044,0.4293,1231,64.2452,719.2025,65.0488
G3,D2_TP3,2,141,6.0,87.2741,3.8459,454,64.2452,719.2025,65.0488
G3,D2_TP3,3,162,4.0,50.0166,2.5407,389,64.2452,719.2025,65.0488
G3,D2_TP3,4,182,6.3,71.6208,4.0514,482,64.2452,719.2025,65.0488
G3,D2_TP3,5,197,10.3,105.4256,6.6394,1402,64.2452,719.2025,65.0488
G3,D2_TP3,6,264,42.2,307.2756,27.1314,2450,64.2452,719.2025,65.0488
G3,D2_TP3,7,427,4.7,22.1323,3.0395,437,64.2452,719.2025,65.0488
G3,D2_TP3,8,529,7.8,30.3263,4.9813,490,64.2452,719.2025,65.0488
G3,D2_TP3,9,630,8.5,25.5204,5.4515,480,64.2452,719.2025,65.0488
G3,D2_TP3,10,815,5.4,12.5674,3.4780,299,64.2452,719.2025,65.0488
G3,D2_TP3,11,1065,1.9,3.5258,1.1984,203,64.2452,719.2025,65.0488
G3,D2_TP3,12,1307,2.0,3.1803,1.2899,223,64.2452,719.2025,65.0488
G3,D2_TP3,13,5325,0.9,0.3372,0.5978,60,64.2452,719.2025,65.0488
G3,D2_TP3,,,,,,,64.2452,719.2025,65.0488
G4,D2_TP4,1,15,,72.4190,0.4293,1418,47.8130,677.2305,48.8988
G4,D2_TP4,2,105,4.5,65.5172,2.1732,222,47.8130,677.2305,48.8988
G4,D2_TP4,3,140,9.8,109.0815,4.7021,573,47.8130,677.2305,48.8988
G4,D2_TP4,4,160,7.3,69.6653,3.4942,541,47.8130,677.2305,48.8988
G4,D2_TP4,5,179,9.5,80.4855,4.5270,595,47.8130,677.2305,48.8988
G4,D2_TP4,6,196,11.7,89.6531,5.5886,1167,47.8130,677.2305,48.8988
G4,D2_TP4,7,259,37.7,206.6094,18.0442,1718,47.8130,677.2305,48.8988
G4,D2_TP4,8,419,6.5,22.9275,3.0899,425,47.8130,677.2305,48.8988
G4,D2_TP4,9,515,13.0,33.2910,6.1937,359,47.8130,677.2305,48.8988
G4,D2_TP4,,,,,,,47.8130,677.2305,48.8988
G5,E2_TP1,1,15,,68.7044,0.4293,959,73.8046,431.1071,76.5664
G5,E2_TP1,2,185,0.8,10.6594,0.6269,106,73.8046,431.1071,76.5664
G5,E2_TP1,3,272,27.6,232.9299,20.3429,2087,73.8046,431.1071,76.5664
G5,E2_TP1,4,709,3.3,12.3277,2.4437,137,73.8046,431.1071,76.5664
G5,E2_TP1,5,880,66.9,173.4753,49.3994,8725,73.8046,431.1071,76.5664
G5,E2_TP1,6,1695,1.1,1.4507,0.8060,77,73.8046,431.1071,76.5664
G5,E2_TP1,7,2210,0.3,0.2641,0.1858,61,73.8046,431.1071,76.5664
G5,E2_TP1,,,,,,,73.8046,431.1071,76.5664
G6,E2_TP2,1,15,,76.5581,0.4293,1016,16.9987,139.8893,20.0022
G6,E2_TP2,2,264,53.1,106.4418,9.0232,839,16.9987,139.8893,20.0022
G6,E2_TP2,3,556,12.8,11.8501,2.1819,114,16.9987,139.8893,20.0022
G6,E2_TP2,4,723,3.7,2.7401,0.6292,115,16.9987,139.8893,20.0022
G6,E2_TP2,5,866,30.4,18.8573,5.1644,728,16.9987,139.8893,20.0022
G6,E2_TP2,,,,,,,16.9987,139.8893,20.0022
G7,E2_TP3,1,15,,72.4190,0.4293,859,7.4603,76.7344,11.1480
G7,E2_TP3,2,269,88.3,73.5238,6.5862,419,7.4603,76.7344,11.1480
G7,E2_TP3,3,871,11.7,3.2106,0.8741,79,7.4603,76.7344,11.1480
G7,E2_TP3,,,,,,,7.4603,76.7344,11.1480
G8,E2_TP4,1,15,,86.4391,0.4293,879,17.8702,296.6191,23.4499
G8,E2_TP4,2,32,7.0,113.0022,1.2494,87,17.8702,296.6191,23.4499
G8,E2_TP4,3,185,6.9,21.2309,1.2418,111,17.8702,296.6191,23.4499
G8,E2_TP4,4,272,86.1,162.3860,15.3790,738,17.8702,296.6191,23.4499
G8,E2_TP4,,,,,,,17.8702,296.6191,23.4499
G9,H2_TP1,1,15,,68.7044,0.4293,1165,23.5327,114.1318,26.3041
G9,H2_TP1,2,285,15.6,43.2051,3.6764,411,23.5327,114.1318,26.3041
G9,H2_TP1,3,866,84.4,70.9267,19.8563,4666,23.5327,114.1318,26.3041
G9,H2_TP1,,,,,,,23.5327,114.1318,26.3041
G10,H2_TP2,1,15,,72.4190,0.4293,1574,15.2057,104.7543,17.1843
G10,H2_TP2,2,282,30.2,55.5804,4.5869,590,15.2057,104.7543,17.1843
G10,H2_TP2,3,413,4.5,5.1842,0.6787,155,15.2057,104.7543,17.1843
G10,H2_TP2,4,463,5.8,6.0759,0.8850,174,15.2057,104.7543,17.1843
G10,H2_TP2,5,495,9.4,8.3284,1.4267,182,15.2057,104.7543,17.1843
G10,H2_TP2,6,861,50.2,29.5854,7.6283,1513,15.2057,104.7543,17.1843
G10,H2_TP2,,,,,,,15.2057,104.7543,17.1843
G11,H2_TP3,1,15,,72.4190,0.4293,1508,51.9368,520.6578,51.1266
G11,H2_TP3,2,166,8.3,93.1038,4.3117,269,51.9368,520.6578,51.1266
G11,H2_TP3,3,183,4.4,38.9677,2.2667,456,51.9368,520.6578,51.1266
G11,H2_TP3,4,264,46.3,275.5422,24.0645,2451,51.9368,520.6578,51.1266
G11,H2_TP3,5,416,5.0,19.9837,2.6163,583,51.9368,520.6578,51.1266
G11,H2_TP3,6,453,15.4,49.6033,7.9886,627,51.9368,520.6578,51.1266
G11,H2_TP3,7,630,2.8,7.2268,1.4603,490,51.9368,520.6578,51.1266
G11,H2_TP3,8,792,11.0,24.0435,5.7293,706,51.9368,520.6578,51.1266
G11,H2_TP3,9,857,6.3,11.8647,3.2684,981,51.9368,520.6578,51.1266
G11,H2_TP3,10,2275,0.4,0.3221,0.2309,84,51.9368,520.6578,51.1266
G11,H2_TP3,,,,,,,51.9368,520.6578,51.1266
G12,H2_TP4,1,15,,72.4190,0.4293,1314,43.2627,520.0760,43.5803
G12,H2_TP4,2,162,15.3,144.6202,6.6048,324,43.2627,520.0760,43.5803
G12,H2_TP4,3,183,6.7,49.6757,2.8896,478,43.2627,520.0760,43.5803
G12,H2_TP4,4,267,53.4,264.4311,23.0941,1927,43.2627,520.0760,43.5803
G12,H2_TP4,5,416,17.5,49.1455,7.5526,406,43.2627,520.0760,43.5803
G12,H2_TP4,6,783,5.5,9.7831,2.3626,260,43.2627,520.0760,43.5803
G12,H2_TP4,7,852,1.4,2.2218,0.6156,175,43.2627,520.0760,43.5803
G12,H2_TP4,8,2291,0.3,0.1986,0.1434,51,43.2627,520.0760,43.5803
G12,H2_TP4,,,,,,,43.2627,520.0760,43.5803
H1,A3_TP1,1,15,,72.4190,0.4293,1316,91.6856,541.8409,92.8744
H1,A3_TP1,2,182,0.7,11.6255,0.6762,162,91.6856,541.8409,92.8744
H1,A3_TP1,3,261,22.7,248.0841,20.7918,2688,91.6856,541.8409,92.8744
H1,A3_TP1,4,442,1.6,11.0442,1.4495,150,91.6856,541.8409,92.8744
H1,A3_TP1,5,575,3.0,16.4302,2.7777,308,91.6856,541.8409,92.8744
H1,A3_TP1,6,630,1.6,7.2173,1.4538,351,91.6856,541.8409,92.8744
H1,A3_TP1,7,797,68.1,243.6467,62.4317,18949,91.6856,541.8409,92.8744
H1,A3_TP1,8,1566,1.6,2.8931,1.4803,297,91.6856,541.8409,92.8744
H1,A3_TP1,9,2130,0.7,0.8998,0.6245,137,91.6856,541.8409,92.8744
H1,A3_TP1,,,,,,,91.6856,541.8409,92.8744
H2,A3_TP2,1,15,,72.4190,0.4293,1206,38.7274,321.4461,39.3530
H2,A3_TP2,2,157,2.8,20.7612,1.0679,107,38.7274,321.4461,39.3530
H2,A3_TP2,3,181,3.2,21.0789,1.2464,161,38.7274,321.4461,39.3530
H2,A3_TP2,4,261,37.6,170.3697,14.5516,1575,38.7274,321.4461,39.3530
H2,A3_TP2,5,413,8.5,24.9215,3.2788,292,38.7274,321.4461,39.3530
H2,A3_TP2,6,495,6.4,15.5903,2.4808,293,38.7274,321.4461,39.3530
H2,A3_TP2,7,580,4.8,10.0512,1.8571,421,38.7274,321.4461,39.3530
H2,A3_TP2,8,644,5.8,10.9573,2.2563,461,38.7274,321.4461,39.3530
H2,A3_TP2,9,801,30.6,47.4922,11.8345,2282,38.7274,321.4461,39.3530
H2,A3_TP2,10,2162,0.4,0.2239,0.1540,51,38.7274,321.4461,39.3530
H2,A3_TP2,,,,,,,38.7274,321.4461,39.3530
H3,A3_TP3,1,15,,68.7044,0.4293,802,79.7935,790.7545,80.4767
H3,A3_TP3,2,159,7.2,119.0933,5.7062,262,79.7935,790.7545,80.4767
H3,A3_TP3,3,182,5.6,74.6120,4.4597,335,79.7935,790.7545,80.4767
H3,A3_TP3,4,285,45.8,413.5833,36.5180,2248,79.7935,790.7545,80.4767
H3,A3_TP3,5,382,3.5,23.0908,2.8159,433,79.7935,790.7545,80.4767
H3,A3_TP3,6,448,8.1,46.9595,6.4792,504,79.7935,790.7545,80.4767
H3,A3_TP3,7,500,7.4,36.6372,5.9122,505,79.7935,790.7545,80.4767
H3,A3_TP3,8,589,15.9,59.5190,12.6758,610,79.7935,790.7545,80.4767
H3,A3_TP3,9,806,5.5,15.9992,4.3560,636,79.7935,790.7545,80.4767
H3,A3_TP3,10,2194,1.1,1.2602,0.8706,125,79.7935,790.7545,80.4767
H3,A3_TP3,,,,,,,79.7935,790.7545,80.4767
H4,A3_TP4,1,15,,72.4190,0.4293,1514,31.2015,375.7154,30.9647
H4,A3_TP4,2,157,13.9,93.3715,4.3241,313,31.2015,375.7154,30.9647
H4,A3_TP4,3,181,8.2,43.2595,2.5580,367,31.2015,375.7154,30.9647
H4,A3_TP4,4,261,50.8,185.5294,15.8464,1869,31.2015,375.7154,30.9647
H4,A3_TP4,5,374,3.8,10.0280,1.2004,360,31.2015,375.7154,30.9647
H4,A3_TP4,6,406,8.4,19.3287,2.6111,392,31.2015,375.7154,30.9647
H4,A3_TP4,7,492,5.5,10.7952,1.7074,269,31.2015,375.7154,30.9647
H4,A3_TP4,8,570,8.0,11.9387,2.4852,257,31.2015,375.7154,30.9647
H4,A3_TP4,9,848,1.1,1.2966,0.3559,153,31.2015,375.7154,30.9647
H4,A3_TP4,10,2146,0.4,0.1679,0.1129,48,31.2015,375.7154,30.9647
H4,A3_TP4,,,,,,,31.2015,375.7154,30.9647
H5,B3_TP1,1,15,,68.7044,0.4293,1349,108.3175,573.6045,110.1243
H5,B3_TP1,2,182,0.6,10.6660,0.6204,159,108.3175,573.6045,110.1243
H5,B3_TP1,3,282,17.5,219.5883,18.9666,2352,108.3175,573.6045,110.1243
H5,B3_TP1,4,479,1.8,13.2064,1.9322,231,108.3175,573.6045,110.1243
H5,B3_TP1,5,570,2.3,13.9482,2.4743,448,108.3175,573.6045,110.1243
H5,B3_TP1,6,681,3.5,17.6829,3.8226,536,108.3175,573.6045,110.1243
H5,B3_TP1,7,834,73.3,296.6733,79.4421,30932,108.3175,573.6045,110.1243
H5,B3_TP1,8,1621,0.7,1.4053,0.7573,127,108.3175,573.6045,110.1243
H5,B3_TP1,9,2146,0.3,0.4340,0.3018,82,108.3175,573.6045,110.1243
H5,B3_TP1,,,,,,,108.3175,573.6045,110.1243
