Time,Value
28.8,17.87834
28.85,13.94106
28.9,9.883788
28.95,6.558321
29,4.267871
29.05,2.857935
29.1,1.999785
29.15,1.471093
29.2,1.129669
29.25,0.9303523
29.3,0.8297076
29.35,0.7975038
29.4,0.791748
29.45,0.7775008
29.5,0.7255888
29.55,0.6660321
29.6,0.6129136
29.65,0.5660915
29.7,0.5209615
29.75,0.4739886
29.8,0.4209875
29.85,0.3753307
29.9,0.3402618
29.95,0.3268276
30,0.3152262
30.05,0.3219432
30.1,0.3407516
30.15,0.3510391
30.2,0.3624601
30.25,0.3753512
30.3,0.3801932
30.35,0.3953356
30.4,0.4019728
30.45,0.4048434
30.5,0.4006342
30.55,0.3854737
30.6,0.3888044
30.65,0.4152769
30.7,0.4619399
30.75,0.5200136
30.8,0.5709428
30.85,0.5915619
30.9,0.5830052
30.95,0.5547881
31,0.5207752
31.05,0.495847
31.1,0.490981
31.15,0.4879887
31.2,0.4729693
31.25,0.4563632
31.3,0.4542979
31.35,0.4474698
31.4,0.4348782
31.45,0.4323975
31.5,0.4575394
31.55,0.4874404
31.6,0.522489
31.65,0.5680084
31.7,0.5838335
31.75,0.5722464
31.8,0.5613436
31.85,0.5846765
31.9,0.6502699
31.95,0.6980303
32,0.7157936
32.05,0.7108977
32.1,0.6845213
32.15,0.6526405
32.2,0.62587
32.25,0.644002
32.3,0.7693083
32.35,1.171965
32.4,2.063286
32.45,3.417573
32.5,4.977553
32.55,6.614618
32.6,8.541972
32.65,11.25354
32.7,15.09566
32.75,19.53529
32.8,23.33196
32.85,25.25979
32.9,24.68141
32.95,22.0444
33,18.42397
33.05,14.9525
33.1,12.32451
33.15,10.45413
33.2,9.048198
33.25,7.87067
33.3,6.717021
33.35,5.580817
33.4,4.457858
33.45,3.457691
33.5,2.671675
33.55,2.054737
33.6,1.602762
33.65,1.291502
33.7,1.063159
33.75,0.8799121
33.8,0.7363819
33.85,0.648805
33.9,0.5902339
33.95,0.5432689
34,0.5001675
34.05,0.4658582
34.1,0.4390704
34.15,0.4135778
34.2,0.4003279
34.25,0.3998617
34.3,0.4075096
34.35,0.4249974
34.4,0.4438362
34.45,0.4449006
34.5,0.4311554
34.55,0.4045755
34.6,0.3695879
34.65,0.3557778
34.7,0.3742009
34.75,0.4159776
34.8,0.4644095
34.85,0.5040486
34.9,0.5295737
34.95,0.5417165
35,0.557058
35.05,0.5717133
35.1,0.5809042
35.15,0.5812076
35.2,0.564004
35.25,0.5370291
35.3,0.506058
35.35,0.4925027
35.4,0.4826775
35.45,0.4719882
