Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,0.000000,1,2, 1.00000, 3.02344,482.25620,243.12531,200.42909,38.70180,117.01255
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,0.500000,1,3, 0.90760, 2.74408,491.59237,250.93970,200.96675,39.68592,108.90141
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,1.000000,1,4, 0.56517, 1.70875,529.01927,275.10815,205.71523,48.19589,82.35475
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,1.500000,1,5, 0.47128, 1.42488,578.91091,331.71155,199.89655,47.30282,67.40079
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,2.000000,1,6, 0.31363, 0.94825,513.72439,258.18918,204.06642,51.46879,48.80514
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,3.000000,1,7, 0.13370, 0.40423,542.04684,298.08048,194.06146,49.90490,20.17321
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,4.000000,1,8, 0.07210, 0.21800,569.39295,316.00252,197.32585,56.06458,12.22206
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,5.000000,1,9, 0.04638, 0.14021,557.32495,309.04500,195.24188,53.03807, 7.43673
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,18.000000,1,10, 0.00393, 0.01187,457.74481,214.52122,192.71131,50.51227, 0.59976
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_EiFisker_Yellowstone,Unmodified,24.000000,1,11,-0.00055,-0.00166,576.99154,323.52915,192.77024,60.69215,-0.10077
