Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.000000,4,1, 1.00000, 0.72249,391.91459,263.15021,90.21695,38.54744,190.12387
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,1.000000,4,2, 0.84472, 0.61030,369.55151,238.61312,88.52198,42.41641,145.62650
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,3.000000,4,3, 0.60175, 0.43476,364.03899,242.09671,83.65077,38.29151,105.25409
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,5.000000,4,4, 0.37871, 0.27362,379.93596,258.46403,79.31202,42.15991,70.71990
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,0.000000,4,5, 1.00000, 0.70860,352.20531,230.25251,80.61870,41.33410,163.15759
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,1.000000,4,6, 0.73046, 0.51760,329.38405,211.97219,74.80934,42.60251,109.71761
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,3.000000,4,7, 0.43191, 0.30605,357.35817,250.42152,65.15074,41.78592,76.64213
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU,5.000000,4,8, 0.30665, 0.21729,252.30679,156.17234,61.10486,35.02959,33.93473
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,0.000000,4,9, 1.00000, 0.69353,412.70260,322.84038,58.81291,31.04930,223.90012
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,1.000000,4,10, 0.90496, 0.62762,418.84860,318.85986,54.62496,45.36378,200.12301
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,3.000000,4,11, 0.63906, 0.44321,456.20386,356.59675,52.92553,46.68158,158.04630
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU,5.000000,4,12, 0.53676, 0.37226,428.57605,337.29797,53.39728,37.88081,125.56185
hHBB_10415488_RLT-10_hHBB,PSU,0.000000,5,1, 1.00000, 0.79223,443.31301,328.65612,76.92511,37.73178,260.37000
hHBB_10415488_RLT-10_hHBB,PSU,1.000000,5,2, 0.78682, 0.62334,525.07935,397.91627,78.80582,48.35727,248.03603
hHBB_10415488_RLT-10_hHBB,PSU,3.000000,5,3, 0.57134, 0.45263,492.00072,372.50806,74.15640,45.33627,168.60877
hHBB_10415488_RLT-10_hHBB,PSU,5.000000,5,4, 0.50130, 0.39714,499.44846,373.59889,75.69669,50.15288,148.37087
hHBB_10419522_12_hHBB,PSU,0.000000,5,5, 1.00000, 0.70906,463.30731,352.07278,73.04535,38.18918,249.64005
hHBB_10419522_12_hHBB,PSU,1.000000,5,6, 0.62755, 0.44497,496.93562,365.58430,75.54539,55.80593,162.67461
hHBB_10419522_12_hHBB,PSU,3.000000,5,7, 0.35120, 0.24902,600.22450,452.81416,62.89330,84.51704,112.76183
hHBB_10419522_12_hHBB,PSU,5.000000,5,8, 0.19442, 0.13786,513.99991,371.59605,64.66918,77.73468,51.22680
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,0.000000,5,9, 1.00000, 0.71463,448.04988,343.66009,64.19083,40.19897,245.59032
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,1.000000,5,10, 0.65280, 0.46651,534.75668,422.94261,59.43615,52.37792,197.30744
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,3.000000,5,11, 0.37234, 0.26609,339.30401,249.42009,57.12947,32.75444,66.36800
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU,5.000000,5,12, 0.30350, 0.21689,492.53684,374.27406,59.68379,58.57898,81.17663
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,0.000000,6,1, 1.00000, 0.73383,490.69133,343.88770,104.05440,42.74923,252.35565
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,1.000000,6,2, 0.65551, 0.48104,853.60476,643.73728,108.83406,101.03341,309.66084
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,3.000000,6,3, 0.29390, 0.21567,517.71626,351.43640,105.83771,60.44215,75.79439
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU,5.000000,6,4, 0.11136, 0.08172,429.06955,273.49973,106.38810,49.18172,22.34932
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,0.000000,6,5, 1.00000, 0.74139,597.79384,445.03130,104.94051,47.82203,329.94269
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,1.000000,6,6, 0.63294, 0.46926,748.95947,566.46683,107.41643,75.07620,265.81901
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,3.000000,6,7, 0.28836, 0.21379,561.69068,411.15781,101.22444,49.30843,87.90066
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU,5.000000,6,8, 0.11639, 0.08629,387.84434,249.12431,100.71870,38.00133,21.49774
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,0.000000,6,9, 1.00000, 0.71341,581.57876,430.59377,100.86800,50.11699,307.18884
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU,1.000000,6,10, 0.63517, 0.45314,548.84543,392.65942,98.15388,58.03212,177.92856
