Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_Yellowstone_hHBB-natural,natural,0.000000,1,1, 1.00000, 2.14880,1265.66079,861.47975,204.68790,199.49314,428.67123
hHBB_Yellowstone_hHBB-natural,natural,0.500000,1,2, 0.73287, 1.57479,806.01387,478.54070,214.41785,113.05532,178.03820
hHBB_Yellowstone_hHBB-natural,natural,1.000000,1,3, 0.52280, 1.12340,779.91712,473.51021,214.14701,92.25991,103.64480
hHBB_Yellowstone_hHBB-natural,natural,1.500000,1,4, 0.30487, 0.65510,662.91135,352.18030,216.61039,94.12067,61.65888
hHBB_Yellowstone_hHBB-natural,natural,2.000000,1,5, 0.26276, 0.56461,725.89624,417.95421,218.54638,89.39564,50.47378
hHBB_Yellowstone_hHBB-natural,natural,3.000000,1,6, 0.06782, 0.14573,705.23652,386.18343,218.93873,100.11435,14.58944
hHBB_Yellowstone_hHBB-natural,natural,4.000000,1,7, 0.07622, 0.16378,642.89284,352.78650,211.28152,78.82483,12.91022
hHBB_Yellowstone_hHBB-natural,natural,5.000000,1,8, 0.03002, 0.06451,714.33214,408.00371,214.51396,91.81448, 5.92302
hHBB_Yellowstone_hHBB-natural,natural,18.000000,1,9, 0.00110, 0.00235,690.77900,381.91687,214.24748,94.61465, 0.22268
hHBB_Yellowstone_hHBB-natural,natural,24.000000,1,10,-0.00073,-0.00157,868.33551,524.32364,213.29472,130.71715,-0.20537
hHBB_Yellowstone_hHBB-5mC,5mC,0.000000,1,11, 1.00000, 3.80657,565.74916,304.06397,217.68638,43.99881,167.48463
hHBB_Yellowstone_hHBB-5mC,5mC,0.500000,1,12, 0.62399, 2.37526,573.88531,308.74094,218.83486,46.30951,109.99716
hHBB_Yellowstone_hHBB-5mC,5mC,1.000000,2,1, 0.48338, 1.84003,529.55369,299.89668,190.94562,38.71138,71.23022
hHBB_Yellowstone_hHBB-5mC,5mC,1.500000,2,2, 0.35849, 1.36462,547.03787,314.57292,195.00909,37.45585,51.11305
hHBB_Yellowstone_hHBB-5mC,5mC,2.000000,2,3, 0.25030, 0.95280,596.99472,357.61030,192.55089,46.83353,44.62283
hHBB_Yellowstone_hHBB-5mC,5mC,3.000000,2,4, 0.14270, 0.54319,655.13467,408.43897,195.05474,51.64097,28.05071
hHBB_Yellowstone_hHBB-5mC,5mC,4.000000,2,5, 0.08060, 0.30679,645.99412,391.80701,198.98962,55.19750,16.93429
hHBB_Yellowstone_hHBB-5mC,5mC,5.000000,2,6, 0.04751, 0.18087,659.77889,401.37018,201.83364,56.57507,10.23265
hHBB_Yellowstone_hHBB-5mC,5mC,18.000000,2,7,-0.00137,-0.00521,633.96347,381.12733,190.91541,61.92074,-0.32261
hHBB_Yellowstone_hHBB-5mC,5mC,24.000000,2,8, 0.00110, 0.00420,626.75109,379.56081,191.62374,55.56653, 0.23324
hHBB_Yellowstone_hHBB-PSU,PSU,0.000000,6,11, 1.00000, 8.80542,683.80383,517.35583,121.34457,45.10344,397.15461
hHBB_Yellowstone_hHBB-PSU,PSU,0.500000,6,12, 0.70490, 6.20698,778.23982,597.15260,122.58210,58.50512,363.14027
hHBB_Yellowstone_hHBB-PSU,PSU,1.000000,7,1, 0.63476, 5.58932,786.04153,518.98156,218.36313,48.69684,272.18245
hHBB_Yellowstone_hHBB-PSU,PSU,1.500000,7,2, 0.45491, 4.00567,745.18374,462.93809,225.24595,56.99970,228.32202
hHBB_Yellowstone_hHBB-PSU,PSU,2.000000,7,3, 0.40270, 3.54593,793.52911,514.34634,226.91370,52.26907,185.34251
hHBB_Yellowstone_hHBB-PSU,PSU,3.000000,7,4, 0.28184, 2.48171,899.70346,610.12361,226.60042,62.97943,156.29696
