Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_GCrich-2_hHBB-PSU,PSU,1.500000,10,4, 0.82861, 0.38272,780.00091,535.74126,152.53141,91.72823,205.03938
hHBB_GCrich-2_hHBB-PSU,PSU,2.000000,10,5, 0.79661, 0.36794,721.46889,477.78288,153.49991,90.18610,175.79710
hHBB_GCrich-2_hHBB-PSU,PSU,3.000000,10,6, 0.63845, 0.29489,692.99293,464.97525,154.90990,73.10778,137.11630
hHBB_GCrich-2_hHBB-PSU,PSU,4.000000,10,7, 0.43625, 0.20150,574.53637,379.62492,143.32988,51.58157,76.49397
hHBB_GCrich-2_hHBB-PSU,PSU,5.000000,10,8, 0.40481, 0.18698,694.45219,474.02758,144.44174,75.98287,88.63265
hHBB_GCrich-2_hHBB-PSU,PSU,18.000000,10,9, 0.05566, 0.02571,730.77280,483.75989,142.19731,104.81561,12.43609
hHBB_GCrich-2_hHBB-PSU,PSU,24.000000,10,10, 0.02287, 0.01056,759.69610,517.91080,139.36460,102.42070, 5.47028
hHBB_LocalDesign_hHBB-5mC,5mC,0.000000,5,3, 1.00000, 0.44180,511.89770,232.99453,199.70332,79.19985,102.93617
hHBB_LocalDesign_hHBB-5mC,5mC,0.500000,5,4, 0.67525, 0.29832,463.55695,216.17295,197.53939,49.84461,64.48975
hHBB_LocalDesign_hHBB-5mC,5mC,1.000000,5,5, 0.53658, 0.23706,505.93782,237.32811,202.39666,66.21305,56.26129
hHBB_LocalDesign_hHBB-5mC,5mC,1.500000,5,6, 0.46822, 0.20686,452.89786,190.79009,204.25063,57.85714,39.46687
hHBB_LocalDesign_hHBB-5mC,5mC,2.000000,5,7, 0.33529, 0.14813,478.44555,223.05845,193.99960,61.38750,33.04157
hHBB_LocalDesign_hHBB-5mC,5mC,3.000000,5,8, 0.25669, 0.11341,465.88560,201.15395,194.56502,70.16663,22.81206
hHBB_LocalDesign_hHBB-5mC,5mC,4.000000,5,9, 0.12249, 0.05412,567.91560,291.96840,195.92158,80.02562,15.80070
hHBB_LocalDesign_hHBB-5mC,5mC,5.000000,5,10, 0.08176, 0.03612,497.32264,241.48563,191.30239,64.53461, 8.72283
hHBB_LocalDesign_hHBB-5mC,5mC,18.000000,5,11, 0.00809, 0.00357,495.21851,243.37157,190.89035,60.95658, 0.87005
hHBB_LocalDesign_hHBB-5mC,5mC,24.000000,5,12, 0.00543, 0.00240,457.51120,213.66475,189.88559,53.96086, 0.51285
hHBB_LocalDesign_hHBB-PSU,PSU,0.000000,11,1, 1.00000, 0.98554,446.40472,168.28374,181.88478,96.23620,165.85064
hHBB_LocalDesign_hHBB-PSU,PSU,0.500000,11,2, 0.59595, 0.58733,529.30083,243.71859,186.59107,98.99117,143.14336
hHBB_LocalDesign_hHBB-PSU,PSU,1.000000,11,3, 0.46843, 0.46166,599.98743,314.18549,186.46374,99.33820,145.04754
hHBB_LocalDesign_hHBB-PSU,PSU,1.500000,11,4, 0.46503, 0.45831,599.65355,311.77302,183.79730,104.08323,142.88757
hHBB_LocalDesign_hHBB-PSU,PSU,2.000000,11,5, 0.40344, 0.39761,622.63917,329.34603,188.66174,104.63140,130.94999
hHBB_LocalDesign_hHBB-PSU,PSU,3.000000,11,6, 0.26005, 0.25629,687.26040,396.20725,190.40277,100.65038,101.54591
hHBB_LocalDesign_hHBB-PSU,PSU,4.000000,11,7, 0.24250, 0.23899,664.34011,378.10591,181.88693,104.34727,90.36456
hHBB_LocalDesign_hHBB-PSU,PSU,5.000000,11,8, 0.21080, 0.20775,620.30721,342.50754,180.09128,97.70839,71.15571
hHBB_LocalDesign_hHBB-PSU,PSU,18.000000,11,9, 0.01465, 0.01443,612.20531,345.23989,181.36030,85.60512, 4.98294
hHBB_LocalDesign_hHBB-PSU,PSU,24.000000,11,10, 0.00217, 0.00214,561.61967,305.55918,176.43928,79.62121, 0.65410
hHBB_-423.7 kcal_hHBB-5mC,5mC,0.000000,6,1, 1.00000, 0.46648,669.70268,484.05054,123.48031,62.17184,225.79974
hHBB_-423.7 kcal_hHBB-5mC,5mC,0.500000,6,2, 0.75045, 0.35007,688.64625,500.57297,122.24478,65.82850,175.23617
hHBB_-423.7 kcal_hHBB-5mC,5mC,1.000000,6,3, 0.60624, 0.28280,602.12023,413.99871,123.90178,64.21975,117.07757
hHBB_-423.7 kcal_hHBB-5mC,5mC,1.500000,6,4, 0.44636, 0.20822,610.06013,425.53546,121.50328,63.02139,88.60350
hHBB_-423.7 kcal_hHBB-5mC,5mC,2.000000,6,5, 0.38812, 0.18105,639.98158,450.92811,122.52661,66.52686,81.64013
hHBB_-423.7 kcal_hHBB-5mC,5mC,3.000000,6,6, 0.28536, 0.13311,634.15419,438.97029,126.52480,68.65911,58.43329
hHBB_-423.7 kcal_hHBB-5mC,5mC,4.000000,6,7, 0.19165, 0.08940,581.29460,410.09559,119.62865,51.57036,36.66294
hHBB_-423.7 kcal_hHBB-5mC,5mC,5.000000,6,8, 0.12891, 0.06014,601.55686,423.90572,121.16023,56.49091,25.49195
hHBB_-423.7 kcal_hHBB-5mC,5mC,18.000000,6,9, 0.00969, 0.00452,572.85710,396.62935,122.16874,54.05901, 1.79309
hHBB_-423.7 kcal_hHBB-5mC,5mC,24.000000,6,10, 0.00061, 0.00028,700.36870,517.01498,122.71112,60.64261, 0.14609
hHBB_-423.7 kcal_hHBB-PSU,PSU,0.000000,13,1, 1.00000, 0.45776,532.84017,335.43659,152.97484,44.42874,153.54897
hHBB_-423.7 kcal_hHBB-PSU,PSU,0.500000,13,2, 0.77008, 0.35251,430.40836,248.23425,153.24937,28.92474,87.50500
hHBB_-423.7 kcal_hHBB-PSU,PSU,1.000000,13,3, 0.72827, 0.33337,523.88949,333.69974,155.75734,34.43241,111.24599
hHBB_-423.7 kcal_hHBB-PSU,PSU,1.500000,13,4, 0.61862, 0.28318,476.07977,295.75884,156.42121,23.89972,83.75307
hHBB_-423.7 kcal_hHBB-PSU,PSU,2.000000,13,5, 0.70996, 0.32499,481.83308,294.67537,152.56990,34.58781,95.76612
hHBB_-423.7 kcal_hHBB-PSU,PSU,3.000000,13,6, 0.53096, 0.24305,498.88941,308.46199,158.23733,32.19009,74.97172
hHBB_-423.7 kcal_hHBB-PSU,PSU,4.000000,13,7, 0.42894, 0.19635,517.81433,335.58152,146.81031,35.42250,65.89219
hHBB_-423.7 kcal_hHBB-PSU,PSU,5.000000,13,8, 0.31688, 0.14506,342.34724,200.18914,147.17126,-5.01316,29.03867
hHBB_-423.7 kcal_hHBB-PSU,PSU,18.000000,13,9, 0.03408, 0.01560,484.91049,313.43258,145.38096,26.09695, 4.89014
hHBB_-423.7 kcal_hHBB-PSU,PSU,24.000000,13,10, 0.01870, 0.00856,578.94030,374.71788,144.40486,59.81757, 3.20846
