Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
hHBB_10383581_START_reference_hHBB,PSU,0.000000,1,2, 1.00000, 0.69595,517.18281,408.29485,108.88796, 0.00000,284.15220
hHBB_10383581_START_reference_hHBB,PSU,0.500000,1,3, 0.85367, 0.59411,527.19581,421.96191,105.23390, 0.00000,250.69281
hHBB_10383581_START_reference_hHBB,PSU,1.000000,1,4, 0.58509, 0.40720,540.48012,433.47890,107.00122, 0.00000,176.51064
hHBB_10383581_START_reference_hHBB,PSU,1.500000,1,5, 0.40303, 0.28049,510.59526,402.64795,107.94731, 0.00000,112.93766
hHBB_10383581_START_reference_hHBB,PSU,2.000000,1,6, 0.32216, 0.22420,549.83402,439.45248,110.38155, 0.00000,98.52695
hHBB_10383581_START_reference_hHBB,PSU,3.000000,1,7, 0.21196, 0.14751,549.13110,453.25846,95.87263, 0.00000,66.86152
hHBB_10383581_START_reference_hHBB,PSU,4.000000,1,8, 0.14024, 0.09760,493.58976,399.77725,93.81251, 0.00000,39.01712
hHBB_10383581_START_reference_hHBB,PSU,5.000000,1,9, 0.07185, 0.05001,423.81653,331.55129,92.26524, 0.00000,16.57943
hHBB_10383581_START_reference_hHBB,PSU,18.000000,1,10, 0.00032, 0.00022,338.22066,244.70366,93.51700, 0.00000, 0.05474
hHBB_10383581_START_reference_hHBB,PSU,24.000000,1,11, 0.02651, 0.01845,319.61800,225.33519,94.28280, 0.00000, 4.15782
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.000000,2,2, 1.00000, 0.75016,469.52646,336.81563,132.71083, 0.00000,252.66542
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.500000,2,3, 0.78957, 0.59230,575.48040,437.55867,137.92173, 0.00000,259.16741
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.000000,2,4, 0.63223, 0.47427,496.75169,357.28596,139.46573, 0.00000,169.45114
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.500000,2,5, 0.58501, 0.43885,554.07833,410.40857,143.66976, 0.00000,180.10884
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,2.000000,2,6, 0.45361, 0.34028,559.43454,408.40514,151.02940, 0.00000,138.97122
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3.000000,2,7, 0.31613, 0.23715,651.53713,511.22495,140.31218, 0.00000,121.23607
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,4.000000,2,8, 0.25152, 0.18868,448.20753,306.29118,141.91635, 0.00000,57.79081
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5.000000,2,9, 0.24300, 0.18229,661.03303,513.60462,147.42841, 0.00000,93.62461
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,18.000000,2,10, 0.01689, 0.01267,613.59986,466.22696,147.37290, 0.00000, 5.90834
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,24.000000,2,11, 0.00504, 0.00378,641.05247,493.20487,147.84759, 0.00000, 1.86361
hHBB_10383653_GC_rich_2_hHBB,PSU,0.000000,3,2, 1.00000, 0.74289,707.77665,601.50451,106.27213, 0.00000,446.85218
hHBB_10383653_GC_rich_2_hHBB,PSU,0.500000,3,3, 0.81262, 0.60368,522.24360,420.37123,101.87236, 0.00000,253.77180
hHBB_10383653_GC_rich_2_hHBB,PSU,1.000000,3,4, 0.56740, 0.42152,549.55817,446.56466,102.99351, 0.00000,188.23540
hHBB_10383653_GC_rich_2_hHBB,PSU,1.500000,3,5, 0.41172, 0.30587,541.42120,442.46925,98.95195, 0.00000,135.33632
hHBB_10383653_GC_rich_2_hHBB,PSU,2.000000,3,6, 0.31653, 0.23515,611.42199,515.54198,95.88001, 0.00000,121.22851
hHBB_10383653_GC_rich_2_hHBB,PSU,3.000000,3,7, 0.19155, 0.14230,534.76828,446.57680,88.19148, 0.00000,63.54829
hHBB_10383653_GC_rich_2_hHBB,PSU,4.000000,3,8, 0.12431, 0.09235,627.42585,541.52553,85.90033, 0.00000,50.00736
hHBB_10383653_GC_rich_2_hHBB,PSU,5.000000,3,9, 0.06815, 0.05063,529.67525,449.29917,80.37609, 0.00000,22.74675
hHBB_10383653_GC_rich_2_hHBB,PSU,18.000000,3,10,-0.01957,-0.01454,344.86204,264.13561,80.72643, 0.00000,-3.84091
hHBB_10383653_GC_rich_2_hHBB,PSU,24.000000,3,11, 0.00685, 0.00509,332.90698,251.94512,80.96186, 0.00000, 1.28132
hHBB_10383651_GC_rich_1_hHBB,PSU,0.000000,4,2, 1.00000, 0.79509,785.55284,653.94543,131.60741, 0.00000,519.94371
hHBB_10383651_GC_rich_1_hHBB,PSU,0.500000,4,3, 0.75220, 0.59807,947.68114,811.20749,136.47365, 0.00000,485.15694
hHBB_10383651_GC_rich_1_hHBB,PSU,1.000000,4,4, 0.54813, 0.43581,783.67071,647.14241,136.52830, 0.00000,282.03337
hHBB_10383651_GC_rich_1_hHBB,PSU,1.500000,4,5, 0.43048, 0.34227,740.51376,605.09065,135.42311, 0.00000,207.10526
hHBB_10383651_GC_rich_1_hHBB,PSU,2.000000,4,6, 0.33342, 0.26510,859.92481,717.25800,142.66681, 0.00000,190.14455
hHBB_10383651_GC_rich_1_hHBB,PSU,3.000000,4,7, 0.15149, 0.12045,710.12669,570.85763,139.26906, 0.00000,68.75952
hHBB_10383651_GC_rich_1_hHBB,PSU,4.000000,4,8, 0.08298, 0.06598,836.44086,693.22421,143.21666, 0.00000,45.73713
hHBB_10383651_GC_rich_1_hHBB,PSU,5.000000,4,9, 0.06135, 0.04878,933.27713,781.35931,151.91782, 0.00000,38.11507
hHBB_10383651_GC_rich_1_hHBB,PSU,18.000000,4,10,-0.01007,-0.00801,637.59631,487.67338,149.92293, 0.00000,-3.90628
hHBB_10383651_GC_rich_1_hHBB,PSU,24.000000,4,11,-0.00448,-0.00356,589.12062,439.01826,150.10236, 0.00000,-1.56340
hHBB_10388774_Twist_1_hHBB,PSU,0.000000,5,2, 1.00000, 0.67663,480.34331,369.89963,110.44368, 0.00000,250.28516
hHBB_10388774_Twist_1_hHBB,PSU,0.500000,5,3, 0.82826, 0.56043,568.58732,457.75762,110.82970, 0.00000,256.53971
hHBB_10388774_Twist_1_hHBB,PSU,1.000000,5,4, 0.67091, 0.45396,466.46703,350.99595,115.47108, 0.00000,159.33723
hHBB_10388774_Twist_1_hHBB,PSU,1.500000,5,5, 0.37286, 0.25229,527.24106,408.98675,118.25431, 0.00000,103.18146
hHBB_10388774_Twist_1_hHBB,PSU,2.000000,5,6, 0.32775, 0.22177,569.08314,453.86416,115.21898, 0.00000,100.65277
hHBB_10388774_Twist_1_hHBB,PSU,3.000000,5,7, 0.17291, 0.11700,459.20854,353.96073,105.24781, 0.00000,41.41275
hHBB_10388774_Twist_1_hHBB,PSU,4.000000,5,8, 0.11152, 0.07546,592.16462,487.88475,104.27986, 0.00000,36.81515
hHBB_10388774_Twist_1_hHBB,PSU,5.000000,5,9, 0.05253, 0.03554,518.53740,415.16635,103.37106, 0.00000,14.75575
hHBB_10388774_Twist_1_hHBB,PSU,18.000000,5,10, 0.00172, 0.00116,405.12453,301.23287,103.89166, 0.00000, 0.35037
hHBB_10388774_Twist_1_hHBB,PSU,24.000000,5,11, 0.00565, 0.00382,379.19457,275.54103,103.65353, 0.00000, 1.05352
hHBB_10388767_Genewiz_1_hHBB,PSU,0.000000,6,2, 1.00000, 0.81500,638.09205,495.20319,142.88886, 0.00000,403.59274
hHBB_10388767_Genewiz_1_hHBB,PSU,0.500000,6,3, 0.69835, 0.56916,754.80629,609.11618,145.69010, 0.00000,346.68462
hHBB_10388767_Genewiz_1_hHBB,PSU,1.000000,6,4, 0.53746, 0.43803,655.02723,508.09086,146.93637, 0.00000,222.55911
