Samples,Nucleotide,k_deg per hour,k_deg_err per hour
hHBB_10383581_START_reference_hHBB,PSU, 0.53166, 0.02547
hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU, 0.36874, 0.02429
hHBB_10383653_GC_rich_2_hHBB,PSU, 0.55336, 0.01557
hHBB_10383651_GC_rich_1_hHBB,PSU, 0.58130, 0.01327
hHBB_10388774_Twist_1_hHBB,PSU, 0.54068, 0.03578
hHBB_10388767_Genewiz_1_hHBB,PSU, 0.58966, 0.02682
hHBB_10388753_IDT_1_hHBB,PSU, 0.51692, 0.02500
hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU, 0.62771, 0.01822
hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU, 0.30466, 0.02327
hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU, 0.27686, 0.01453
hHBB_10389218_Omei_1_DG2=158.7_5'UTR_20_unpaired_hHBB,PSU, 0.39065, 0.05783
hHBB_10419549_BugacMan's_Lost_LD+finetuning_mod_Deg-2-ed_hHBB,PSU, 0.20578, 0.00772
hHBB_10415488_RLT-10_hHBB,PSU, 0.23165, 0.01493
hHBB_10419522_12_hHBB,PSU, 0.48323, 0.00937
hHBB_10409421_BugacMan's_Worm_refined_Kagglestyle_hHBB,PSU, 0.31437, 0.01849
hHBB_10396597_Astros-Brourd-Eli-mod3_hHBB,PSU, 0.43371, 0.01379
hHBB_10422723_Ribotree_Random_degscoreall_1_hHBB,PSU, 0.37420, 0.02441
hHBB_10422744_Ribotree_Random_degscore_1_hHBB,PSU, 0.41720, 0.02093
hHBB_10422764_Ribotree_LinearDesign_degscoreall_1_hHBB,PSU, 0.27123, 0.01276
hHBB_10422784_Ribotree_LinearDesign_degscore_1_hHBB,PSU, 0.32312, 0.02124
hHBB_10422804_Ribotree_LinearDesign_sup_1_hHBB,PSU, 0.26673, 0.02404
hHBB_10422827_Ribotree_Random_sup_1_hHBB,PSU, 0.37353, 0.02429
hHBB_10422746_Ribotree_BT_winner_random_degscore_2_hHBB,PSU, 0.40077, 0.01651
hHBB_10422776_RiboTree_Nullrecurrent_winner_LinearDesign_degscoreall_7_hHBB,PSU, 0.38001, 0.02976
