Time,Value,Timepoint
17,-0.1985379,0
17.05,-0.2058638,0
17.1,-0.2128133,0
17.15,-0.2086474,0
17.2,-0.1925568,0
17.25,-0.183559,0
17.3,-0.1894409,0
17.35,-0.1926516,0
17.4,-0.1977677,0
17.45,-0.2123769,0
17.5,-0.2182845,0
17.55,-0.1996694,0
17.6,-0.1678099,0
17.65,-0.1419008,0
17.7,-0.1234446,0
17.75,-0.1080345,0
17.8,-0.1082404,0
17.85,-0.1107642,0
17.9,-0.1077299,0
17.95,-0.1057041,0
18,-0.1007408,0
18.05,-9.36E-02,0
18.1,-9.56E-02,0
18.15,-9.10E-02,0
18.2,-7.67E-02,0
18.25,-4.18E-02,0
18.3,-0.0126315,0
18.35,9.59E-03,0
18.4,2.00E-02,0
18.45,1.36E-02,0
18.5,8.28E-03,0
18.55,1.13E-02,0
18.6,2.23E-02,0
18.65,2.84E-02,0
18.7,8.56E-03,0
18.75,-1.87E-02,0
18.8,-0.0430746,0
18.85,-4.61E-02,0
18.9,-3.64E-02,0
18.95,-2.88E-02,0
19,-1.61E-02,0
19.05,-4.04E-03,0
19.1,3.65E-03,0
19.15,0.010542,0
19.2,2.96E-02,0
19.25,4.00E-02,0
19.3,1.12E-02,0
19.35,-5.46E-03,0
19.4,-1.31E-02,0
19.45,-1.64E-02,0
19.5,-0.0213853,0
19.55,-0.0327338,0
19.6,-1.74E-02,0
19.65,-1.48E-02,0
19.7,-1.68E-02,0
19.75,-0.0130593,0
19.8,-2.22E-02,0
19.85,-2.05E-02,0
19.9,-2.54E-02,0
19.95,-2.20E-02,0
20,-1.72E-02,0
20.05,-2.60E-02,0
20.1,-0.0281756,0
20.15,-4.26E-02,0
20.2,-4.93E-02,0
20.25,-7.09E-02,0
20.3,-9.22E-02,0
20.35,-0.1149139,0
20.4,-0.1333861,0
20.45,-0.1309109,0
20.5,-0.1349371,0
20.55,-0.1242247,0
20.6,-0.1134507,0
20.65,-0.1037662,0
20.7,-9.84E-02,0
20.75,-0.1014447,0
20.8,-0.1097445,0
20.85,-0.1105784,0
20.9,-0.1059306,0
20.95,-9.45E-02,0
21,-7.86E-02,0
21.05,-6.81E-02,0
21.1,-7.93E-02,0
21.15,-9.02E-02,0
21.2,-0.1070684,0
21.25,-0.1076939,0
21.3,-9.71E-02,0
21.35,-0.0795957,0
21.4,-5.49E-02,0
21.45,-0.0685024,0
21.5,-8.59E-02,0
21.55,-9.60E-02,0
21.6,-9.92E-02,0
21.65,-8.19E-02,0
21.7,-9.03E-02,0
21.75,-0.1028113,0
21.8,-0.1246662,0
21.85,-0.1400284,0
21.9,-0.1427947,0
21.95,-0.1054471,0
22,-5.99E-02,0
22.05,-6.93E-02,0
22.1,-0.1649462,0
22.15,-0.3005745,0
22.2,2.13E-03,0
22.25,1.95568,0
22.3,6.20876,0
22.35,12.31929,0
22.4,18.65438,0
22.45,23.34819,0
22.5,25.21322,0
22.55,24.05317,0
22.6,20.76891,0
22.65,16.81042,0
22.7,12.98487,0
22.75,9.658645,0
22.8,6.861465,0
22.85,4.653656,0
22.9,3.028328,0
22.95,1.845845,0
23,1.020706,0
23.05,0.5426333,0
23.1,0.2708998,0
23.15,0.1315706,0
23.2,6.55E-02,0
23.25,3.72E-02,0
23.3,4.68E-02,0
23.35,6.60E-02,0
23.4,9.68E-02,0
23.45,0.1153868,0
23.5,0.1052297,0
23.55,8.59E-02,0
23.6,6.56E-02,0
23.65,7.01E-02,0
23.7,9.25E-02,0
23.75,0.1119611,0
23.8,0.1260121,0
23.85,0.1069,0
23.9,7.93E-02,0
23.95,5.44E-02,0
24,2.62E-02,0
24.05,5.22E-03,0
24.1,4.19E-03,0
