,Time,Value,Nucleotides
0,17,-1.596408E-02,-43.57016005843559
1,17.05,-0.0217971,-42.95038332666047
2,17.1,-3.449402E-02,-42.33375958919521
3,17.15,-5.188348E-02,-41.72020687908639
4,17.2,-0.0521631,-41.10964314907892
5,17.25,-4.617956E-02,-40.501986271613646
6,17.3,-0.0354645,-39.89715403882849
7,17.35,-6.144579E-03,-39.295064162559015
8,17.4,1.703232E-02,-38.69563427433707
9,17.45,5.096324E-02,-38.09878192539168
10,17.5,0.0381101,-37.504424586648724
11,17.55,2.832076E-02,-36.912479648731164
12,17.6,2.021544E-02,-36.32286442195925
13,17.65,2.529519E-02,-35.735496136349184
14,17.7,2.537994E-02,-35.150291941615365
15,17.75,3.115581E-02,-34.56716890716791
16,17.8,3.108723E-02,-33.98604402211538
17,17.85,3.387086E-03,-33.406834195261354
18,17.9,-1.796703E-02,-32.829456255108425
19,17.95,-2.410194E-02,-32.253826949854215
20,18,-9.807587E-03,-31.679862947395122
21,18.05,-5.652446E-03,-31.107480835323372
22,18.1,1.965544E-02,-30.53659712092815
23,18.15,1.192273E-02,-29.967128231196057
24,18.2,-1.541138E-03,-29.398990512810542
25,18.25,-5.264303E-03,-28.83210023215156
26,18.3,6.569329E-03,-28.266373575296598
27,18.35,-1.378915E-03,-27.701726648019758
28,18.4,-5.943906E-03,-27.138075475792334
29,18.45,-1.059113E-02,-26.575336003782695
30,18.5,-3.294192E-02,-26.01342409685526
31,18.55,-3.256976E-02,-25.452255539572548
32,18.6,-3.430786E-02,-24.891746036193467
33,18.65,-2.256637E-02,-24.331811210673777
34,18.7,-3.265796E-02,-23.77236660666665
35,18.75,-2.622585E-02,-23.213327687521883
36,18.8,-3.162659E-02,-22.654609836286113
37,18.85,-3.116879E-02,-22.096128355703172
38,18.9,-2.896349E-02,-21.537798468214078
39,18.95,-2.248773E-02,-20.97953531595624
40,19,-2.185395E-02,-20.421253960764375
41,19.05,-8.812096E-03,-19.862869384169585
42,19.1,8.938399E-03,-19.304296487401075
43,19.15,1.561615E-02,-18.745450091384555
44,19.2,1.864616E-02,-18.186244936741446
45,19.25,3.269196E-03,-17.626595683792175
46,19.3,-1.275862E-02,-17.066416912552654
47,19.35,-2.482452E-02,-16.50562312273587
48,19.4,-1.046342E-02,-15.944128733753132
49,19.45,2.864439E-02,-15.381848084710327
50,19.5,4.267633E-02,-14.818695434412803
51,19.55,3.940265E-02,-14.254584961361388
52,19.6,2.959195E-02,-13.689430763753535
53,19.65,2.736488E-02,-13.123146859485132
54,19.7,3.472352E-02,-12.555647186148121
55,19.75,5.979538E-02,-11.986845601030609
56,19.8,8.157273E-02,-11.416655881119596
57,19.85,8.435593E-02,-10.844991723097564
58,19.9,3.722053E-02,-10.271766743343846
59,19.95,1.615906E-02,-9.696894477935984
60,20,1.780587E-02,-9.120288382647345
61,20.05,4.266395E-02,-8.541861832948712
62,20.1,7.586991E-02,-7.961528124007714
63,20.15,0.1026377,-7.379200470688829
64,20.2,0.1056067,-6.794792007553951
65,20.25,0.0559845,-6.2082157888613665
66,20.3,4.723849E-02,-5.619384788566663
67,20.35,3.969455E-02,-5.028211900322162
68,20.4,2.597419E-02,-4.434609937477376
69,20.45,3.157806E-03,-3.838491633078661
70,20.5,-0.015286,-3.2397696398688822
71,20.55,-2.974271E-02,-2.6383565302888883
72,20.6,-5.090572E-02,-2.034164796475693
73,20.65,-5.987262E-02,-1.4271068502633852
74,20.7,-5.774079E-02,-0.8170950231831284
75,20.75,-6.445139E-02,-0.2040415664629336
76,20.8,-8.040292E-02,0.41214134897188615
77,20.85,-6.936137E-02,1.0315416324997386
78,20.9,-3.520505E-02,1.654247273801161
79,20.95,3.527747E-03,2.2803463428609803
80,21,2.450255E-02,2.9099269899660385
81,21.05,3.683702E-02,3.5430774457059897
82,21.1,2.925839E-02,4.1798860209746636
83,21.15,3.661867E-03,4.8204411069682465
84,21.2,-1.543393E-02,5.464831175185964
85,21.25,-2.113466E-02,6.113144777430307
86,21.3,-2.686108E-02,6.765470545806352
87,21.35,-2.600013E-02,7.421897192722781
88,21.4,2.30896E-03,8.082513510891317
89,21.45,1.218952E-02,8.747408373326266
90,21.5,1.275169E-02,9.416670733344858
91,21.55,-6.537237E-03,10.090389624568502
92,21.6,-0.0115593,10.768654160920732
93,21.65,-2.272069E-02,11.451553536627557
94,21.7,-1.015549E-02,12.139177026219386
95,21.75,-4.344783E-03,12.831613984528872
96,21.8,-1.296708E-02,13.528953846691593
97,21.85,8.518043E-03,14.231286128147076
98,21.9,0.0160287,14.938700424636409
99,21.95,2.513173E-02,15.65128641220565
100,22,1.623281E-02,16.369133847201965
101,22.05,0.0062445,17.09233256627681
102,22.1,-8.188884E-04,17.820972486383994
103,22.15,-2.792763E-02,18.555143604780824
104,22.2,0.0835818,19.29493599902787
105,22.25,0.6857723,20.04043982698795
106,22.3,2.251148,20.791745326827595
107,22.35,4.961727,21.54894281701627
108,22.4,8.265817,22.3121226963259
109,22.45,11.1921,23.081375443832144
110,22.5,12.71686,23.85679161891369
111,22.55,12.2076,24.638461861251812
112,22.6,10.19579,25.426476890831054
113,22.65,7.522583,26.22092750793945
114,22.7,4.955224,27.021904593166823
115,22.75,2.919584,27.829499107407855
116,22.8,1.535982,28.64380209185856
117,22.85,0.7232472,29.46490466801913
118,22.9,0.2998689,30.292898037692453
119,22.95,0.1181839,31.127873482984
120,23,5.076282E-02,31.969922366302853
121,23.05,2.763739E-02,32.81913613036102
122,23.1,1.915283E-02,33.675606298173534
123,23.15,1.062848E-02,34.5394244730586
124,23.2,1.788771E-02,35.410682338637
125,23.25,2.839509E-02,36.28947165883346
126,23.3,3.117837E-02,37.17588427787405
127,23.35,1.543961E-02,38.07001212029013
128,23.4,-1.222073E-03,38.97194719091442
129,23.45,-1.427138E-02,39.88178157488335
130,23.5,1.329215E-02,40.79960743763661
131,23.55,4.698139E-02,41.72551702491626
132,23.6,6.801136E-02,42.659602662767384
133,23.65,7.801652E-02,43.60195675753937
134,23.7,6.366704E-02,44.55267179588316
135,23.75,5.004515E-02,45.511840344753296
136,23.8,3.409074E-02,46.47955505140783
137,23.85,3.711395E-02,47.45590864340693
138,23.9,5.940545E-02,48.44099392861506
139,23.95,9.381697E-02,49.43490379519824
140,24,0.1459026,50.43773121162667
141,24.05,0.2044601,51.44956922667302
142,24.1,0.2388871,52.47051096941345
143,24.15,0.2685352,53.5006496492266
144,24.2,0.2685889,54.540078555794594
145,24.25,0.2822079,55.58889105910271
146,24.3,0.2858165,56.647180609438465
147,24.35,0.2783016,57.71504073739345
148,24.4,0.2797813,58.79256505386161
149,24.45,0.2726628,59.87984725004026
150,24.5,0.2693285,60.976981097429984
151,24.55,0.2778552,62.084060447833394
152,24.6,0.2955849,63.20117923335715
