,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area
0,RNA-1,natural,0,1,1,Eukaryote Total RNA Nano_2020-10-21_16-07-11_1_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,621.6637264,1923.284713,3789.719624,1866.43491,3.002322367
1,RNA-1,natural,0.5,1,2,Eukaryote Total RNA Nano_2020-10-21_16-07-11_2_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,353.3118204,1014.8026,1735.897457,721.0948571,2.040958767
2,RNA-1,natural,1,1,3,Eukaryote Total RNA Nano_2020-10-21_16-07-11_3_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,332.8661842,788.5459405,1164.331158,375.7852176,1.1289378
3,RNA-1,natural,1.5,1,4,Eukaryote Total RNA Nano_2020-10-21_16-07-11_4_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,323.111256,519.3469213,750.44713,231.1002087,0.715234163
4,RNA-1,natural,2,1,5,Eukaryote Total RNA Nano_2020-10-21_16-07-11_5_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,329.9179922,543.1689569,719.230555,176.0615981,0.533652611
5,RNA-1,natural,3,1,6,Eukaryote Total RNA Nano_2020-10-21_16-07-11_6_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,390.6475979,345.4830816,388.0779864,42.59490473,0.109036648
6,RNA-1,natural,4,1,7,Eukaryote Total RNA Nano_2020-10-21_16-07-11_7_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,318.2571417,299.2044839,320.2926723,21.08818833,0.066261477
7,RNA-1,natural,5,1,8,Eukaryote Total RNA Nano_2020-10-21_16-07-11_8_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,391.6853861,264.3273656,270.23066,5.903294444,0.015071521
8,RNA-1,natural,18,1,9,Eukaryote Total RNA Nano_2020-10-21_16-07-11_9_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,477.7398979,24.28122342,21.4212311,-2.859992328,-0.005986505
9,RNA-1,natural,24,1,10,Eukaryote Total RNA Nano_2020-10-21_16-07-11_10_nts.csv,[ 23.46200583 233.88945222 923.35372053],823.3537205,1023.353721,685.9711296,25.93276632,30.84072755,4.907961237,0.007154764
10,RNA-1,5mC,0,1,11,Eukaryote Total RNA Nano_2020-10-21_16-07-11_11_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,150.500624,253.1161164,1260.371742,1007.255626,6.692700663
11,RNA-1,5mC,0.5,1,12,Eukaryote Total RNA Nano_2020-10-21_16-07-11_12_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,165.6838081,329.1675601,976.5981574,647.4305973,3.907627454
12,RNA-1,5mC,1,2,1,Eukaryote Total RNA Nano_2020-10-21_16-14-00_1_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,157.3036614,407.5363714,746.9884043,339.4520329,2.157941079
13,RNA-1,5mC,1.5,2,2,Eukaryote Total RNA Nano_2020-10-21_16-14-00_2_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,164.5875216,392.1599722,647.2300609,255.0700887,1.549753506
14,RNA-1,5mC,2,2,3,Eukaryote Total RNA Nano_2020-10-21_16-14-00_3_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,206.386226,406.8963201,641.74566,234.84934,1.137911887
15,RNA-1,5mC,3,2,4,Eukaryote Total RNA Nano_2020-10-21_16-14-00_4_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,243.708287,415.9074326,549.1413849,133.2339523,0.546694386
16,RNA-1,5mC,4,2,5,Eukaryote Total RNA Nano_2020-10-21_16-14-00_5_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,261.6458293,348.9383555,427.833697,78.89534158,0.301534872
17,RNA-1,5mC,5,2,6,Eukaryote Total RNA Nano_2020-10-21_16-14-00_6_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,288.5689627,306.7202131,346.5221211,39.80190795,0.137928582
18,RNA-1,5mC,18,2,7,Eukaryote Total RNA Nano_2020-10-21_16-14-00_7_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,374.3651377,57.19190896,41.16138303,-16.03052593,-0.042820563
19,RNA-1,5mC,24,2,8,Eukaryote Total RNA Nano_2020-10-21_16-14-00_8_nts.csv,[ 23.46200583 233.88945222 894.1585039 ],794.1585039,994.1585039,356.9724273,21.71369999,20.23553749,-1.478162498,-0.004140831
20,RNA-1,PSU,0,6,11,Eukaryote Total RNA Nano_2020-10-21_17-06-53_11_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788942,954.6788942,146.5740401,176.3235374,2475.063943,2298.740405,15.68313464
21,RNA-1,PSU,0.5,6,12,Eukaryote Total RNA Nano_2020-10-21_17-06-53_12_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788942,954.6788942,203.7689947,293.4872775,2421.666567,2128.179289,10.44407807
22,RNA-1,PSU,1,7,1,Eukaryote Total RNA Nano_2020-10-21_17-37-08_1_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788942,954.6788942,189.5052146,363.8051663,2022.473194,1658.668028,8.752624727
23,RNA-1,PSU,1.5,7,2,Eukaryote Total RNA Nano_2020-10-21_17-37-08_2_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788942,954.6788942,206.3080093,341.3726204,1783.970113,1442.597493,6.99244541
24,RNA-1,PSU,2,7,3,Eukaryote Total RNA Nano_2020-10-21_17-37-08_3_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788942,954.6788942,210.8833634,392.3175165,1595.001919,1202.684403,5.703078628
25,RNA-1,PSU,3,7,4,Eukaryote Total RNA Nano_2020-10-21_17-37-08_4_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788942,954.6788942,278.4433819,446.6744866,1502.493873,1055.819387,3.791863824
26,RNA-1,PSU,4,7,5,Eukaryote Total RNA Nano_2020-10-21_17-37-08_5_nts.csv,[ 23.46689634 231.77772345 854.67889417],754.6788942,954.6788942,309.2502564,424.2242931,1183.887482,759.6631892,2.456467451
