Plate_Number,File_Name
1,Eukaryote Total RNA Nano_2020-10-07_13-56-03
2,Eukaryote Total RNA Nano_2020-10-08_10-55-37
3,Eukaryote Total RNA Nano_2020-10-12_16-05-51
4,Eukaryote Total RNA Nano_2020-10-12_17-13-16
7,Eukaryote Total RNA Nano_2020-10-12_16-33-27
8,Eukaryote Total RNA Nano_2020-10-12_16-39-16
