Sample,Nucleotide,Timepoint,Plate,FileNumber
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_John2000_LinearDesign-LocalDesign_w50 (),Unmodified,24,7,11
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,0,8,2
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,0.5,8,3
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,1,8,4
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,1.5,8,5
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,2,8,6
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,3,8,7
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,4,8,8
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,5,8,9
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,18,8,10
Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_-423.7 kCal,Unmodified,24,8,11
